id,phase,domaine,titre,description,effort_h,depend_de,critere_acceptation,test_associe
ADM-001,P1,setup,Initialiser monorepo pnpm workspaces,Creer pnpm-workspace.yaml + package.json racine + apps/web stub,1,,pnpm install reussit sans erreur,
ADM-002,P1,setup,Bootstrap Next.js 14 app router,Creer apps/web avec App Router et TypeScript strict,2,ADM-001,pnpm dev sert / sur localhost:3000,
ADM-003,P1,setup,Configurer tsconfig strict noUncheckedIndexedAccess,Activer strict + noUncheckedIndexedAccess + exactOptionalPropertyTypes,1,ADM-002,pnpm typecheck exit 0,
ADM-004,P1,setup,Configurer ESLint avec presets,Ajouter @typescript-eslint + jsx-a11y + Next plugin,1,ADM-002,pnpm lint exit 0 sur fichiers seed,
ADM-005,P1,setup,Configurer Prettier,Definir .prettierrc + integration ESLint,0.5,ADM-004,pnpm format check exit 0,
ADM-006,P1,setup,Configurer Vitest config v8 coverage,Setup vitest.config.ts + scripts package.json,1,ADM-002,pnpm test passe sur test smoke,unit-vitest/lib_authsession.test.md
ADM-007,P1,setup,Configurer Playwright minimal,Installer Playwright + creer playwright.config.ts,1,ADM-002,npx playwright test --list affiche specs,
ADM-008,P1,setup,Pipeline CI GitHub Actions,Workflow lint + typecheck + vitest + playwright sur PR,2,ADM-004 ADM-006 ADM-007,CI verte sur PR de test,
ADM-009,P1,setup,Configurer Vercel projet,Vercel link + vercel.json initial + region fra1,1,ADM-002,Deploiement preview reussit,
ADM-010,P1,setup,Configurer Neon Pro + branche e2e,Creer compte Neon Pro + branche e2e + recuperer URLs,1,,DATABASE_URL valide testable via psql,
ADM-011,P1,setup,Setup Drizzle ORM,Installer drizzle-orm + drizzle-kit + config drizzle.config.ts,1,ADM-010,drizzle-kit generate fonctionne,
ADM-012,P1,db,Schema base admin_users + admin_login_attempts,Definir tables auth dans schema.ts,2,ADM-011,Migration appliquee Neon prod,
ADM-013,P1,db,Schema leads + orders + order_items + lead_events,Definir tables metier core,2,ADM-012,Migration appliquee + ERD genere,
ADM-014,P1,db,Schema webhook_endpoints + webhook_deliveries,Definir tables webhooks,2,ADM-013,Migration appliquee + index pending verifie,
ADM-015,P1,db,Schema audit_events + rate_limit_counters,Definir tables transverses,1,ADM-014,Migration appliquee,
ADM-016,P1,db,Triggers updated_at,Fonction trigger generic + attach toutes tables,1,ADM-015,Test : UPDATE met a jour updated_at,
ADM-017,P1,observability,Integrer Sentry server+client,Sentry init + scrubPii + tags route,2,ADM-002,Erreur volontaire apparait dans Sentry preview,
ADM-018,P1,observability,Logger structure JSON + AsyncLocalStorage,Helper logger + correlation request_id,2,ADM-002,Logs JSON visibles avec request_id,
ADM-019,P1,observability,Endpoint /healthz,Route GET sans auth qui SELECT 1,0.5,ADM-011,GET /healthz returns 200 ok,unit-vitest/lib_apphealthcheck.test.md
ADM-020,P1,observability,UptimeRobot configure sur /healthz,Ping toutes 5min + alertes email,0.5,ADM-019,Ping verifie dans dashboard,
ADM-021,P2,auth,Helper hashPassword argon2id,Wrapper @node-rs/argon2 avec params OWASP 2024,1,ADM-018,Test unitaire hash + verify roundtrip,unit-vitest/lib_authpassword.test.md
ADM-022,P2,auth,Helper sessionOptions iron-session,Configuration cookie + 8h maxAge + HttpOnly,1,ADM-021,Cookie pose sur reponse,unit-vitest/lib_authsession.test.md
ADM-023,P2,auth,Schema Zod loginInputSchema,Email + password + min length,0.5,ADM-022,Schema rejette payloads invalides,unit-vitest/lib_schemaslogin.test.md
ADM-024,P2,auth,POST /api/admin/login handler,Login complet avec rate-limit + audit,3,ADM-023,Login OK retourne 200 + cookie,integration-msw/scenario-login-success.md
ADM-025,P2,auth,Brute-force protection 5/15min IP+email,Verification rate_limit_counters,1,ADM-024,6e tentative dans 15min retourne 429,integration-msw/scenario-login-rate-limit.md
ADM-026,P2,auth,POST /api/admin/logout handler,Detruit session + clear cookie,1,ADM-024,Logout retire le cookie,integration-msw/scenario-logout.md
