id,severity,system,title,evidence,consequence,fix_type,regression_test,status
AF-01,P0,"Funnel,CTA,Checkout","Les filtres ne rafraîchissent pas le dashboard (state figé)","CtaDashboard.tsx:33; CheckoutDashboard.tsx:31; FunnelDashboard.tsx:47","Changer period/device/traffic ne met pas à jour les chiffres; décisions sur données figées","Aligner les 3 dashboards sur le pattern Insights (lire l'URL via useSearchParams, refetch sur changement); supprimer le double fetch","Playwright: changer chaque filtre et vérifier que KPI/table/chart changent (valeurs MSW distinctes par filtre)",open
AF-02,P1,CTA,"Revenu attribué divisé par ~100 (value MAD lu comme cents)","cta.ts:297; format.ts:53; checkout-events.ts:21","KPI revenu et colonne revenu ~100x trop bas (1,99 au lieu de 199 MAD)","Décider l'unité canonique (cents partout) et convertir a la source OU ne pas diviser au format; fixer la devise MAD","Vitest: purchase value=199 MAD -> revenue attendu = 199 MAD formaté; Playwright: KPI revenu lisible en MAD",open
AF-03,P1,"Funnel,Checkout","Modèles de funnel incohérents (cumul strict vs indépendant)","funnel.ts:181; checkout.ts:143","Checkout: progression > 100% possible; Purchase Funnel != Purchase Checkout pour la meme realite","Documenter/clamp la progression Checkout OU aligner les modèles; afficher la définition dans l'UI","Vitest: dataset ou begin_checkout>view_cart -> progression clampée/expliquée; parité documentée",open
AF-04,P1,Transverse,"Fuseau horaire serveur sur today/yesterday/comparaisons","filters.ts:181","Aujourd'hui/Hier décalés d'1h (UTC vs Maroc UTC+1); achats de minuit mal rattachés","Ancrer resolveRange sur Africa/Casablanca (ou offset configuré); injecter now dans les tests","Vitest: resolveRange('today', now) borne sur minuit heure Maroc; event 00:30 Maroc compté aujourd'hui",open
AF-05,P1,"Transverse,Insights","device défaut=mobile + double barre de filtres Insights","filters.ts:40; InsightsView.tsx:67","Operateur croit voir tout le trafic (mobile seul); 2 barres aux modèles divergents sur Insights","Rendre 'Mobile uniquement' explicite ou défaut 'all'; unifier/masquer la FilterBar layout sur Insights","Playwright: défaut affiche badge device; sur /insights une seule barre effective",open
F-FUN-02,P2,Funnel,"Sous-comptage purchase si chaîne d'étapes rompue","funnel.ts:181","Funnel Purchase < achats réels si engage/cta non tracés","Documenter la définition; option 'achats réels' via table orders","Vitest: session purchase sans engage -> non comptée; libellé explicatif présent",open
F-FUN-03,P2,Funnel,"first_page = page du 1er event tracké (sensible à l'ordre)","funnel.ts:355","Page d'entrée parfois non-page si 1er event non page_view","Préférer le 1er page_view pour firstPage","Vitest: 1er event scroll puis page_view -> firstPage = la page",open
F-CTA-02,P2,CTA,"topPages.purchases non comptés si clic via fallback hors période","cta.ts:198","Somme topPages.purchases < totals (écart silencieux)","Initialiser byPage aussi pour les pages de clics attribués hors période","Vitest: achat attribué via fallback 7j -> purchase visible en topPages ou réconcilié",open
F-CTA-03,P2,CTA,"Lignes clics=0 + achats>0 non expliquées","cta.ts:158","Perçu comme bug par l'opérateur","Ajouter tooltip/légende 'attribué hors période (fallback 7j)'","Playwright: ligne clics=0 achats>0 a une explication accessible",open
F-CTA-04,P2,CTA,"Page/label majoritaire non déterministe sur égalité","cta.ts:358","Résultat instable sur égalité parfaite","Tri stable (par count puis clé) dans topByCount","Vitest: 2 pages a égalité -> ordre déterministe",open
F-CTA-05,P2,CTA,"Devise EUR par défaut au lieu de MAD","CtaDashboard.tsx:31","Symbole € affiché au lieu de MAD","Passer currency='MAD' depuis la page/config","Vitest/Playwright: montants en MAD",open
F-CHK-02,P2,Checkout,"KPI 'submissions' = purchases (nommage trompeur)","checkout.ts:182","Operateur confond soumissions et achats","Renommer en 'Achats' ou exposer submit distinct","Playwright: libellé KPI cohérent avec la valeur",open
F-CHK-03,P2,Checkout,"Faux abandon au bord de fenêtre","checkout.ts:154","begin_checkout fin de période + purchase après 'to' -> abandon a tort","Élargir la fenêtre de fetch des purchases (+60 min après 'to')","Vitest: begin a t-10min de 'to', purchase a 'to'+5min -> non abandon",open
F-CHK-04,P2,Checkout,"Sur-comptage abandons récents (begin sans purchase encore)","checkout.ts:154","begin_checkout récent non encore acheté compté abandon","Ne compter abandon qu'au-delà de la fenêtre 60 min","Vitest: begin a t-5min, pas de purchase, now<60min -> non abandon",open
F-INS-02,P2,Insights,"Fraîcheur matview vs live non explicitée","refresh.ts","Écart Insights vs Funnel/Checkout déroutant","Afficher refreshedAt en évidence + note","Playwright: refreshedAt visible; tooltip explicatif",open
F-INS-03,P2,Insights,"État firstRun/matview vide confondu avec 'pas de trafic'","contracts.ts:116","Operateur croit a une absence de trafic","État dédié 'lancez un premier refresh'","Playwright: firstRun=true -> CTA refresh, pas EmptyState générique",open
