id,interface,categorie,severite,titre,description,reference,recommandation,chantier
TRV-01,transverse,feedback,majeure,Confirmations destructives via window.confirm natif,"9 occurrences (annuler campagne, supprimer brouillon, désactiver automation, cancel/retry run, restaurer version template, supprimer audience, bulk suppress, reap-stuck, retirer suppression) : non stylé, texte long tronqué selon navigateur, inaccessible, incohérent avec le dialog custom de snapshot audience","CampaignActions.tsx:50; AutomationRowActions.tsx:67-136; TemplateEditor.tsx:307; SuppressionList.tsx:132; TransactionalCockpit.tsx:541",Composant <ConfirmDialog> unique (role=dialog + focus trap + bouton danger) remplaçant tous les confirm(),C1
TRV-02,transverse,feedback,majeure,Aucun système de toast unifié,"Feedbacks hétérogènes : bandeau inline persistant (cockpit), rien (refresh métriques campagne, save version template), redirect muet (créations)",tous les écrans,Provider de toasts (succès auto-dismiss / erreur persistante + bouton réessayer) consommé par tous les écrans emails,C1
TRV-03,transverse,navigation,majeure,Navigation fragmentée sans sous-menu persistant,"1 seule entrée AdminShell ; sous-nav = 7 boutons du dashboard + palette ⌘K ; pas d'état actif ; libellés retour incohérents (« ← Dashboard emails » vs « ← Tableau de bord » vs breadcrumb)",AdminShell.tsx:49-90; pages emails,"Barre d'onglets persistante dans layout.tsx (9 sections, état actif, badge compteurs) + breadcrumb généralisé",C2
TRV-04,transverse,lisibilite,critique,Métriques de livraison ambiguës pendant la montée du webhook,"« Livrés 0 / delivery silencieux ? webhook ? », « n/d » sans tooltip, statut sent qui stagne : impossible de distinguer pas-encore-de-données / cassé / non-implémenté",KpiCards.tsx:76-80; campaigns/[id]/page.tsx:150-157,"État tri-valué explicite par métrique : valeur / « webhook muet depuis X » (alerte) / « non suivi » (tooltip docs), partagé dashboard+campagnes+cockpit",C1
TRV-05,transverse,lisibilite,majeure,Fraîcheur des données incohérente et sans timezone,"Dashboard et détail campagne figés au chargement vs cockpit 5 s ; heures locales sans suffixe TZ ; « Dernière synchro » retombe sur updatedAt",DashboardFreshness.tsx:22; campaigns/[id]/page.tsx:161,Composant <Freshness> commun (âge relatif + TZ + auto-refresh paramétrable) utilisé partout,C1
TRV-06,transverse,i18n,majeure,i18n 100 % français codé en dur,"Aucun framework ; anglais brut qui fuit (not_found, wrong_status, dynamic) ; pluriels manuels",tous; TransactionalCockpit.tsx:451-463,Court terme : dictionnaires FR pour les enums techniques ; moyen terme : extraction next-intl si l'i18n devient un objectif,C10
TRV-07,transverse,code,majeure,StatusBadge défini en double,KpiCards.tsx embarque une map locale de statuts en plus du canonique common/StatusBadge.tsx (STATUS_META) : divergence silencieuse au prochain statut,KpiCards.tsx:169-192; common/StatusBadge.tsx,Supprimer la copie locale et importer STATUS_META partout,C1
TRV-08,transverse,formulaire,majeure,Wizards rigides (campagne/automation/audience),"Steppers décoratifs non cliquables, pas de raccourcis clavier (spec §2.6), pas d'autosave debounced, reprise toujours à l'étape 1, pas de focus management",CampaignWizard.tsx:278-298; AutomationWizard.tsx:159-175,Composant <Wizard> partagé : étapes cliquables (≤ étape validée) + persistance de l'étape courante + Ctrl±flèches + autosave,C1
TRV-09,transverse,design,mineure,Empty states hétérogènes,Box pointillée+emoji (audiences/cockpit) vs ligne de table grise (dashboard/campagnes) vs phrase nue (templates/runs),pages listes,Composant <EmptyState icon title cta> unique,C1
TRV-10,transverse,fiabilite,majeure,Aucune garde « modifications non enregistrées »,Fermeture d'onglet ou navigation = perte sèche dans l'éditeur template et les 3 wizards,TemplateEditor.tsx; wizards,beforeunload + guard de navigation quand isDirty,C1
