phase,step_id,task_ref,action,command,gate,expected,status
P0,0.1,MP-RB-preflight,Run preflight checklist,see 05_runbook/preflight.md,preflight,all blocking rows green; dry_run + flag off + ffmpeg-static + DB backup,todo
P0,0.2,MP-RB-branch,Branch off staging master,git -C /var/www/femiglow-staging switch -c feat/media-production-mp,-,new branch from master,todo
P0,0.3,MP-AR-001,Extend GenerationResult DTO (voiceover/music/subtitles/composedVideo/transcodedVideo),edit apps/web/src/lib/ai-engine/orchestrator.ts,tsc,optional fields added; buildResultFromState reads channels,todo
P0,0.4,MP-AR-004,Widen StudioV2MediaKind + media_kind enum (add subtitles),edit apps/web/src/lib/content-studio-v2/media/types.ts + src/lib/db/schema.ts,tsc,kind=image|video|audio|subtitles,todo
P0,0.5,MP-AR-003,Add upsertBundleAssets/getDraftBundle (keep upsertPrimaryAsset shim),edit apps/web/src/lib/content-studio/repository.ts + types.ts,tsc,per-role upsert; legacy shim preserved,todo
P0,0.6,MP-AR-002,Extend bridge mapping to roles,edit apps/web/src/lib/ai-engine/bridge/content-studio-bridge.ts,tsc,each present artifact mapped via upsertBundleAssets,todo
P0,0.7,MP-AR-006,Add feature flag (default false),edit apps/web/src/env.ts + .env.example,-,CONTENT_STUDIO_MEDIA_STUDIO_ENABLED default false,todo
P0,0.8,MP-AR-005,Author additive migration 0064 (prefix @no-transaction:true),create apps/web/drizzle/migrations/0064_media_production_bundle.sql,-,enum add + meta_json + role backfill; no drop,todo
P0,0.9,MP-AR-005,Validate migration journal,pnpm -C apps/web run db:validate:strict,-,no journal/hash errors,todo
P0,0.10,MP-AR-005,Preview migration (dry),pnpm -C apps/web run db:migrate-safe -- --plan,-,0064 shown as only pending,todo
P0,0.11,MP-AR-005,[USER] Apply migration 0064,!pnpm -C apps/web run db:migrate-safe,-,0064 applied; subtitles enum present; meta_json added,todo
P0,0.12,MP-AR-005,Verify migration (db-migration.md §6 queries),see 05_runbook/commands.sh §5,-,enum=image|video|audio|subtitles; count(role=primary)=0,todo
P0,0.13,MP-AR-all,Typecheck gate,pnpm -C apps/web run typecheck,tsc,exit 0,todo
P0,0.14,MP-AR-all,Backbone vitest,pnpm -C apps/web exec vitest run src/lib/ai-engine src/lib/content-studio,-,backbone + CS v2 regression green,todo
P0,0.15,MP-AR-all,Build,pnpm -C apps/web run build,build,next build succeeds,todo
P0,0.16,MP-RB-loop,Correction loop to green twice,see 05_runbook/runbook-test-battery.md,loop,two consecutive green runs,todo
P0,GP0,MP-RB-gate,Go/No-Go G-P0,see 05_runbook/go-no-go.md,G-P0,GO: backbone merged + migration verified + flag off + dry_run,todo
P1,1.2,MP-VO-01,Extract synthesizeVoiceover core (node thin adapter),edit apps/web/src/lib/ai-engine/nodes/generate-voiceover.ts,-,core extracted; node behavior unchanged,todo
