id,severity,domain,title,rationale
MISS-001,major,copywriting,Le cookie cs_generation_mode (mock|live) n'a AUCUN effet sur la generation de texte operateur — toggle UI fantome,"Le toggle GenerationModeToggle pose le cookie cs_generation_mode, lu cote serveur uniquement pour la generation VISUELLE (drafts/[id]/generate-visual/route.ts). La route texte ideas/[id]/generate/route.ts ne lit JAMAIS ce cookie, et generateIdeaDrafts/generateForIdea l'ignorent totalement. Consequence: l'operateur peut basculer mock<->live dans l'UI pour le texte, cela ne change strictement rien (toujours fallback deterministe). C'est un controle UI trompeur (promet un mode mock/live inexistant cote texte) distinct des findings 1/2/3, et non liste par l'auditeur."
MISS-002,major,create-ui-flow,"ModelPicker auto-sélectionne le suggested 'live' au montage (sans ouverture du picker), armant le throw live au 1er clic","ModelPicker.tsx:103-105 (fetch eager) + :114-118 (useEffect qui appelle onChange(suggested.id) dès que value===null et suggested arrive) injectent automatiquement body.model=gpt-image-1-mini (image) dans MediaStudio sans aucune action opérateur. Combiné au toggle Live, le tout premier clic 'Générer un visuel IA' part avec un modèle live OpenAI -> invalid_state immédiat (clé CONTENT_STUDIO_OPENAI_API_KEY vide). C'est le mécanisme exact qui transforme le finding #1 d'un cas théorique en comportement par défaut au 1er essai live; l'auditeur le mentionne en passant (suggested) mais ne traite pas la pré-sélection automatique comme un défaut UI à part entière (l'UI engage un modèle non-fonctionnel sans choix explicite)."
MISS-003,major,generation-image,Defaut d'architecture transverse: resolution de cle divergente entre AI-Engine (resolveApiKey: DB chiffree + ENV_KEY_MAP incluant OPENAI_API_KEY) et content-studio create (lecture directe env.CONTENT_STUDIO_OPENAI_API_KEY),Racine commune de gen-1 et gen-2 mais transverse: deux mecanismes de resolution coexistent. (A) AI-Engine resolveApiKey() (api-key-manager.ts:255-294) -> DB chiffree puis ENV_KEY_MAP (4 vars openai dont OPENAI_API_KEY). (B) content-studio: lecture directe de env.CONTENT_STUDIO_OPENAI_API_KEY (callOpenAiImage l.124). Une cle stockee en DB via l'AI-Engine (saveApiKey) serait totalement invisible au flux create. Le picker peut donc afficher des modeles utilisables via une cle (DB/OPENAI_API_KEY) que le generateur create ne lira jamais.
MISS-004,major,generation-video,Aucun nettoyage des 977 jpg stubs (10-14o) deja presents dans le stockage prod: risque qu'un composed-*.jpg/export-*.jpg de 10o soit reference et servi comme media reel,"Le finding-6 mentionne le risque en passant mais ne l'eleve pas en issue distincte. 977 fichiers stubs (majoritairement 'mock-image' 10o) polluent deja .media-storage/ai-engine partage avec le runtime. Si l'un de ces assetId/url a ete persiste en base (media table) lors d'un test job-lifecycle/orchestrator non isole, un media de 10 octets pourrait etre servi a la place d'un vrai visuel — corruption de donnees prod, pas seulement bruit. Necessite un audit de la table media pour references orphelines + purge."
MISS-005,major,montage-composition,L'orchestrateur AI-Engine perd composition/exports/thumbnails AVANT le bridge (buildResult ne les inclut pas dans GenerationResult),"L'auditeur attribue la perte du media monte au bridge (montage-composition-2), mais la cause racine plus profonde est dans orchestrator.ts:buildResult (116-131) qui ne propage NI composition NI exports NI thumbnails dans GenerationResult (l'interface 30-45 ne les declare meme pas). Ces champs n'existent que dans le finalState interne du graphe (182-184). Consequence: meme en corrigeant le bridge pour lire result.composition/exports, ils seraient undefined. La page /ai-engine/create elle-meme ne rend que result.images/videos (.url, page.tsx:426,608-611), jamais composition/exports. Le rendu monte/transcode est donc invisible PARTOUT (UI ai-engine ET bibliotheque). Toute correction du montage doit d'abord remonter ces champs dans buildResult."
MISS-006,major,publication-postiz,Double-publication possible: publish-now n'invalide pas un social_publish_job 'queued' programmé pré-existant (clés idempotence disjointes :now vs :<ISO>),"getPostPublishability autorise la publication d'un post en statut 'approved' OU 'scheduled' (admin-service.ts:182). Les clés d'idempotence sont disjointes: publish-now utilise le suffixe 'now' (defaultIdempotencyKey ...:now) tandis que scheduleContentPost utilise scheduledAt.toISOString() (admin-service:328). Aucune déduplication ne vérifie l'existence d'un job 'queued' pour le même post avant d'en créer/exécuter un nouveau. publishContentPostNow met content_post à 'published' (executeJob:471) mais le job programmé reste 'queued' (non lié au statut content_post; executeJob exécute tout job queued non terminal). Conséquence: dès que le scheduler est branché (cf finding-1), un post déjà publié-maintenant verra AUSSI son job programmé se déclencher à échéance -> double publication sur le réseau. Distinct du finding-5 (déclencheur = publish-now, pas cancel/reschedule)."
MISS-007,major,test-mock-infrastructure,model-discovery sert des modeles OpenAI 'live' confirmes (OPENAI_API_KEY reel present) — la cle existe mais aucun chemin de generation ne sait l utiliser,"L auditeur a presume (finding-4) que 'aucune cle n est resoluble' et que 'live' est un cache fantome. En realite .env contient OPENAI_API_KEY (len 164) que api-key-manager.resolveEnvKey resout reellement (ENV_KEY_MAP openai l.42). Le vrai probleme manque: une cle OpenAI fonctionnelle EST presente sur staging mais est totalement orpheline cote generation, car image-generation.ts lit exclusivement CONTENT_STUDIO_OPENAI_API_KEY (vide) — env.ts n expose meme pas OPENAI_API_KEY. La generation live OpenAI pourrait fonctionner avec un simple alias de variable; le diagnostic 'live entierement non-fonctionnel' (finding-7) est donc incomplet pour OpenAI."
MISS-008,major,test-mock-infrastructure,Le contract test MSW existant (content-studio-handlers.contract.test.ts) ne couvre PAS les providers externes (OpenAI/Higgsfield/Postiz) ni la divergence endpoints synchrones/async,"L auditeur traite MSW comme totalement absent de parite (finding-8). En realite il existe un contract test, mais il valide uniquement les reponses des routes internes content-studio contre des schemas Zod — il n existe AUCUN contract test asservissant les handlers OpenAI/Higgsfield/Postiz a l OpenAPI fournisseur reel. C est precisement la ou la divergence endpoints (video-generation.ts /v1/videos/generate synchrone vs /v1/image2video async) passe inapercue: le filet de parite present ne couvre pas la zone a risque."
MISS-009,major,test-mock-infrastructure,"image-generation.ts utilise toujours les endpoints Higgsfield synchrones faux (/v1/images/generate) — meme bug que la video, non isole dans le finding-7 qui se concentre sur la video","Le finding-7 et la divergence video citent video-generation.ts:157. Mais image-generation.test.ts:147 mocke '/v1/images/generate' et le code image emprunte le meme contrat synchrone fictif, alors que l API Higgsfield reelle est /v1/text2image/<model> async (MEMORY). Le perimetre image souffre donc du MEME contrat fictif que la video, non explicitement releve comme un defaut distinct du code image."
MISS-010,major,voix-off,Le SRT et tous les assets .media-storage sont servis publiquement via /_media SANS authentification,"Probe directe: curl SANS cookie sur http://127.0.0.1:8012/_media/ai-engine/subtitles-013c6ae7-...srt -> HTTP 200 (identique a la requete authentifiee). Tout le repertoire .media-storage/ai-engine (1188 fichiers: sous-titres, images composees, exports) est accessible sans session admin. Les noms contiennent un jobId UUID (peu devinable) mais les SRT de test 'subtitles-job-sub-1-*' et le pattern previsible composed-/export- reduisent l'entropie. L'auditeur a teste l'acces /_media uniquement en authentifie (voix-off-7) sans relever l'absence de controle d'acces sur des medias generes pouvant contenir du contenu client non publie."
MISS-011,major,voix-off,"Aucun node media ne pousse jamais dans state.errors: l'echec audio/video est structurellement invisible au quality-gate, garantissant un statut 'completed' trompeur","Les catch de generate-voiceover.ts:213-230, generate-music.ts:78-95, generate-video.ts:207-226 et compose.ts:286-293 renvoient un asset url='' provider 'fallback'/'compose:empty' SANS jamais ajouter d'entree dans state.errors ni degrader le statut. routeAfterQuality (routing.ts:41-63) ne note que les qualityScores (texte) qui restent >=0.65 -> 'pass'. Resultat verifie par probe: job 'completed' quality 0.91 alors qu'aucun media video/audio n'existe. L'auditeur decrit le symptome (tout-vert) mais n'identifie pas que le contrat d'erreur du graphe est absent: le quality-gate ne peut JAMAIS detecter un media manquant car aucun node media ne signale son echec."
