domain,scenario,mock_result,live_result,divergence,explication
generation-image,"Operateur clique 'Generer un visuel IA' (modele gpt-image-1-mini, format post)","Image SVG->PNG generee, optimisee AVIF, status=ready, attachee au draft, servie HTTP 200. run provider=mock cost=0. (verifie: media me_bfuql6ua52l7v2y9)","HTTP 409 invalid_state 'CONTENT_STUDIO_OPENAI_API_KEY manquant...' AVANT tout appel reseau (cle vide cote flux create, bien que OPENAI_API_KEY valide existe dans le process).",Mock reussit; live echoue systematiquement quel que soit le modele.,image-generation.ts step1 court-circuite mock; en live step4 lit env.CONTENT_STUDIO_OPENAI_API_KEY (vide) -> throw. La cle OpenAI valide du process (OPENAI_API_KEY) n'est pas lue par ce chemin.
generation-image,Picker affiche les modeles image disponibles,"N/A (le picker interroge la discovery cote serveur, independant du mode mock/live du toggle)",14 modeles badges 'Live' (6 OpenAI valides cote discovery mais non generables; 8 Higgsfield issus du FALLBACK statique mais mal-etiquetes live). discovery.higgsfield='fallback' (host mort).,Le badge 'Live' ne correspond ni a la disponibilite reelle (Higgsfield = fallback) ni a la capacite de generer (OpenAI cle non lue par le generateur).,materialiseDiscoveredModel force source:'live' sans propager r.source; et le picker utilise resolveApiKey('openai') (trouve OPENAI_API_KEY) alors que le generateur lit CONTENT_STUDIO_OPENAI_API_KEY (vide).
generation-image,Operateur selectionne un modele Higgsfield hf-flux-pro et genere,"Mock SVG genere (court-circuit step1), run model=mock-low-cost-image cost=0.",HTTP 409 invalid_state 'credential Higgsfield incomplet' (cle hf_ sans secret).,"Mock ok; live Higgsfield jamais atteint (auth null). Et meme avec credential complet, l'endpoint synchrone serait faux.",higgsfieldAuthHeader() renvoie null sans secret; et generateHiggsfieldImage cible /v1/images/generate synchrone au lieu de l'API async reelle.
generation-image,Tracabilite du modele choisi dans generation_run,run enregistre model='mock-low-cost-image' (le choix gpt-image-1-mini est perdu).,N/A (live throw avant insertGenerationRun) ; en live fonctionnel le modele reel serait enregistre.,En mock le modele intentionnel n'est pas conserve; en live (theorique) il le serait.,Mock court-circuite avant toute prise en compte de input.model et force un id synthetique.
generation-video,Opérateur génère une vidéo reel depuis /create avec le modèle par défaut,"HTTP 200, MP4 statique (reel-9x16.mp4) servi et lu dans la PreviewPane. Coût 0¢.",Défaut suggéré=mock-video-1.0 donc identique au mock SAUF si l'opérateur a basculé Live ET choisi un modèle: hf-video-* → throw 'credential Higgsfield incomplet'; modèle live-discovered (veo3_1...) → throw 'aucun modèle vidéo live disponible'.,Le mock réussit toujours; le live échoue systématiquement quel que soit le modèle (credential incomplet OU modèle non routable).,Higgsfield credential mono-partie sans secret + endpoints async non implémentés + catalogue live non mappé sur le routeur hf-*.
generation-video,Choix d'un modèle vidéo dans le ModelPicker,mock-video-1.0 sélectionné par défaut → routage /^mock-/ → asset statique.,Le picker propose veo3_1/kling3_0/minimax_hailuo (source:live) mais generateStudioVideo ne reconnaît que startsWith('hf-') → ces choix throw invalid_state avec message trompeur 'aucun modèle vidéo live disponible'.,"Catalogue UI (12+ modèles dont 8 live) >> capacités backend réelles (mock + hf-* seulement, ce dernier cassé faute de credential).",Découverte live Higgsfield alimente le picker avec des IDs natifs; le routeur attend des IDs internes hf-video-* sans table de correspondance.
generation-video,Pipeline de composition vidéo complet (vidéo + voix-off + musique + sous-titres),Inaccessible depuis /create: l'opérateur ne touche que generateStudioVideo (asset statique sans audio/sous-titres). Les nodes AI-Engine ne sont pas appelés.,"Le pipeline AI-Engine (generate-video→compose) existe mais n'a produit aucun MP4 réel (0 fichier mp4 en stockage); en tests, ffmpeg est mocké donc rien n'est rendu.","Ni mock ni live n'offrent à l'opérateur une vidéo composée réelle; le 'mock' opérateur est un fichier préenregistré, le pipeline 'riche' est un système séparé et fantôme.",Architecture à deux systèmes parallèles non reliés pour la vidéo; le bridge ne propage que des images.
generation-video,Statut de la suite de tests vidéo,Tous les tests video-generation.test.ts 'passed' (15/15) selon le JSON.,Le process vitest sort EXIT 1 (unhandled rejection du test polling status=failed) — l'échec n'apparaît pas dans le compte de tests verts.,Rapport tests = 100% vert; process = échec (exit 1).,Promesse rejetée orpheline due à une mauvaise gestion fake-timers; le compteur de tests ne reflète pas l'état du process.
voix-off,Générer un reel (format vidéo) avec un ton valide (inspiring) — chemin nominal voix-off/musique/sous-titres,"Job status:completed, quality 0.91, cost breakdown liste generate_voiceover/generate_music. MAIS aucun fichier audio écrit (lavfi échoue), video url vide, et voiceover/music/subtitles absents de la réponse. Seul un SRT est écrit sur disque (non exposé).","Non testable: TTS provider=mock, ElevenLabs non configuré, aucune clé live valide pour l'audio; la voix-off live n'a jamais été exercée.",Le mock prétend réussir (completed) sans produire d'audio; le live est inexploitable. Aucun des deux ne livre de voix-off/musique réelle à l'opérateur.,Échec lavfi avalé en mock (voix-off-1/4) + DTO de sortie amputé (voix-off-2) + provider live absent (voix-off-5/6).
voix-off,Choisir le ton 'Empowering' (1er ton proposé) pour un reel via l'UI AI-Engine,"status:failed immédiat (ZodError tone invalid_enum_value); aucun node ne s'exécute, donc aucune voix-off.",Identique: échec immédiat avant tout appel provider; le mode (mock/live) n'a aucune incidence car l'erreur est au parsing.,Pas de divergence mock/live — la fonctionnalité est cassée dans les deux modes par le mismatch d'enum.,"voix-off-8: enum tone désynchronisé entre UI, route et parse-brief."
voix-off,Récupérer le fichier de sous-titres généré (.srt),"SRT bien formé écrit dans .media-storage/ai-engine et accessible en HTTP 200 via /_media, mais jamais référencé dans la réponse API ni l'UI.","Identique au mock (génération SRT = JS pur, indépendante du provider).",Aucune divergence mock/live pour la génération SRT; mais l'absence d'exposition est constante dans les deux modes.,"generate-subtitles n'utilise pas ffmpeg (voix-off-7), donc fonctionne; le DTO de sortie ne le propage pas (voix-off-2)."
copywriting,Génération de texte d'idée (operator create flow) avec une clé OpenAI valide présente dans OPENAI_API_KEY,"provider=fallback, model=deterministic-template, texte template figé","provider=fallback, model=deterministic-template, texte template figé (IDENTIQUE au mock)",Aucune divergence — MOCK et LIVE produisent exactement le même résultat car generation.ts ne lit pas OPENAI_API_KEY et le cookie cs_generation_mode n'affecte pas le texte.,"generation.ts:70 résout sur CONTENT_STUDIO_OPENAI_API_KEY/CHAT_OPENAI_API_KEY (vides), donc !apiKey -> fallback dans tous les cas. Le 'mode' n'existe pas pour le texte: il n'y a qu'un seul comportement."
