SignalID,Name,Category,Source,Type,DefaultSafeValue,Description,UsedByProfiles,FailSafeNote
SIG-SERVED-LOCALE,servedLocale,langue/contexte,server,Locale (fr|ar|en),fr,"Locale effective rendue (segment URL /[locale]). Pivot de tout mismatch.",TRIG-ENTRY-MISMATCH;TRIG-RETURNING-PREF;TRIG-AD-LANG;TRIG-EXIT-RESCUE;NEVER-SAME-LANG,"Toujours connu serveur (RSC). Si indéterminé => fr (x-default) ; sans served fiable on ne compare pas => no show."
SIG-ACCESS-LOCALE,accessLocale,langue/contexte,server,Locale (fr|ar|en),fr,"Langue d'accès = locale du segment de l'URL d'entrée (entryPath). Comparateur S6 vs Accept-Language.",TRIG-ENTRY-MISMATCH,"Absent => égal à servedLocale (pas de mismatch détecté) => conservateur."
SIG-ACCEPT-LANGUAGE,acceptLanguage,langue/contexte,server,"Array<{tag,q}>",[] (vide),"En-tête Accept-Language parsé avec q-weights (S3). Proxy standard de préférence.",TRIG-ENTRY-MISMATCH;TRIG-EXIT-RESCUE,"Header absent/illisible => [] => ne vote pas (S3 s'abstient), pas de crash."
SIG-COOKIE-LOCALE,cookieLocale,langue/contexte,cookie,Locale|null,null,"Cookie NEXT_LOCALE — choix antérieur EXPLICITE (S1, poids le plus élevé).",TRIG-RETURNING-PREF;NEVER-SAME-LANG,"Cookie illisible/absent => null => S1 ne vote pas. Un choix explicite prime et tend à supprimer (cohérence)."
SIG-PRIOR-LOCALE,priorLocale,langue/contexte,cookie,Locale|null,null,"Langue de la dernière session (S2, first-party, éphémère).",TRIG-RETURNING-PREF,"Absent (1re visite) => null => trigger retour ne matche pas => no show."
SIG-GUESSED-LOCALE,guessedLocale,langue/contexte,server,Locale|null,null,"Sortie de guessPreferredLocale(strategies) : meilleure locale du faisceau pondéré.",TRIG-ENTRY-MISMATCH;TRIG-AD-LANG;TRIG-EXIT-RESCUE;NEVER-SAME-LANG,"Aucun vote => null => égalité de fait avec served => no show (INV-20)."
SIG-CONFIDENCE,confidence,langue/contexte,server,Float [0..1],0,"Confiance de la devinette = marge de consensus (best-secondBest) normalisée.",TRIG-ENTRY-MISMATCH;TRIG-RETURNING-PREF;TRIG-AD-LANG;TRIG-EXIT-RESCUE;NEVER-SAME-LANG,"Défaut 0 => sous tout minConfidence => aucun trigger ne passe. Contradiction de signaux => bas => abstention."
SIG-REFERRER,referrer,source,server,String|null,null,"Document referrer de l'arrivée (origine du trafic).",TRIG-AD-LANG,"Absent => null => ne contribue pas à adLocale."
SIG-UTM,utm,source,server,"Record<string,string>",{} (vide),"Paramètres utm_* préservés (INV-4). Sert à dériver adLocale.",TRIG-AD-LANG,"Vide => pas de adLocale dérivé => trigger Meta inerte."
SIG-ENTRY-PATH,entryPath,source,server,String,/ (racine),"Chemin de la 1re page de la session (sans utm). Donne accessLocale + route type.",TRIG-ENTRY-MISMATCH;NEVER-DEEP-READ,"Indéterminé => '/' (non-article) => deep-read ne s'arme pas via route."
SIG-AD-LOCALE,adLocale,source,server,Locale|null,null,"Langue de la créa Meta (dérivée de utm/referrer balisé). Trafic publicitaire.",TRIG-AD-LANG,"Non tagué => null => trigger AD-LANG ne matche pas."
SIG-ROUTE-TYPE,routeType,source,server,"Enum (home|pdp|article|checkout|form|other)",other,"Catégorie de la route courante (utile pour deep-read et zones calmes).",NEVER-DEEP-READ;NEVER-CHECKOUT,"Inconnu => 'other' => n'active aucune logique route-spécifique sensible."
SIG-DWELL-MS,dwellMs,engagement,client,Integer ms,0,"Temps passé sur la page (depuis 1er paint).",TRIG-IDLE-BREAK;NEVER-DEEP-READ;NEVER-FRESH,"Défaut 0 => < seuil fresh (3s) => NEVER-FRESH s'arme => no show tant que pas de signal réel."
SIG-SCROLL-DEPTH,scrollDepth,engagement,client,Float [0..1],0,"Profondeur de scroll max atteinte (0=haut,1=bas).",TRIG-IDLE-BREAK;NEVER-DEEP-READ,"0 => pas de progression => triggers d'engagement ne matchent pas."
SIG-SCROLL-VELOCITY,scrollVelocity,engagement,client,Float px/s,0,"Vitesse de scroll instantanée (proxy de charge).",NEVER-FAST-SCROLL,"0 (repos) ne déclenche pas FAST-SCROLL ; mais un défaut conservateur côté trigger : pas de breakpoint tant que vélocité non observée calme."
SIG-SECTIONS-READ,sectionsRead,engagement,client,Integer,0,"Nombre de sections/ancres franchies et vues (breakpoint de section).",TRIG-AD-LANG;TRIG-IDLE-BREAK,"0 => aucun breakpoint de section atteint => moment non opportun."
SIG-IDLE-MS,idleMs,engagement,client,Integer ms,0,"Durée d'inactivité courante (ni scroll ni input ni move).",TRIG-IDLE-BREAK,"0 => pas de pause => IDLE-BREAK n'atteint pas son breakpoint."
SIG-PAGE-VIEWS,pageViewsInSession,engagement,client,Integer,1,"Nombre de pages vues dans la session courante.",TRIG-RETURNING-PREF,"Défaut 1 (page actuelle) => neutre."
SIG-RETURNING,returningVisitor,engagement,cookie,Boolean,false,"Visiteuse déjà venue (présence priorLocale/cookie session passée).",TRIG-RETURNING-PREF,"Défaut false => trigger retour inerte au 1er passage."
SIG-EXIT-INTENT,exitIntent,intention,client,Boolean,false,"Souris remonte vers le chrome navigateur (desktop only).",TRIG-EXIT-RESCUE,"Défaut false ; jamais émis sur tactile => EXIT-RESCUE inactif mobile."
