key,namespace,source_file,source_line,current_fr_value,context,category,priority,extraction_status,notes
common.back,common,src/app/error.tsx,82,Retour à l’accueil,cta back link,ui-static,P0,pending,"apparait 3x: error.tsx L82, not-found.tsx L33, MerciFallback L159 (Revenir à la maison) - normaliser"
common.close,common,src/components/layout/SommaireOverlay.tsx,133,Fermer,close overlay button,ui-static,P0,pending,"apparait 4x: SommaireOverlay, AtelierGallery L127, MiniCart L118, ChatHeader L55 - candidat common.*"
common.cancel,common,src/components/checkout/wizard/WizardShell.tsx,?,Annuler,form cancel,ui-static,P0,pending,scope wizard - HORS audit (CHA-231)
common.read,common,src/components/sections/JournalCrossLink.tsx,46,Lire,read more cta,ui-static,P1,pending,courte forme
common.continue,common,src/components/commerce/CartContents.tsx,154,Continuer à découvrir,continue browsing,ui-static,P1,pending,version longue
common.remove,common,src/components/commerce/CartContents.tsx,121,Retirer,remove cart item,ui-static,P0,pending,"apparait 2x: CartContents L121, MiniCart L143"
common.loading,common,src/components/commerce/CartContents.tsx,60,Lecture du panier…,loading cart,ui-static,P0,pending,specifique panier
common.loading_order,common,src/components/commerce/MerciClient.tsx,104,Lecture de votre commande…,loading order,ui-static,P0,pending,specifique merci
common.loading_cart_recap,common,src/components/sections/CartHero.tsx,14,Lecture du récapitulatif…,loading cart-hero,ui-static,P1,pending,
common.reference,common,src/app/error.tsx,71,Référence :,error ref label,ui-static,P1,pending,
common.reload,common,src/app/error.tsx,77,Recharger la page,reload error cta,ui-static,P0,pending,
common.send,common,src/components/forms/ContactForm.tsx,294,Envoyer mon message,submit contact form,ui-static,P0,pending,
common.facultative,common,src/components/chat/LeadFormBubble.tsx,351,(facultatif),optional field hint,ui-static,P1,pending,
common.confirm_consent,common,src/components/forms/ContactForm.tsx,257,J’accepte que mon message soit lu par la maison FemiGlow afin d’y répondre.,gdpr consent,ui-static,P0,pending,longue chaîne avec interpolation lien mentions-legales
common.sources,common,src/components/chat/MessageList.tsx,234,Sources,sources popover label,ui-static,P2,pending,
common.dotted_sources,common,src/components/chat/MessageBubble.tsx,66,Sources · {count},sources count,ui-static,P2,pending,interpolation count
navigation.home,navigation,src/lib/menu-descriptions.ts,29,La maison,nav menu maison label,ui-static,P0,pending,"apparait 4x: SommaireOverlay menu, Footer columns, CrossLink etc"
navigation.kit,navigation,src/lib/menu-descriptions.ts,19,Le pack,nav menu kit label,ui-static,P0,pending,"changement: avant 'Le kit' désormais 'Le pack' (audit 08/09)"
navigation.kit_alt,navigation,src/components/layout/Footer.tsx,15,Le kit,footer kit label,ui-static,P1,pending,divergence avec menu - 'Le kit' utilisé en footer mais 'Le pack' en sommaire
navigation.rituel,navigation,src/lib/menu-descriptions.ts,12,Le rituel,nav menu rituel,ui-static,P0,pending,
navigation.journal,navigation,src/lib/menu-descriptions.ts,24,Le journal,nav menu journal,ui-static,P0,pending,
navigation.contact,navigation,src/lib/menu-descriptions.ts,35,Contact,nav menu contact,ui-static,P0,pending,
navigation.account,navigation,src/components/header/main-nav.tsx,?,Mon compte,nav account,ui-static,P1,pending,non implémenté actuellement - V1 inexistant
navigation.cart,navigation,src/components/commerce/CartButton.tsx,?,Panier,cart icon label,ui-static,P0,pending,
navigation.menu_summary,navigation,src/components/layout/SommaireOverlay.tsx,116,Sommaire de navigation,sr-only menu title,ui-static,P1,pending,a11y label
navigation.menu_label,navigation,src/components/layout/Header.tsx,103,Sommaire,menu trigger label,ui-static,P0,pending,
navigation.menu_hint_arrow,navigation,src/components/layout/Header.tsx,112,Voir le pack ci-dessous,menu hint bubble,ui-static,P1,pending,à enrichir/refactor
navigation.menu_season_label,navigation,src/lib/menu-descriptions.ts,43,Saison du printemps — Rabat,menu kicker,ui-static,P1,pending,
navigation.menu_season_label_short,navigation,src/lib/menu-descriptions.ts,44,Printemps · Rabat,menu short kicker,ui-static,P2,pending,
navigation.menu_signature,navigation,src/lib/menu-descriptions.ts,45,"Rabat, saison du printemps.",menu footer signature,ui-static,P1,pending,
navigation.menu.rituel_description,navigation,src/lib/menu-descriptions.ts,14,"Manucure japonaise halal. Deux gestes, un polissoir.",menu rituel description,ui-static,P1,pending,
navigation.menu.kit_description,navigation,src/lib/menu-descriptions.ts,20,"Paste, powder, polissoir Step 4. Cinq minutes par soir.",menu kit description,ui-static,P1,pending,
navigation.menu.journal_description,navigation,src/lib/menu-descriptions.ts,26,"Les notes de l'atelier, en lecture lente.",menu journal description,ui-static,P1,pending,
navigation.menu.maison_description,navigation,src/lib/menu-descriptions.ts,32,"Rabat, l'atelier de notre fondatrice, les mains qui font.",menu maison description,ui-static,P1,pending,
navigation.menu.contact_description,navigation,src/lib/menu-descriptions.ts,38,"Une question, une commande spéciale.",menu contact description,ui-static,P1,pending,
navigation.header_logo_aria,navigation,src/components/layout/Header.tsx,85,FemiGlow — Accueil,logo aria,ui-static,P0,pending,
navigation.footer.column_rituel,navigation,src/components/layout/Footer.tsx,11,Le rituel,footer column title,ui-static,P0,pending,
navigation.footer.column_assistance,navigation,src/components/layout/Footer.tsx,20,Assistance,footer column title,ui-static,P0,pending,
navigation.footer.column_legal,navigation,src/components/layout/Footer.tsx,57,Légal,footer column title,ui-static,P0,pending,
navigation.footer.link_journal,navigation,src/components/layout/Footer.tsx,14,Journal,footer link,ui-static,P0,pending,
navigation.footer.link_maison,navigation,src/components/layout/Footer.tsx,15,Maison,footer link,ui-static,P0,pending,
navigation.footer.link_livraison,navigation,src/components/layout/Footer.tsx,23,Livraison,footer link,ui-static,P0,pending,
navigation.footer.link_retours,navigation,src/components/layout/Footer.tsx,24,Retours,footer link,ui-static,P0,pending,
navigation.footer.tagline,navigation,src/components/layout/Footer.tsx,37,"Maison marocaine de soin pour les ongles. Le rituel, en cinq minutes.",footer brand tagline,ui-static,P0,pending,
navigation.footer.address,navigation,src/components/layout/Footer.tsx,64,"FemiGlow · 25 bis avenue Patrice Lumumba, Rabat",footer address line,ui-static,P0,pending,
navigation.footer.copyright,navigation,src/components/layout/Footer.tsx,77,© {year} FemiGlow — Rabat. Tous droits réservés.,footer copyright,ui-static,P0,pending,interpolation year
navigation.footer.copyright_minimal,navigation,src/components/layout/FooterMinimal.tsx,31,© {year} FemiGlow — Rabat.,footer minimal copyright,ui-static,P1,pending,version courte
navigation.commerce_header.back_home,navigation,src/components/layout/CommerceHeader.tsx,19,Retour à la maison,commerce header back link,ui-static,P0,pending,
navigation.checkout_header.leave_aria,navigation,src/components/layout/CheckoutHeader.tsx,25,Quitter la commande,checkout exit aria,ui-static,P0,pending,
navigation.checkout_header.payment_on_delivery,navigation,src/components/layout/CheckoutHeader.tsx,38,Paiement à la livraison,checkout header badge,ui-static,P0,pending,
navigation.checkout_header.back_cart,navigation,src/components/layout/CheckoutHeader.tsx,46,Retour au panier,checkout back cart,ui-static,P0,pending,
navigation.checkout_header.back_cart_short,navigation,src/components/layout/CheckoutHeader.tsx,47,Panier,checkout back cart mobile,ui-static,P0,pending,
navigation.footer_minimal.cgv,navigation,src/components/layout/FooterMinimal.tsx,5,Conditions générales,footer minimal link,ui-static,P0,pending,
navigation.footer_minimal.mentions,navigation,src/components/layout/FooterMinimal.tsx,6,Mentions légales,footer minimal link,ui-static,P0,pending,
marketing.home.metadata.title,seo,src/app/(marketing)/page.tsx,30,Maison de soin pour les ongles — à Rabat,page title metadata,seo-meta,P0,pending,SEO <title>
marketing.home.metadata.description,seo,src/app/(marketing)/page.tsx,32,"Pack FemiGlow — manucure japonaise halal. Deux gestes, un polissoir, cinq minutes par soir. Édité à Rabat.",page description metadata,seo-meta,P0,pending,SEO <meta description>
marketing.home.metadata.og_title,seo,src/app/(marketing)/page.tsx,36,FemiGlow — Maison de soin pour les ongles,og title,seo-meta,P0,pending,
marketing.home.metadata.og_description,seo,src/app/(marketing)/page.tsx,37,"Manucure japonaise halal. Deux gestes, un polissoir, cinq minutes par soir.",og description,seo-meta,P0,pending,
marketing.home.fallback_og_alt,seo,src/app/(marketing)/page.tsx,24,FemiGlow,og fallback alt,seo-meta,P2,pending,
marketing.home.hero.kicker,marketing,src/data/mock/homepage.ts,10,Maison de Rabat,home hero kicker,mock-data,P0,pending,cms-binding
marketing.home.hero.title,marketing,src/data/mock/homepage.ts,11,"Le pack FemiGlow. Deux gestes, un éclat révélé.",home hero title,mock-data,P0,pending,cms-binding via cms.getHomepageContent
marketing.home.hero.subtitle,marketing,src/data/mock/homepage.ts,12,"Manucure japonaise halal, pensée à Rabat. Sans vernis, sans abrasion.",home hero subtitle,mock-data,P0,pending,
marketing.home.hero.cta_primary,marketing,src/data/mock/homepage.ts,14,Découvrir le rituel,home hero primary cta,mock-data,P0,pending,
marketing.home.hero.cta_secondary,marketing,src/data/mock/homepage.ts,15,Recevoir le pack,home hero secondary cta,mock-data,P0,pending,
marketing.home.hero.image_alt,marketing,src/data/mock/homepage.ts,18,"Coffret pastel FemiGlow ouvert, pot paste sauge et pot powder rose poudré, polissoir bleu ciel, lumière naturelle de fin de matinée",home hero image alt,mock-data,P2,pending,
marketing.home.gestes.kicker,marketing,src/components/sections/GestesGrid.tsx,15,Le rituel,gestes grid kicker,ui-static,P0,pending,default value
marketing.home.gestes.title,marketing,src/components/sections/GestesGrid.tsx,16,"Cinq gestes, cinq minutes.",gestes grid default title,ui-static,P0,pending,actuellement faux : 3 gestes - à corriger
marketing.home.gestes.paste_titre,marketing,src/data/mock/homepage.ts,26,Paste,geste paste title,mock-data,P0,pending,
marketing.home.gestes.paste_duree,marketing,src/data/mock/homepage.ts,27,2 minutes,geste paste duration,mock-data,P0,pending,
marketing.home.gestes.paste_description,marketing,src/data/mock/homepage.ts,28,"Pâte crème onctueuse, posée sur ongle sec. Filme, lisse, prépare.",geste paste description,mock-data,P0,pending,
marketing.home.gestes.powder_titre,marketing,src/data/mock/homepage.ts,32,Powder,geste powder title,mock-data,P0,pending,
marketing.home.gestes.powder_duree,marketing,src/data/mock/homepage.ts,33,2 minutes,geste powder duration,mock-data,P0,pending,
marketing.home.gestes.powder_description,marketing,src/data/mock/homepage.ts,34,"Poudre fine blanche, déposée sur la paste. Absorbe, lustre, réveille.",geste powder description,mock-data,P0,pending,
marketing.home.gestes.polish_titre,marketing,src/data/mock/homepage.ts,38,Polish & Shine,geste polish title,mock-data,P0,pending,
marketing.home.gestes.polish_duree,marketing,src/data/mock/homepage.ts,39,1 minute,geste polish duration,mock-data,P0,pending,
marketing.home.gestes.polish_description,marketing,src/data/mock/homepage.ts,40,"Polissoir Step 4 passé en mouvements lents. La brillance naturelle apparaît.",geste polish description,mock-data,P0,pending,
marketing.home.manifeste.kicker,marketing,src/data/mock/homepage.ts,45,Manifeste,manifeste section kicker,mock-data,P0,pending,
marketing.home.manifeste.title,marketing,src/data/mock/homepage.ts,46,La beauté lente est une attention.,manifeste section title,mock-data,P0,pending,
marketing.home.manifeste.statement_1,marketing,src/data/mock/homepage.ts,48,"Nous croyons que les ongles révèlent ce qu’on leur prête. Le geste, le temps, la patience.",manifeste paragraph 1,mock-data,P0,pending,
marketing.home.manifeste.statement_2,marketing,src/data/mock/homepage.ts,49,Cinq minutes par jour. Deux gestes et un polissoir. Aucune démonstration.,manifeste paragraph 2,mock-data,P0,pending,
marketing.home.avis.salma.quote,marketing,src/data/mock/homepage.ts,58,Trois mois sans casse. Cinq minutes par soir suffisent.,avis salma testimonial quote,mock-data,P1,pending,
marketing.home.avis.salma.first_name,marketing,src/data/mock/homepage.ts,55,Salma,testimonial first name,mock-data,P1,pending,
