Item,Area,In-Scope(Y/N),Owner,Responsible,Consulted,Informed,Notes
LocaleSwitcher component (header dropdown),client,Y,Frontend Lead,Frontend Dev,Product Designer,QA,"Surface header; variant=dropdown; endonyme actif Inter; neutre uniquement (CONTRACT §5)"
LocaleSwitcher pills (drawer mobile),client,Y,Frontend Lead,Frontend Dev,Product Designer,QA,"Surface drawer; tap target >=44px (INV tap.min)"
LocaleSwitcher pills (footer),client,Y,Frontend Lead,Frontend Dev,Product Designer,QA,"Surface footer; redondance decouvrabilite de secours"
Segmented-toggle A/B variant (header),client,Y,Product Designer,Frontend Dev,Product Lead,QA,"Variant header.variant=segmented; flag localeSwitcherV2; H1 du dossier"
useLocaleTransition hook,client,Y,Frontend Lead,Frontend Dev,Frontend Lead,QA,"Coeur no-reload: VT + sync dir/lang + soft-nav + fallback veil + reduced-motion (INV-1,2,7)"
LocaleVeil overlay (fallback framer),client,Y,Frontend Lead,Frontend Dev,Product Designer,QA,"Fade 160/160ms; cross-browser (Firefox); ivoire neutre"
LocaleNudge perle one-shot,client,Y,Product Designer,Frontend Dev,Backend Dev,QA,"Surface nudge; 1x/visiteur; dismiss permanent; jamais wizard/modale"
aria-live announce on switch,client,Y,Frontend Lead,Frontend Dev,Accessibility Ref,QA,"INV-10; remplace l'annonce perdue du reload"
Focus management post-switch,client,Y,Accessibility Ref,Frontend Dev,Frontend Lead,QA,"Retour focus declencheur; pas de focus perdu"
No-JS fallback (a hreflang links),client,Y,Frontend Lead,Frontend Dev,SEO Ref,QA,"INV-8; degradation gracieuse + SEO"
Scroll/querystring/UTM preservation,client,Y,Frontend Lead,Frontend Dev,Analytics Ref,QA,"INV-3, INV-4; buildSwitchUrl"
Switcher hidden on /admin/* and wizard,client,Y,Frontend Lead,Frontend Dev,Product Lead,QA,"INV-5; contrat CHA-231 conserve"
View Transitions CSS (charte curve),client,Y,Product Designer,Frontend Dev,Frontend Lead,QA,"280ms cubic-bezier(0.22,1,0.36,1); reduced-motion off (INV-7)"
Design tokens reference,data,Y,Product Designer,Product Designer,Frontend Lead,QA,"02-design-ui-ux/design-tokens.json; motion/color/typo/spacing/z/tap/focus"
Admin page /admin/i18n,admin,Y,Product Lead,Frontend Dev,Backend Dev,QA,"Activer locale, endonymes, nudge, ordre, preview"
Admin permissions + audit,admin,Y,Backend Lead,Backend Dev,Security Ref,Product Lead,"Ecriture admin-only + audit (qui/quoi/quand)"
Admin preview of surfaces,admin,Y,Product Designer,Frontend Dev,Product Lead,QA,"Previsualisation header/drawer/footer/nudge"
GET /api/i18n/config (public cached),backend,Y,Backend Lead,Backend Dev,Frontend Lead,QA,"Lisible sans auth; cachee; fallback defauts si invalide (INV-12)"
GET/PUT /api/admin/i18n/config,backend,Y,Backend Lead,Backend Dev,Security Ref,QA,"Ecriture admin-only + audit"
resolveSuggestedLocale() server detection,backend,Y,Backend Lead,Backend Dev,Frontend Lead,QA,"Accept-Language sans flash; alimente le nudge"
i18n_locale_config table (Drizzle),data,Y,Backend Lead,Backend Dev,Data Ref,QA,"Migration; config admin-editable"
Events analytics contract,data,Y,Analytics Ref,Frontend Dev,Product Lead,QA,"locale_switch + 3 nudge events (CONTRACT §4); payloads figes"
KPI dashboard (NS + K1..K8 par locale),data,Y,Analytics Ref,Data Eng,Product Lead,Stakeholders,"Seuils vert/ambre/rouge; gap AR<->FR"
Feature flag localeSwitcherV2,backend,Y,Backend Lead,Backend Dev,Product Lead,QA,"Pilote activation V2 + variantes A/B"
hreflang/SEO alternates preserved,client,Y,SEO Ref,Frontend Dev,Frontend Lead,QA,"INV-9; x-default=fr; URLs localisees intactes"
i18n scanners non-regression (0 latin /ar),tests,Y,QA Lead,QA Eng,Frontend Lead,Product Lead,"INV-6; scanners existants restent verts"
Wizard checkout non-regression guard,tests,Y,QA Lead,QA Eng,Frontend Lead,Product Lead,"CHA-231; switcher absent; E2E garde"
Vitest unit/integration plan,tests,Y,QA Lead,QA Eng,Frontend Lead,Product Lead,"Hook, config fallback, events, no-op"
Playwright E2E FR/AR/EN + RTL,tests,Y,QA Lead,QA Eng,Accessibility Ref,Product Lead,"No-reload, scroll, UTM, RTL glitch frame-by-frame"
MSW network handlers,tests,Y,QA Lead,QA Eng,Backend Dev,Product Lead,"Mocks config API + down/invalid (INV-12)"
axe accessibility automated,tests,Y,Accessibility Ref,QA Eng,Frontend Lead,Product Lead,"WCAG 2.1 AA; roles/aria/contrast"
Coverage matrix (INV traceability),tests,Y,QA Lead,QA Eng,Product Lead,Stakeholders,"Chaque INV-1..12 -> >=1 test"
IP/geo locale detection,backend,N,Product Lead,-,-,Stakeholders,"Non-goal; Accept-Language + cookie uniquement"
Top-bar full-width language strip,client,N,Product Designer,-,-,Stakeholders,"Non-goal; casse 1 focal/viewport (dossier §5 A2)"
SPA message swap without navigation,client,N,Frontend Lead,-,-,Stakeholders,"Non-goal C5; casse URL localisee/SEO/RSC"
4th+ language onboarding,data,N,Product Lead,-,-,Stakeholders,"Non-goal; design extensible mais on livre fr/ar/en"
Cross-device choice persistence,backend,N,Backend Lead,-,-,Stakeholders,"Non-goal; cookie NEXT_LOCALE 1 an suffit"
Flags/emoji/per-language color,client,N,Product Designer,-,-,Stakeholders,"Interdit charte (CONTRACT §5)"
