task_id,phase,title,type,linked_findings,deliverable,effort,depends_on,exit_criteria
T0.1,0,Fixtures déterministes analytics,harness,,src/test/fixtures/analytics/*,0.5j,,"ev/session/seed/reset + builders verts"
T0.2,0,Handlers MSW paramétrables,harness,,src/test/msw/analytics-handlers.ts,0.25j,T0.1,"scénarios nominal/empty/error500/highVolume/firstRun"
T0.3,0,Utilitaires Playwright + matrice fuseau,harness,AF-04,e2e/_helpers + CI TZ matrix,0.25j,,"loginAsAdmin/routeAnalytics; CI UTC+Casablanca"
T1.1,1,Tests rouges refetch (3 dashboards),test,AF-01,"*Dashboard.refetch.spec.tsx",0.5j,T0.2,"3 tests rouges démontrant AF-01"
T1.2,1,Test e2e réactivité filtres,test,AF-01,e2e/analytics/filters-reactivity.spec.ts,0.25j,T0.3,"e2e rouge sur funnel/cta/checkout"
T1.3,1,Correctif réactivité (pattern Insights),fix,"AF-01,F-PERF-03","FunnelDashboard/CtaDashboard/CheckoutDashboard",0.75j,T1.1,"lire URL + refetch + supprimer double fetch; tests verts"
T1.4,1,data-testid manquants,fix,AF-01,"kpi-*, data-table-*, empty/error-state",0.25j,T1.3,"sélecteurs stables"
T2.1,2,Test rouge revenu CTA MAD,test,AF-02,cta queries+format specs,0.25j,T0.1,"199 MAD attendu (rouge)"
T2.2,2,Correctif unité/devise revenu,fix,"AF-02,F-INS-04,F-CTA-05",cta.ts/format.ts/insights,0.5j,T2.1,"revenu MAD correct; tests verts"
T2.3,2,Tests + correctif fuseau,test+fix,AF-04,filters.ts,0.5j,T0.3,"resolveRange Casablanca; CI bi-fuseau verte"
T2.4,2,Décision + tests modèle funnel,test+fix,AF-03,"checkout.ts/funnel.ts + UI légende",0.75j,T0.1,"progression clampée/expliquée; parité documentée"
T2.5,2,Device défaut + double barre Insights,fix,AF-05,"filters.ts/FilterBar/InsightsView",0.5j,T1.3,"badge Mobile uniquement; 1 barre effective sur insights"
T3.1,3,CTA topPages/déterminisme/libellés,test+fix,"F-CTA-02,F-CTA-03,F-CTA-04",cta.ts + UI,0.75j,T2.2,"topPages réconcilié; tri stable; tooltips"
T3.2,3,Checkout abandons + libellé,test+fix,"F-CHK-02,F-CHK-03,F-CHK-04",checkout.ts + UI,0.75j,T2.4,"abandons corrects bord de fenêtre; KPI renommé"
T3.3,3,Insights firstRun/refresh/refreshedAt,test+fix,"F-INS-02,F-INS-03,F-INS-06",insights/refresh+UI,0.75j,T0.2,"état firstRun; lock concurrent; refreshedAt visible"
T3.4,3,Export CSV/PNG robustes,test+fix,F-INS-05,insights/exports+png,0.5j,T0.3,"CSV colonnes; PNG non vide fr/ar/en"
T3.5,3,Filtres invalides + format semaine/heure,test+fix,"F-FLT-01,F-FMT-01,F-FMT-02",filters.ts/format.ts,0.5j,T0.1,"clé invalide gérée; semaine ISO/bords"
T4.1,4,Supprimer double fetch + cache court,fix,"F-PERF-03,F-PERF-04","dashboards + routes API",0.5j,T1.3,"1 appel au mount; cache 30-60s"
T4.2,4,Matviews pour fenêtres longues,fix,"F-PERF-01,F-PERF-02","queries funnel/cta/checkout",1j,T0.1,"fenêtre 90d via mv_*; bench OK"
T4.3,4,Requêtes paramétrées Drizzle,fix,F-SEC-01,"queries fetchEvents",0.5j,,"plus de sql.raw concaténé"
T5.1,5,a11y axe 4 onglets,test,,e2e/analytics/a11y.spec.ts,0.5j,T1.3,"0 violation critique/serious"
T5.2,5,Stabilité anti-flaky + gate CI,ci,,".github/workflows + coverage",0.5j,"T1.3,T2.2","3x vert; gate bloquante; seuils couverture"
