id,title,layer,depends_on,files,test_ids,verifies,status
MP-CO-00,Confirm architecture prereqs (role composed_video/meta_json/getDraftBundle/upsertBundleAssets/DTO mapping),architecture,MP-AR-001;MP-AR-002;MP-AR-003;MP-AR-005,docs/plan-media-production-2026-05-30/00_global/*,MP-AR-* suite;tsc --noEmit,D1;D2 available to compose;soft-dep MP-VO/MP-SU assets,todo
MP-CO-01,Extract composeMediaBundle core from composeNode composeVideo (mode switch+timeout+temp cleanup+source-missing throw+codec fallback),node,MP-CO-00,apps/web/src/lib/ai-engine/nodes/compose.ts,compose.test.ts (existing 8 green unchanged);compose-media-bundle.test.ts > mock => byte-copy mp4 provider=compose:mock cost 0 no ffmpeg mux no fetch;> live vo+music amix ducking;> ffmpeg error rejects + temp unlinked;> timeout kills process;> missing source throws,D5 reuse;no ffmpeg rewrite;node behavior unchanged,todo
MP-CO-04,Add composeGenerationSchema (zod booleans strict empty-body-ok),schema,MP-CO-00,apps/web/src/lib/content-studio/schemas.ts,compose-schema.test.ts > accepts empty body;> rejects unknown keys;> rejects non-boolean include;> defaults flags,input validation 400,todo
MP-CO-02,Implement composeDraftVideo service (bundle-aware mode-aware),service,MP-CO-01;MP-CO-04,apps/web/src/lib/content-studio/service.ts,compose-draft-video.test.ts > mode=mock byte-copy no provider call;> no primary video invalid_state 409;> live no extra track invalid_state 409;> persists role=composed_video asset+run;> recompose replaces by role;> non-video invalid_state;> ffmpeg error upstream_failed no asset;> source missing upstream_failed;> tracks report reflects bundle,D3 mode-awareness;E-CO-3;E-CO-4;E-CO-5;E-CO-11,todo
MP-CO-03,Create POST compose route handler (empty body allowed),route,MP-CO-02,apps/web/src/app/api/admin/content-studio/drafts/[id]/compose/route.ts,compose.route.test.ts > 200 mock empty body;> 400 unknown key;> 409 no primary video;> reads cs_generation_mode cookie;> 401 not admin;> error envelope shape,route mirrors generate-visual;auth;cookie mode,todo
MP-CO-06,Build TracksPanel shell (mounts compose+sibling tracks behind flag),frontend,MP-CO-00,apps/web/src/components/admin/content-studio-v2/create/tracks/TracksPanel.tsx,TracksPanel.test.tsx > mounts when video-capable+flag on;> not mounted flag off,D4 shell;D6 feature flag,todo
MP-CO-05,Build ComposePanel component (presence rows+include switches+Composer+VideoPlayer),frontend,MP-CO-03;MP-CO-06,apps/web/src/components/admin/content-studio-v2/create/tracks/ComposePanel.tsx,ComposePanel.test.tsx > Composer disabled+hint when no primary video (blocked);> POSTs include flags renders VideoPlayer;> shows track summary;> stale badge on source change;> guards empty draftId no fetch;> surfaces 409 inline role=alert;> include switch aria-checked,D4 UI;reuse VideoPlayer;optimistic composing;E-CO-1;E-CO-3,todo
MP-CO-07,Wire TracksPanel/ComposePanel into MediaStudio (flagged video-capable),frontend,MP-CO-05,apps/web/src/components/admin/content-studio-v2/create/MediaStudio.tsx,MediaStudio.compose.test.tsx > flag off no panel DOM unchanged;> flag on reel panel present;> image format no panel,D4;D6 feature flag;non-regression,todo
MP-CO-08,Surface composed video in publish confirm (preview+track summary dry-run),frontend,MP-CO-07,apps/web/src/components/admin/content-studio-v2/create/PublishActionGroup.tsx,PublishActionGroup.compose.test.tsx > shows composed video when present;> falls back to primary when none;> renders track summary from meta,D4 flow into publish;dry-run only,todo
MP-CO-09,Optional export chain via transcodeExportNode (degraded never fatal),service,MP-CO-02,apps/web/src/lib/content-studio/service.ts;apps/web/src/lib/ai-engine/nodes/transcode-export.ts,compose-draft-video.test.ts > export=true ok url set;> export=true degraded composed succeeds export.degraded=true,E-CO-14;reuse transcode node,todo
MP-CO-14,MSW + ffmpeg-binary boundary no-network proofs,test,MP-CO-02,apps/web/src/lib/content-studio/__tests__/*;apps/web/src/lib/ai-engine/nodes/compose-media-bundle.test.ts,test-plan-msw.md;compose-draft-video.test.ts (request:start spy = []),compose makes zero HTTP;ffmpeg mocked,todo
MP-CO-10,Playwright E2E golden path (mock mode),test,MP-CO-07,apps/web/e2e/content-studio-v2/compose.spec.ts,compose.spec.ts > operator composes and previews a montage (mock);> recompose replaces;> flows into publish summary;> panel hidden non-video;> panel hidden flag off,E2E mock staging :8012,todo
MP-CO-11,Node regression: compose graph behavior unchanged,test,MP-CO-01,apps/web/src/lib/ai-engine/nodes/compose.test.ts,compose.test.ts (existing 8 green unchanged),node adapter preserves graph shape,todo
MP-CO-12,Non-regression: generate-visual and 4-step flow untouched,test,MP-CO-07,apps/web/src/components/admin/content-studio-v2/create/MediaStudio.test.tsx,MediaStudio.test.tsx (existing green);MediaStudio.compose.test.tsx > flag off DOM unchanged,D6 non-regression,todo
MP-CO-13,CI gate: tsc --noEmit + vitest + MSW onUnhandledRequest error,ci,MP-CO-02;MP-CO-03;MP-CO-05,apps/web/*,pnpm -C apps/web exec tsc --noEmit;vitest run,quality bar §6,todo
