id_tache,titre,axe,priorite,findings,dependances,critere_fin_mesurable,effort,statut
T-001,Gate CI sur le code de sortie (pas la ligne de resume),process,P0,BUG-010;BUG-027;BUG-032,,"Sur la baseline figee, vitest run + echo $? = 1 et la CI passe au rouge (revele BUG-010) avant correction; apres T-002 le run = 0",S,a_faire
T-002,Reparer la fuite fake-timer + afterEach global de drain de timers,process,P0,BUG-010;BUG-027;BUG-032,T-001,"vitest run video-generation.test.ts + echo $? = 0, Errors 0, et la suite complete repasse EXIT 0 (verifie par re-run, pas le seul JSON)",S,a_faire
T-003,Corriger les 2 E2E du parcours operateur (selecteur video + table audit_events),process,P0,BUG-023;BUG-029;BUG-042;BUG-055;BUG-064,,"PLAYWRIGHT_EXIT=0 sur create->generate->publish-draft (mock); les 2 specs passent contre la vraie DB; to_regclass('audit_events') non null assertee par le seed",S,a_faire
T-005,Source de verite unique de resolution de cles + deblocage OpenAI live (flux create),backend,P0,BUG-001;BUG-005;BUG-006;BUG-007;MISS-003;MISS-007;MISS-013,T-001;T-002,"Depuis /create en Live, generer un visuel (gpt-image-1-mini) produit un asset servi 200 + generation_run provider=openai succeeded cost>0; en mock le SVG/PNG reste produit. Prouve dans les deux modes",M,a_faire
T-006,Harnais de parite MOCK/LIVE: MSW global + contract-tests fournisseurs,process,P0,BUG-041;BUG-045;BUG-046;BUG-037;MISS-008;MISS-009;BUG-011;BUG-018,T-001;T-002,"Un test devient rouge si le code appelle un endpoint sync faux (/v1/videos/generate) au lieu du contrat async reel; tout fetch non declare dans MSW echoue; >=1 test de parite dry_run<->live partage les memes assertions et passe a l'identique",L,a_faire
T-010,Smoke parcours operateur en CI (mock) assertant l'effet backend,process,P0,BUG-047;BUG-046;BUG-005;BUG-001,T-003;T-005;T-006,"CI execute le smoke a chaque PR; il echoue si l'asset n'est pas servi 200 ou si le job n'est pas cree; passe vert sur baseline corrigee; couverture vitest inclut les 16 noeuds AI-Engine",M,a_faire
T-020,Securiser/supprimer le contournement legacy /postiz-draft,publication-postiz,P0,BUG-040,,"POST /postiz-draft en staging (dry_run) ne cree aucun draft sur l'instance Postiz reelle (verifie read-only via GET integrations): soit 410 Gone, soit dry_run honore",S,a_faire
T-021,Controle d'acces sur les medias generes /_media,robustesse,P0,MISS-010,,"curl SANS cookie sur /_media/ai-engine/subtitles-*.srt renvoie 401/403; avec cookie admin -> 200. Prouve par probe",M,a_faire
T-101,Generation image LIVE depuis le flux create (OpenAI),generation-image,P1,BUG-001;BUG-006;BUG-007;BUG-028,T-005,"En Live, gpt-image-1-mini ET dall-e-3 produisent un asset servi 200 + generation_run provider=openai succeeded; un modele non routable renvoie 409 au message explicite; en mock inchange. Prouve dans les deux modes",M,a_faire
T-102,Higgsfield LIVE: credential complet (KEY_ID:KEY_SECRET) + auth conforme + validation boot,generation-video,P1,BUG-001;BUG-002;BUG-008;BUG-025;MISS-009,T-005;T-006,"GET /config/providers -> Higgsfield configured:true; un appel d'auth read-only renvoie 2xx; au boot avec credential mono-partie -> avertissement explicite + badge non-generable, pas un throw 409 au 1er clic",M,a_faire
T-103,Reecrire les endpoints Higgsfield en async submit+poll conformes,generation-video,P1,BUG-002;BUG-008;BUG-025;BUG-009;MISS-009;MISS-022,T-102;T-006,"Un contract-test echoue si un endpoint sync est appele; un modele video live-decouvert (veo3_1) du picker est route sans invalid_state 'aucun modele video live disponible'; le handler ne bloque plus 5 min de facon synchrone (test de timeout); en mock inchange",L,a_faire
T-103b,Brancher le scheduler de publication programmee,publication-postiz,P1,BUG-003,T-301;T-302,"Programmer un post a T+2 min en staging -> transite queued->publishing->published (dry_run), un social_publish_job date apparait, GET /publish-jobs?publishMode=schedule montre >=1 job execute (auj: 0). Activation LIVE gardee par T-301+T-302",M,a_faire
