id,module,fonctionnalite,surface,acteur,fichiers_sources_cles,etat_connu_audit_2026-06,priorite_test
F-001,01-dashboard-sante,KPIs dashboard (envoyés/livrés/échecs/taux 7j),UI admin,Opérateur,src/app/admin/emails/page.tsx;src/lib/mail/transactional/summary.ts,KPI Livrés structurellement à 0 (webhook Stalwart cassé),P0
F-002,01-dashboard-sante,Badge santé emailing (ok/degraded/incident),UI admin,Opérateur,src/lib/admin/emails/health.ts;src/app/api/admin/emails/health/route.ts,Aveugle aux crons morts et à Listmonk down,P0
F-003,01-dashboard-sante,Navigation/layout section emails,UI admin,Opérateur,src/app/admin/emails/layout.tsx,OK apparent,P2
F-004,01-dashboard-sante,Command palette globale (Cmd+K),UI admin,Opérateur,src/components/admin/emails/GlobalCommandPalette.tsx,Non audité en profondeur,P2
F-010,02-cockpit-transactionnel,Recherche/filtres outbox (freetext+filtres typés),UI admin,Opérateur,src/components/admin/emails/cockpit/TransactionalCockpit.tsx;src/lib/mail/transactional/search.ts;filters-parser.ts,COUNT(*) plein scan; filtre exact case-sensitive vs ilike,P1
F-011,02-cockpit-transactionnel,Pagination des résultats,UI admin,Opérateur,cockpit/FilteredTable.tsx,ABSENTE — offset jamais modifiable (50 max),P0
F-012,02-cockpit-transactionnel,Sélection multiple + select-all,UI admin,Opérateur,cockpit/FilteredTable.tsx,Select-all limité à la page visible sans avertissement,P1
F-013,02-cockpit-transactionnel,Bulk retry,UI admin + API,Opérateur,cockpit/BulkActionsBar.tsx;api/admin/emails/transactional/bulk-retry;lib/mail/transactional/bulk-actions.ts,Erreurs HTTP avalées côté UI (faux succès),P0
F-014,02-cockpit-transactionnel,Bulk suppress,UI admin + API,Opérateur,bulk-suppress route;bulk-actions.ts;suppression.ts,Idem F-013 + ne blockliste pas dans Listmonk,P0
F-015,02-cockpit-transactionnel,KPI header + sparklines + tendances,UI admin,Opérateur,cockpit/KpiHeader.tsx;summary.ts,Hausse échecs affichée en vert; sparkline queued=données delivered,P1
F-016,02-cockpit-transactionnel,Vues sauvegardées (saved views),UI admin + API,Opérateur,cockpit/SavedViewsSidebar.tsx;api/admin/emails/views,No-op (sélection ne charge pas les filtres); création=alert stub,P1
F-017,02-cockpit-transactionnel,Export CSV,UI admin,Opérateur,TransactionalCockpit.tsx,Stub window.alert,P2
F-018,02-cockpit-transactionnel,Page détail email (timeline événements + retry unitaire),UI admin,Opérateur,app/admin/emails/transactional/[id]/page.tsx;lib/admin/emails/actions.ts,Retry unitaire OK (revalidate présent),P1
F-019,02-cockpit-transactionnel,Command palette cockpit,UI admin,Opérateur,cockpit/CommandPalette.tsx,Non audité en profondeur,P2
F-030,03-campagnes,Liste campagnes + statuts,UI admin,Opérateur,app/admin/emails/campaigns/page.tsx,Compteurs sent/open/click non fiables (poll 24h),P1
F-031,03-campagnes,Wizard création campagne (audience→template→planif),UI admin,Opérateur,components/admin/emails/wizard/CampaignWizard.tsx;lib/admin/emails/wizard-actions.ts,finalizeCampaign non transactionnel → campagne fantôme/double envoi,P0
F-032,03-campagnes,Édition campagne draft,UI admin,Opérateur,campaigns/[id]/edit/page.tsx,Non audité en profondeur,P1
F-033,03-campagnes,Détail campagne (métriques),UI admin,Opérateur,campaigns/[id]/page.tsx,deliveredCount jamais alimenté (colonne morte),P1
F-034,03-campagnes,Sync statuts/métriques Listmonk (poll),backend cron,Système,lib/mail/campaigns/listmonk-status-sync.ts;api/cron/tick,Fenêtre 24h → métriques gelées; transitions non gardées,P0
F-040,04-audiences,Builder de règles (AND/OR + 15 types de règles),UI admin,Opérateur,components/admin/emails/audiences/AudienceRulesBuilder.tsx;RuleEditor.tsx;lib/mail/audiences/rules-types.ts,Règle country compile en TRUE; engagement email non corrélé au lead,P0
F-041,04-audiences,Preview taille + échantillon d'audience,UI admin + API,Opérateur,AudiencePreview.tsx;api preview-size/preview-sample;lib/mail/audiences/preview.ts,OK apparent mais dépend du compilateur buggé,P1
F-042,04-audiences,Compilation règles → SQL,backend,Système,lib/mail/audiences/rules-compiler.ts,sql.raw sur days (safe via Zod mais fragile); has_tag dépend de lead_tag drifté,P0
F-043,04-audiences,Création/édition/suppression audience,UI admin + API,Opérateur,audiences/new;audiences/[id];api/admin/emails/audiences,Gestion erreurs UI correcte (contraste cockpit),P1
F-044,04-audiences,Snapshot d'audience (figer les membres),UI admin + backend,Opérateur,AudienceDetailActions.tsx;lib/mail/audiences/snapshot.ts,Zombie running à vie si crash; idempotence renvoie le zombie,P0
F-045,04-audiences,Exclusions (suppression/bounce/optout flags),UI + backend,Opérateur,schemas.ts;rules-compiler.ts (exclusions),Non testé finement,P1
F-046,04-audiences,Autocomplétions (tags/produits/pays/templates),UI admin,Opérateur,TagAutocomplete;ProductAutocomplete;CountryAutocomplete;TemplateAutocomplete,Non audité,P2
F-050,05-automations,Liste automations + activation/désactivation,UI admin,Opérateur,app/admin/emails/automation/page.tsx,Toggle actif sans effet réel si trigger non câblé,P0
F-051,05-automations,Wizard création automation (trigger+steps),UI admin,Opérateur,automation/AutomationWizard.tsx;StepEditor.tsx;StepList.tsx,triggerType/Config/Conditions persistés mais JAMAIS lus par le runtime,P0
F-052,05-automations,Réglages fréquence (quiet hours/cooldown/daily cap),UI admin,Opérateur,automation/FrequencySettings.tsx;lib/mail/automation/frequency.ts,100% code mort — jamais appelé + bugs tz/minuit,P0
F-053,05-automations,Steps V2 (send/wait/branch/tag/update_lead/webhook/wait_for_event),backend,Système,lib/mail/automation/step-types-v2.ts;runner.ts;step-handlers/*,Échecs de steps ignorés; webhook sans timeout,P0
