id,given,when,then,test_id
AC-CO-01,a Reel draft with a primary video and Media-Studio flag on,the operator opens step Visuel,the Montage panel is visible with track-presence rows (🎬 present requise),MediaStudio.compose.test.tsx > flag on + reel → Montage panel present
AC-CO-02,the Montage panel in empty state with a primary video and mode=mock,the operator clicks Composer,a role='composed_video' mp4 is created with provider='compose:mock' costCents=0 (byte-copy) and a VideoPlayer appears,compose-draft-video.test.ts > mode=mock → byte-copy composed video no provider call
AC-CO-03,mode=mock or live,the video is composed,no HTTP request is made to any host (compose has no providers),test-plan-msw.md no-network proof (request:start spy = [])
AC-CO-04,a draft with no primary video in the bundle,the operator attempts to compose,the request fails with 409 invalid_state Aucune vidéo primaire à monter before any ffmpeg call and no asset is written,compose-draft-video.test.ts > no primary video in bundle → throws HttpError invalid_state (409)
AC-CO-05,mode=live with only a primary video and no extra track,the operator composes,the request fails with 409 invalid_state Aucune piste à monter (voix-off musique ou sous-titres),compose-draft-video.test.ts > mode=live + only primary video (no extra track) → throws invalid_state (409)
AC-CO-06,a draft with primary video + voice-over + subtitles in mock,the operator composes,the tracks report is {hasVoiceover:true hasMusic:false hasSubtitles:true} and the publish summary mirrors it,compose-draft-video.test.ts > mode=mock + voiceover + subtitles → tracks report
AC-CO-07,a draft already has a composed video (ready),the operator changes a source track and clicks Recomposer,the existing role='composed_video' asset is replaced (upsert by role) and the player refreshes,compose-draft-video.test.ts > recompose replaces the existing composed_video asset (upsert by role)
AC-CO-08,a draft whose format is not Reel/Story,a compose is attempted,the service returns 409 invalid_state Montage réservé aux formats vidéo,compose-draft-video.test.ts > non-video draft → HttpError invalid_state
AC-CO-09,mode=live and ffmpeg emits an error during the mux,the operator composes,the service returns 502 upstream_failed Échec du montage ffmpeg the temp output is unlinked and no degraded asset is persisted,compose-draft-video.test.ts > ffmpeg error (live) → throws HttpError upstream_failed no asset persisted
AC-CO-10,mode=live and the source video file is missing on disk,the operator composes,the service returns 502 upstream_failed Fichier vidéo source introuvable with no writeFile,compose-draft-video.test.ts > source file missing → HttpError upstream_failed
AC-CO-11,mode=live and ffmpeg hangs past the timeout,the operator composes,the ffmpeg process is killed (SIGKILL) the temp output is cleaned and 502 Montage interrompu is returned,compose-media-bundle.test.ts > timeout => kills ffmpeg (SIGKILL) rejects compose_timeout unlinks output
AC-CO-12,an unknown key in the request body,the route validates the payload,it returns 400 invalid_input,compose.route.test.ts > 400 invalid_input on unknown key
AC-CO-13,an empty request body {},the route validates the payload,it composes everything present with no export (defaults applied),compose.route.test.ts > 200 { media } in mock mode (empty body)
AC-CO-14,export=true and the transcode fails (degraded),the operator composes,the composed video still succeeds and the export field reports degraded=true,compose-draft-video.test.ts > export=true degraded transcode → composed succeeds export.degraded=true
AC-CO-15,a ready composed video on the draft,the operator opens the publish confirm dialog,the confirm previews the composed video (not the raw primary) with a track summary and publishing runs in dry-run,PublishActionGroup.compose.test.tsx > shows composed video in confirm when present
AC-CO-16,the Media-Studio feature flag is off,the operator opens step Visuel on a Reel draft,no Montage panel renders and the legacy MediaStudio behaves exactly as before,"MediaStudio.compose.test.tsx > flag off → no Montage panel (DOM unchanged, non-regression)"
AC-CO-17,the composeNode is refactored to use composeMediaBundle,the AI-Engine graph runs the compose node,the node returns the same graph channels (composition/currentStep/errors) and the existing node tests pass unchanged,compose.test.ts (existing 8 green unchanged)
AC-CO-18,no draft is selected (empty draftId),the operator clicks Composer,a toast Sélectionnez d'abord une variante is shown and no request is sent,"ComposePanel.test.tsx > guards empty draftId with a toast, no fetch"
AC-CO-19,a primary video is missing in the panel,the operator views the Montage panel,the Composer button is disabled with a hint Générez d'abord une vidéo (blocked state),ComposePanel.test.tsx > Composer disabled with hint when no primary video (blocked)
AC-CO-20,a draft with voice-over and music present in live mode,the operator composes,the ffmpeg mux ducks music to 0.3 and keeps voice-over at 1.0 via amix inputs=2 duration=longest,compose-media-bundle.test.ts > live + voiceover + music => amix inputs=2 duration=longest music ducked 0.3
