id,given,when,then,test_id
AC-VO-01,a Reel draft with a primary video and Media-Studio flag on,the operator opens step Visuel,the Voix-off track is visible with a script textarea pre-filled from the draft narration,MediaStudio.voiceover.test.tsx > flag on + reel → Voix-off track present
AC-VO-02,the Voix-off track in empty state and mode=mock,the operator clicks Générer la voix-off,a role='voiceover' audio asset is created with provider='mock' costCents=0 and an AudioTrackPlayer appears,generate-voiceover-for-draft.test.ts > mode=mock → silent track no provider call
AC-VO-03,mode=mock,the voice-over is generated,no HTTP request is made to any TTS provider host,test-plan-msw.md mock no-network proof (request:start spy = [])
AC-VO-04,mode=live and no TTS key configured,the operator clicks Générer la voix-off,the request fails with 409 invalid_state Aucune clé TTS configurée and no asset is written and no provider call is made,generate-voiceover.route.test.ts > 409 invalid_state when cookie=live and no key (no provider call)
AC-VO-05,a draft already has a voice-over (ready),the operator edits the script and clicks Régénérer,the existing role='voiceover' asset is replaced (upsert by role) and the player refreshes,generate-voiceover-for-draft.test.ts > regenerate replaces the existing voiceover asset (upsert by role)
AC-VO-06,a draft whose format is not Reel/Story,a voice-over generation is attempted,the service returns 409 invalid_state Voix-off réservée aux formats vidéo,generate-voiceover-for-draft.test.ts > non-video draft → HttpError invalid_state
AC-VO-07,an empty script field in the request body,the route validates the payload,it returns 400 invalid_input,generate-voiceover.route.test.ts > 400 invalid_input on empty script
AC-VO-08,mode=live with a valid key and the provider returns 5xx,the operator generates a voice-over,the service returns 502 upstream_failed and does not write a silent fake asset,generate-voiceover-for-draft.test.ts > live + key + provider 5xx → upstream_failed
AC-VO-09,a ready voice-over asset on the draft,the operator opens the publish confirm dialog,the track summary shows a Voix-off row and publishing runs in dry-run,PublishActionGroup.voiceover.test.tsx > shows voix-off in track summary when present
AC-VO-10,the AudioTrackPlayer is focused,the operator presses Space then ArrowRight,playback toggles and the seek position advances with aria-valuetext updated,AudioTrackPlayer.test.tsx > seek slider exposes aria-valuetext "N secondes sur M"
AC-VO-11,the Media-Studio feature flag is off,the operator opens step Visuel on a Reel draft,no Voix-off track renders and the legacy MediaStudio behaves exactly as before,"MediaStudio.voiceover.test.tsx > flag off → no Voix-off track (DOM unchanged, non-regression)"
AC-VO-12,the generateVoiceoverNode is refactored to use synthesizeVoiceover,the AI-Engine graph runs the voiceover node,the node returns the same graph channels and the existing node tests pass unchanged,generate-voiceover.test.ts (existing green unchanged)
AC-VO-13,no draft is selected (empty draftId),the operator clicks Générer la voix-off,a toast Sélectionnez d’abord une variante is shown and no request is sent,"VoiceoverTrack.test.tsx > guards empty draftId with a toast, no fetch"
AC-VO-14,a script longer than the provider cap,the voice-over is generated in live mode,the text is truncated to the cap and generation_run records truncated=true,synthesize-voiceover.test.ts > truncates text to 4096 for openai and sets truncated=true
AC-VO-15,a ready voice-over and the operator edits the script,the edit completes,the track shows a modifié badge (stale) prompting regeneration,VoiceoverTrack.test.tsx > shows "modifié" badge when script edited after ready (stale)
