id,severity,severity_original,domain,component,title,mock_status,live_status,verdict,confidence,root_cause,repro,status,finding_md,gap_matrix_ref
BUG-001,blocker,blocker,generation-image,src/lib/content-studio/image-generation.ts + generate-visual route,"Flux create operateur: generation LIVE entierement cassee (OpenAI key non lue, Higgsfield credential incomplet)",works,broken,confirmed,high,"Triple cause: (1) image-generation.ts ligne 87/98/111 lit UNIQUEMENT env.CONTENT_STUDIO_OPENAI_API_KEY, vide, sans fallback vers OPENAI_API_KEY (qui EST present et valide, len 164, sk-); (2) Higgsfield credential incomplet (cle hf_ sans ':' et pas de AI_ENGINE_HIGGSFIELD_API_SECRET) -> higgsfieldCredential() renvoie null; (3) endpoints Higgsfield encore synchrones faux.","1) /admin/content-studio-v2/create, creer idee+drafts. 2) Toggle 'Live'. 3) Selectionner draft, choisir un modele image (gpt-image-1-mini suggere). 4) Cliquer 'Generer un visuel IA' -> toast erreur 'CONTENT_STUDIO_OPENAI_API_KEY manquant...' (HTTP 409). Idem hf-flux-pro -> 'credential Higgsfield incomplet'.",open,findings/BUG-001-flux-create-operateur-generation-live-entieremen.md,BUG-001
BUG-002,blocker,blocker,generation-video,src/lib/content-studio/video-generation.ts:104-116 + src/lib/content-studio/higgsfield-auth.ts:30-43,Génération vidéo LIVE entièrement non-fonctionnelle: credential Higgsfield incomplet (clé sans secret),n/a,broken,adjusted,high,Credential à deux parties (KEY_ID:KEY_SECRET) non fourni: clé seule + secret vide.,"Statique: env confirmé (clé sans ':', secret vide). En live, model=hf-video-lite → HttpError invalid_state. (Probe POST live volontairement NON exécutée: hors périmètre 1-POST-mock.)",open,findings/BUG-002-g-n-ration-vid-o-live-enti-rement-non-fonctionne.md,BUG-002
BUG-003,blocker,blocker,publication-postiz,src/app/api/cron/content-studio/social-publish-scheduler/route.ts + src/lib/social-publishing/worker.ts + vercel.json + cron/tick,La publication PROGRAMMÉE ne s'exécute jamais: le scheduler n'est branché à aucun cron,broken,broken,confirmed,high,"Route cron créée mais jamais enregistrée dans l'orchestrateur de crons (l'app tourne en PM2/next start, pas Vercel; vercel.json n'est de toute façon pas honoré ici, et tick ne relaie pas le scheduler).","1) En staging, via /admin/content-studio (ou /create), programmer un post approuvé pour T+1h. 2) Le job social_publish_job est créé 'queued' avec scheduledAt. 3) Attendre T+1h+ : le post reste 'scheduled'/'queued', jamais 'published'. 4) Confirmer: GET /api/admin/content-studio/publish-jobs?status=queued montre le job toujours queued.",open,findings/BUG-003-la-publication-programm-e-ne-s-ex-cute-jamais-le.md,BUG-003
BUG-004,blocker,blocker,voix-off,"src/lib/ai-engine/orchestrator.ts (GenerationResult, buildResultFromState), src/lib/ai-engine/bridge/content-studio-bridge.ts, src/components/admin/content-studio-v2/ai-engine/GenerationResult.tsx",Voiceover/music/subtitles/composition/exports jamais exposés au-delà du graphe: l'opérateur ne les reçoit jamais (fonctionnalité inatteignable),broken,untested,confirmed,high,"Le DTO de sortie de l'orchestrateur n'a jamais été étendu pour inclure les médias composés/audio; seul 'videos' (assets pré-compose) est propagé, et de plus l'asset video du flux mock est vide (cf voix-off-1/4).",1. POST MOCK reel valide (voir voix-off-1). 2. Inspecter JSON: aucune clé voiceover/music/subtitles. 3. Lire GenerationResult.tsx: aucun rendu audio/sous-titres.,open,findings/BUG-004-voiceover-music-subtitles-composition-exports-ja.md,BUG-004
BUG-005,critical,critical,copywriting,src/lib/content-studio/generation.ts:66-102 (generateForIdea) + service.ts:99-176 (generateIdeaDrafts),Génération de texte opérateur figée en fallback déterministe (jamais LLM) — MOCK et LIVE identiques,works,broken,confirmed,high,"generation.ts:70 résout la clé via `env.CONTENT_STUDIO_OPENAI_API_KEY ?? env.CHAT_OPENAI_API_KEY` — les deux sont vides/absents (CONTENT_STUDIO_OPENAI_API_KEY len=0, CHAT_OPENAI_API_KEY non défini). Le `OPENAI_API_KEY` générique valide (len=164) n'est PAS dans la chaîne de fallback de ce module. `if (!apiKey) return fallbackGeneration(idea)` court-circuite avant tout appel API.","1) COOKIE depuis .auth/admin.json. 2) POST /api/admin/content-studio/ideas {pillar:produit,objective:conversion,platform:instagram,format:post,prompt:'...'} -> idea.id. 3) POST /api/admin/content-studio/ideas/<id>/generate {} (avec ou sans cookie cs_generation_mode=mock, et avec ou sans body {model:'gpt-4o-mini'}). 4) Observer runs[0].provider=fallback dans la réponse et dans /generation-runs.",open,findings/BUG-005-g-n-ration-de-texte-op-rateur-fig-e-en-fallback-.md,BUG-005
BUG-006,critical,critical,create-ui-flow,ModelPicker.tsx + /api/admin/content-studio/models/route.ts + image-generation.ts,Le picker propose des modeles live (OpenAI/Higgsfield) qui throwent tous a la generation — desync UI/realite total,works,broken,confirmed,high,image-generation.ts lignes 87/98/124 referencent env.CONTENT_STUDIO_OPENAI_API_KEY directement; models/route.ts ligne 127 utilise resolveApiKey('openai') qui chaine vers OPENAI_API_KEY (api-key-manager ENV_KEY_MAP ligne 42). Higgsfield: higgsfieldAuthHeader() renvoie null car AI_ENGINE_HIGGSFIELD_API_KEY n'a pas de ':' et AI_ENGINE_HIGGSFIELD_API_SECRET absent.,"1. Ouvrir /admin/content-studio-v2/create. 2. Creer une idee, choisir une variante. 3. Basculer le toggle sur Live. 4. Cliquer 'Générer un visuel IA' (modele auto-suggere gpt-image-1-mini). 5. Toast d'erreur 'Génération visuelle : Modèle OpenAI ... CONTENT_STUDIO_OPENAI_API_KEY manquant'.",open,findings/BUG-006-le-picker-propose-des-modeles-live-openai-higgsf.md,BUG-006
BUG-007,critical,critical,generation-image,src/app/api/admin/content-studio/models/route.ts + ModelPicker.tsx,Picker modeles: badges 'Live' mensongers — modeles non generables affiches comme disponibles,n/a,broken,confirmed,high,"(a) Le picker via resolveApiKey('openai') trouve OPENAI_API_KEY (chaine ENV_KEY_MAP) et liste les modeles OpenAI 'live', alors que generateStudioImage lit une AUTRE variable (CONTENT_STUDIO_OPENAI_API_KEY) — sources de cle divergentes entre picker et generateur. (b) materialiseDiscoveredModel (route.ts:62-88) force toujours source:'live' meme quand discoverModels a renvoye source='fallback' (api.higgsfield.ai mort).",GET /api/admin/content-studio/models?role=image avec cookie admin. Observer discovery.higgsfield='fallback' mais tous les modeles higgsfield avec source:'live'. Cote OpenAI: source:'live' mais generateStudioImage echoue (cle differente).,open,findings/BUG-007-picker-modeles-badges-live-mensongers-modeles-no.md,BUG-007
BUG-008,critical,critical,generation-video,"src/lib/content-studio/video-generation.ts:157,187",Endpoints Higgsfield codés en SYNC alors que l'API réelle est ASYNC (submit+poll différents) — live cassé même avec credential,n/a,broken,confirmed,high,"Migration host/auth faite, migration endpoints/modèle async non faite.","Lecture de video-generation.ts:157,187 vs API réelle documentée (platform.higgsfield.ai async). Non exerçable live (credential incomplet + bloquant déjà avant réseau).",open,findings/BUG-008-endpoints-higgsfield-cod-s-en-sync-alors-que-l-a.md,BUG-008
BUG-009,critical,critical,generation-video,GET /api/admin/content-studio/models?role=video ↔ src/lib/content-studio/video-generation.ts:100-124,Desync picker↔backend: 8 modèles vidéo Higgsfield 'live' proposés que generateStudioVideo ne sait PAS router,works,broken,confirmed,high,"Le catalogue est alimenté par découverte live Higgsfield (IDs natifs), mais le routeur de génération attend des IDs internes hf-video-*. Pas de mapping ID-natif→hf-*.","1) Ouvrir picker vidéo dans /create → modèles live higgsfield visibles. 2) Sélectionner veo3_1, basculer Live, générer → backend throw invalid_state 'aucun modèle vidéo live disponible'. (Live non exercé en POST; déterminé par code + catalogue réel curl.)",open,findings/BUG-009-desync-picker-backend-8-mod-les-vid-o-higgsfield.md,BUG-009
BUG-010,critical,critical,test-mock-infrastructure,src/lib/content-studio/video-generation.test.ts + video-generation.ts (polling),Suite tout-verte (1695 passed) mais EXIT 1 : unhandled rejection masquée par fake timers,n/a,n/a,confirmed,high,"La boucle while(Date.now()<deadline) de generateHiggsfieldStudioVideo utilise setTimeout(HIGGSFIELD_POLL_INTERVAL_MS) sous fake timers. Le test fait advanceTimersByTimeAsync(6_000) puis useRealTimers() après le rejet attendu, laissant une itération/poll planifiée se résoudre/rejeter en dehors du scope du test (promesse pendante non awaitée). Aucun afterEach n'appelle vi.clearAllTimers()/restoreAllMocks() globalement.",cd apps/web && pnpm exec vitest run src/lib/content-studio/video-generation.test.ts ; observer 'Errors 1 error' malgré 15 passed. En suite complète: écho $? = 1 alors que le JSON dit success:true.,open,findings/BUG-010-suite-tout-verte-1695-passed-mais-exit-1-unhandl.md,BUG-010
