id_risque,module,description,impact,probabilite,severite,detection_actuelle,couverture_cible,decouvert_par,statut
R-001,09-parcours-client,Drift schéma lead_tag uuid/text → opt-in post-achat en 500,Perte de capture email client + erreur visible client,Avéré (prod),Critique,Aucune (logs seulement),Tests intégration vraie DB (phase 4) + drizzle-kit check en CI,audit-2026-06-03,corrigé 2026-06-04 (schema.ts text→uuid + route checkout + step tag.ts ; non-régression PCL-INT-001..004 + AUT-INT-030..032)
R-002,07-webhooks,URL webhook Stalwart vers domaine inexistant → 0 delivered/bounce,KPIs faux + suppression jamais alimentée,Avéré (prod),Critique,Aucune,Contract tests + healthcheck étendu (F-113) + test infra (F-111),audit-2026-06-03,détection livrée (check webhookSilent) ; RECONFIG STALWART PROD EN ATTENTE (hors worktree)
R-003,11-infra,5 timers systemd manquants → automation/purges jamais exécutées,Automations inertes; fuites de listes Listmonk,Avéré (prod),Critique,Aucune,Test infra liste timers + healthcheck fraîcheur cron,audit-2026-06-03,"détection livrée (check cronOutboxLate + heartbeat cron câblé dans le badge vague 3 + script read-only scripts/check-email-timers.sh anti-drift route↔timer) ; TIMERS SYSTEMD À CRÉER (infra prod, hors worktree) — NB aggravé par R-028 (corrigé) : même avec le timer, le cron email-automation aurait 500 à chaque tick avant le fix"
R-004,05-automations,Moteur de triggers jamais câblé (triggerConfig non lu),Toute automation créée en UI est inerte,Avéré (code),Critique,Aucune,Tests câblage promesse-UI (phase 1.7),audit-2026-06-03,corrigé 2026-06-04 (event-dispatcher.ts générique lit triggerType/triggerConfig ; AUT-INT verts)
R-005,05-automations,frequency.ts code mort (quiet hours/cooldown/cap sans effet),Envois nocturnes possibles; promesse UI fausse,Avéré (code),Élevée,Aucune,Tests câblage (phase 1.8) + unit tz/minuit,audit-2026-06-03,corrigé 2026-06-04 (frequency.ts câblé branche send + tz Casablanca ; FRQ-UNIT 38 + FRQ-INT 7 verts)
R-006,02-cockpit,Bulk actions avalent les erreurs HTTP (faux succès),Opérateur croit avoir agi; rien ne s'est passé,Avéré (code),Critique,Aucune,Grille MSW 5 points sur chaque action (phase 3),audit-2026-06-03,"corrigé 2026-06-04 (res.ok systématique, alerte role=alert, sélection conservée ; CKP-MSW 18 verts)"
R-007,08-pipeline,Lignes outbox sending orphelines après restart (pas de reaper),Emails jamais envoyés ni retentés silencieusement,Élevée (restarts fréquents),Critique,Aucune,Test intégration reaper (phase 1.3) + scénario S4,audit-2026-06-03,"corrigé 2026-06-04 (reapStuckSending en tête de drain, seuil 10min ; OBX-INT verts)"
R-008,08-pipeline,Render/Zod avant INSERT → email perdu sans trace DB,Email irrécupérable; aucun affichage admin,Moyenne,Élevée,Aucune,Test intégration ordre enqueue (phase 1.6),audit-2026-06-03,"corrigé 2026-06-04 (INSERT pending avant render, échec→failed+lastError ; send-order verts)"
R-009,08-pipeline,Suppression bloque les adresses internes (notifications leads),Perte totale des notifications de leads,Faible mais catastrophique,Élevée,Aucune,Test allowlist interne (module 08),audit-2026-06-03,"corrigé 2026-06-04 (isInternalAddress + court-circuit isSuppressed, MAIL_INTERNAL_ALLOWLIST ; suppression-allowlist verts)"
R-010,03-campagnes,finalizeCampaign non transactionnel → campagne fantôme/double envoi,Double envoi de masse aux clients,Moyenne,Critique,Aucune,Tests intégration crash mid-flow (module 03),audit-2026-06-03,"corrigé 2026-06-04 (réservation conditionnelle draft→sending, lmCampaignId persisté avant updateStatus, dé-réservation sur échec ; CMP-INT 51 verts)"
R-011,04-audiences,Règle country compile en TRUE → ciblage hors périmètre,Envoi de masse hors cible,Moyenne,Élevée,Aucune,Unit rules-compiler par règle (phase 2),audit-2026-06-03,"corrigé 2026-06-04 (dérivation pays via préfixe E.164 de leads.phone, code inconnu→FALSE ; AUD-CMP exécutés vraie DB)"
R-012,04-audiences,Snapshot zombie running après crash + idempotence renvoie le zombie,Audience inutilisable; campagne bloquée,Moyenne,Élevée,Aucune,Tests intégration snapshot + reaper (module 04),audit-2026-06-03,corrigé 2026-06-04 (reapStuckSnapshots + idempotence ignore les zombies ; snapshot-lifecycle verts)
R-013,07-webhooks,Bounce Listmonk: hard/soft non distingués + pas de blocklist Listmonk,Contacts légitimes suppressés à vie; re-bounces,Élevée,Élevée,Aucune,Contract tests variantes bounce (phase 5),audit-2026-06-03,"partiellement couvert 2026-06-04 : volet Stalwart VÉRIFIÉ OK (isHardBounce 5xx/4xx, M07-UNIT-019..021) ; volet Listmonk = comportement intentionnel épinglé (M07-CT-LM-002, tout subscriber.bounced suppressé) — décision produit requise pour brancher sur bounce_type"
R-014,10-listmonk,Client API sans timeout/retry → cron/UI suspendus si Listmonk lent,Blocage requêtes admin et crons,Moyenne,Moyenne,Aucune,Tests unit client (timeout simulé MSW),audit-2026-06-03,"corrigé 2026-06-04 (AbortSignal.timeout 10s, retry borné 5xx/réseau, Retry-After 429, pas de retry 4xx, listAll() anti-cap-50 ; client-resilience 17 verts)"
R-015,02-cockpit,Pas de pagination → données au-delà de 50 inaccessibles,Opérateur aveugle sur le volume réel,Avéré (code),Élevée,Aucune,Tests composant pagination (module 02),audit-2026-06-03,corrigé 2026-06-04 (nav pagination préc./suiv. + reset offset sur filtre ; CKP-MSW pagination verts)
R-016,01-dashboard,Healthcheck aveugle (cron mort/Listmonk down non détectés),Badge vert sur système cassé — confiance détruite,Avéré (code),Élevée,Aucune,Tests healthcheck étendu (module 11),audit-2026-06-03,corrigé 2026-06-04 (checks webhookSilent/cronOutboxLate/sendingStuck ; HLT-INT 15 verts)
R-017,06-templates,Sanitize HTML templates custom — surface XSS si contourné,XSS stocké dans emails ou preview admin,Faible,Élevée,Tests sanitize existants,Tests hostiles dédiés (module 06),audit-2026-06-03,"corrigé 2026-06-04 (3 vecteurs réels bouchés : CSS expression/url(js) inline+<style>, USE_PROFILES form/svg, data:text/html ; sanitize-hostile 48 verts)"
R-018,09-parcours-client,Confirmation de commande jamais envoyée (email absent au checkout),Client sans confirmation → appels support,Avéré (prod),Élevée,Aucune,Scénario métier S-CLIENT (module 09) + décision produit,audit-2026-06-03,couvert 2026-06-04 (R-018 PRESENT/IDEM/ABSENT/SUPPRESS-BLOCKS + la commande réussit même si l'enqueue échoue ; order-confirmation verts) — câblage checkout réel à confirmer en E2E phase 6
R-019,toutes,Flakiness de la nouvelle batterie (volume très dense),Suite ignorée par l'équipe = retour case départ,Moyenne,Élevée,—,Règles anti-flakiness (02-architecture §5) + quarantaine,prévention,ouvert
R-020,toutes,Affaiblissement d'oracles pour faire passer les tests,Faux sentiment de couverture,Moyenne,Élevée,—,Règle interdiction (03-plan §boucle) + revue de PR,prévention,ouvert
R-021,07-webhooks,"Contrat Stalwart natif v0.16 = enveloppe BATCH {events:[{id,createdAt,type,data}]} mais stalwart-parser.ts attend une enveloppe PLATE {event,...} → même après reconfig infra le webhook ne parsera RIEN",KPIs delivered/bounce toujours à 0 après fix infra,"Avéré (code, prouvé par fixture 008)",Critique,Fixture 008-batch-multi-events.json rejetée par le schéma (méta-test),Contract tests phase 5 + adaptation du parser (enveloppe native + rétro-compat),fixtures-phase0-2026-06-04,"corrigé 2026-06-04 (normalizeStalwartPayload batch natif+plat rétro-compat, route N événements isolés ; M07-CT-R021 verts) ; RECONFIG INFRA PROD désormais débloquée"
R-022,05-automations,Régression croisée du fix R-001 : step-handlers/tag.ts insérait encore createId('tag') dans lead_tag uuid → tout step automation tag add plantait au runtime,Steps tag silencieusement cassés,Avéré (rouge constaté 3/3),Élevée,Aucune (typage aveugle : uuid=string),AUT-INT-030..032 (vraie DB),orchestrateur-2026-06-04,corrigé 2026-06-04 (id généré DB)
R-023,toutes,"Suites vraie-DB parallélisées sur la MÊME base → TRUNCATE croisés, deadlock 40P01 ; et sans env DB le run global échouait au lieu de skipper",Flakiness harnais + pnpm test cassé pour tous,Avéré (constaté chantiers 1.3/1.2),Élevée,--no-file-parallelism absent du script initial,script test:emails:integration sérialisé + describeEmailsDb (skip honnête sans env),chantiers-p0-2026-06-04,mitigé 2026-06-04 (sérialisation + skip) ; reste: doc 05-conventions §8
R-024,09-parcours-client,En-tête List-Unsubscribe one-click émettait ?email=<adresse en clair> mais la route ne lit que ?t=<token signé> → le bouton natif Gmail/Apple Mail répondait 400 sans désinscrire (+ fuite PII en query/logs),Plaintes spam + non-conformité RFC 8058 (exigence bulk sender Gmail/Yahoo),"Avéré (code, prouvé rouge)",Élevée,Aucune,CLI-INT-UNSUB-HDR-001/002 (token round-trip réel),agent-m09-2026-06-04,corrigé 2026-06-04 (en-tête émet ?t=generateUnsubToken ; rouge→vert)
R-025,04-audiences,email_opened/email_clicked/received_without_open compilaient un EXISTS GLOBAL non corrélé au lead → tout-ou-rien (un seul opened dans la base = toute l'audience matche) ; templateSlug/urlPattern silencieusement ignorés,Ciblage de masse hors cible sur règles d'engagement,Avéré (prouvé AUD-CMP-023 version bug),Critique,Aucune,AUD-CMP-023/025 corrélés + 023b/025b/026b/024b (vraie DB),agent-m04-2026-06-04 (écart A-AUD-2),corrigé 2026-06-04 (corrélation outbox.to_email OU subscriber_link ; orphelin ne matche personne)
R-026,08-pipeline,Aucune voie applicative pour retirer une suppression : réactivation d'une adresse hard-bounce/désinscrite impossible hors DELETE SQL (recherche statique exhaustive : 0 hit delete/remove/unsuppress dans src),"Cliente légitime injoignable à VIE (faux positif bounce, désinscription accidentelle) sans intervention SQL","Avéré (code, prouvé S2)",Élevée,Aucune,UI liste de suppression + removeSuppression + confirmation (vague 4 COCKPIT) ; oracles UX4-COCKPIT-001/002,scenarios-s2-2026-06-05,corrigé 2026-06-05 vague 4 (removeSuppression/listSuppression + route GET/DELETE /api/admin/emails/suppression + écran /admin/emails/suppression filtrable avec Retirer confirmé + deep-link depuis un envoi suppressed ; UX4-COCKPIT-001/002 verts)
R-027,05-automations,La relance panier (cart.abandoned) part même si la cliente a acheté entre-temps : aucun chemin cancelled sur événement d'achat (seule la désactivation de l'automation annule un run),"Email « tu as oublié quelque chose » APRÈS l'achat → crédibilité, plaintes, désinscriptions",Avéré (prouvé S3-05),Élevée,Aucune,"Annulation des runs en attente sur achat (vague 4 AUTOMATIONS, raison purchase_completed) + test intégration vraie-DB",scenarios-s3-2026-06-05,"corrigé 2026-06-05 vague 4 (cancel-on-event.ts générique : mapping trigger→événements antagonistes, cart.abandoned→order.placed vérifié sur recordOrderPlaced ; n'annule que les runs sans outbox du bon lead, raison consignée ; flip S3-05 documenté, cancel-on-purchase.integration verts)"
R-028,05-automations,sweepWaitForEventTimeouts : Date JS crue bindée dans le template sql postgres-js (ERR_INVALID_ARG_TYPE à ParameterDescription → le cron email-automation 500 à CHAQUE tick) + lecture du résultat via .rows (shape neon-http) alors que postgres-js renvoie le tableau directement → compte toujours 0,Moteur d'automations entier en panne en prod dès que le timer manquant sera créé ; runs wait_for_event expirés jamais réveillés,Avéré (prouvé rouge AUT-RESUME-007),Critique,Aucune (le test de la route cron MOCKE la sweep — le bug était invisible),"AUT-RESUME-007 garde-fou no-reject + AUT-RESUME-008 réveil exact (vraie DB, driver postgres-js réel)",durcissement-p8-2026-06-05,"corrigé 2026-06-05 (bind ISO ::timestamptz + lecture RowList tableau|{rows} ; rouge→vert constaté, orchestrateur)"
R-029,04-audiences,"listAudiencesWithSnapshotCount : la sous-requête corrélée rend la référence externe NON qualifiée (WHERE ""audience_id"" = ""id"", l'id se liant à la colonne du snapshot) → snapshotCount TOUJOURS 0","Page admin audiences et écran campagne trompeurs (« 0 snapshot » partout, même avec snapshots)",Avéré (prouvé .toSQL() + rouge AUD-QRY-012),Moyenne,Aucune,AUD-QRY-012 cohérence liste↔compte + AUD-QRY-013 compte exact sans fuite croisée (vraie DB),durcissement-p8-2026-06-05,"corrigé 2026-06-05 (référence externe qualifiée ""email_audience"".""id"" ; rouge→vert constaté, orchestrateur)"
R-030,02-cockpit,Validation BulkRetrySchema/BulkSuppressSchema en z.string().uuid() alors que email_outbox.id est un text createId('out') (forme out_<nanoid>) → 422 « Validation échouée » sur TOUS les ids réels,Bulk retry et suppress du cockpit inopérants en production (les tests unit passaient des UUID factices),Avéré (découvert par E2E réel contre la vraie route),Élevée,"Aucune (tests unit avec UUID factices, tests composant avec routes MSW mockées)",Spec e2e emails-cockpit (bulk-retry réel sur ids out_…) + endpoints.test.ts mis à jour (id opaque borné),e2e-phase6-2026-06-05,"corrigé 2026-06-05 (OutboxIdSchema opaque alphanum+_- max64, compat UUID ascendante ; chantier E2E)"
R-031,05-automations,deleteAutomation fait un DELETE brut sans garde alors que la FK email_automation_run.automation_id est RESTRICT → violation FK Postgres (500 brut) sur toute automation ayant des runs,500 sans message si l'action est un jour câblée à l'UI,"Avéré (code, confirmé vague 4)",Faible (action câblée à AUCUNE UI — grep vide hors mutations/test),Aucune,"Garde « X runs existants — désactivez plutôt » ou archivage, à faire avant tout câblage UI",agent-automations-v4-2026-06-05,"mitigé (non câblé UI) — fix requis avant exposition ; documenté, hors file-freeze vague 4"
R-032,09-parcours-client,"GET /api/mail/unsubscribe exécutait la désinscription immédiatement → tout préfetch GET (Gmail/Outlook safelinks, antivirus, scanners de liens) désinscrivait la cliente SANS intention humaine",Perte silencieuse de consentement/abonnés légitimes au rythme des scanners,Avéré (code),Élevée,Aucune,"GET non destructif (page de confirmation, 0 écriture) + POST exécute (one-click RFC 8058 préservé) ; UX4-PARCOURS-004 vraie-DB",agent-parcours-public-v4-2026-06-05,"corrigé 2026-06-05 vague 4 (+ réabonnement UX4-PARCOURS-005, fallback unsub_url sans secret, 503 newsletter au lieu d'un faux ok, opt-in contact câblé au vrai double opt-in)"
R-033,08-pipeline,"pickAndProcessBatch : l'ORDER BY (next_retry NULLS FIRST, created_at ASC) du sous-SELECT ne survit pas au RETURNING de l'UPDATE…FROM (Postgres joint en ordre physique dépendant du plan) → l'ordre d'envoi « plus anciennes d'abord » ne tenait que par accident",Ordre de soumission SMTP non déterministe dans un batch ; oracle PIP-INT-062 flaky selon le layout de la table,"Avéré (flake reproduit en batterie, vert solo ×3)",Faible (toutes les lignes du batch partent au même tick),PIP-INT-062 (a flaké précisément là-dessus),Re-tri déterministe côté JS du batch claimé (≤ BATCH_SIZE) + comparateur sans NaN,orchestrateur-gates-v4-2026-06-05,corrigé 2026-06-05 (tri JS next_retry NULLS FIRST puis created_at ASC après claim ; 7/7 solo + batterie re-verte)
