finding_id,domain,component,etat_suppose,etat_reel_verifie,ecart,cause_racine,severite,mock,live
BUG-001,generation-image,src/lib/content-studio/image-generation.ts + generate-visual route,"En mode live, cliquer 'Generer un visuel IA' produit une vraie image via le provider du modele selectionne (OpenAI ou Higgsfield).",Tout chemin live throw HttpError('invalid_state') -> HTTP 409 AVANT tout appel reseau. gpt-image-* -> step 4 lit env.CONTENT_STUDIO_OPENAI_API_KEY (VIDE dans le process) -> throw. hf-* -> higgsfieldAuthHeader() null (cle sans secret) -> throw. Modele decouvert non-prefixe -> step 5 -> cle vide -> throw.,"Aucune image live generable par l'operateur, quel que soit le modele.","Triple cause: (1) image-generation.ts ligne 87/98/111 lit UNIQUEMENT env.CONTENT_STUDIO_OPENAI_API_KEY, vide, sans fallback vers OPENAI_API_KEY (qui EST present et valide, len 164, sk-); (2) Higgsfield credential incomplet (cle hf_ sans ':' et pas de AI_ENGINE_HIGGSFIELD_API_SECRET) -> higgsfieldCredential() renvoie null; (3) endpoints Higgsfield encore synchrones faux.",blocker,works,broken
BUG-002,generation-video,src/lib/content-studio/video-generation.ts:104-116 + src/lib/content-studio/higgsfield-auth.ts:30-43,"En mode live avec un modèle hf-video-*, generateStudioVideo soumet le job à Higgsfield et poll jusqu'à completion, renvoyant une vidéo réelle.","AI_ENGINE_HIGGSFIELD_API_KEY est une cle mono-partie sans ':'; AI_ENGINE_HIGGSFIELD_API_SECRET est ABSENTE de .env (non pas '=' vide). higgsfieldCredential() -> null, higgsfieldAuthHeader() -> null, video-generation.ts:106 throw 'credential Higgsfield incomplet'. Chemin live hf-* 100% casse. Reserve de portee: l'operateur par defaut tombe en mode mock (cookie absent => mock) avec modele suggere mock-video-1.0, donc seule une bascule Live manuelle + selection hf-* declenche ce blocker.","Tout chemin live throw avant tout appel réseau. La fonctionnalité live est annoncée (toggle Live, modèles hf-*) mais 100% cassée.",Credential à deux parties (KEY_ID:KEY_SECRET) non fourni: clé seule + secret vide.,blocker,n/a,broken
BUG-003,publication-postiz,src/app/api/cron/content-studio/social-publish-scheduler/route.ts + src/lib/social-publishing/worker.ts + vercel.json + cron/tick,"Un post programmé via POST /schedule crée un social_publish_job 'queued' avec scheduledAt futur, qu'un worker cron (runScheduledPublishJobs) récupère à échéance et exécute (executeJob), publiant via dry_run/Postiz.","Identique au realState de l'auditeur, avec correction du mécanisme cron réel: ce n'est pas Vercel (vercel.json n'est effectivement pas honoré ici) mais des systemd timers qui pilotent les crons. Aucun timer/service systemd ne cible /api/cron/content-studio/social-publish-scheduler, donc un job queued+scheduledAt reste queued indéfiniment (mock comme live). Programmation = accusé de réception inerte.","Le chemin 'Programmer' de l'UI (PublishActionGroup -> /schedule) accuse réception ('Publication programmée') mais le contenu ne sera JAMAIS publié automatiquement, ni en mock ni en live, sauf appel manuel authentifié de la route scheduler avec CRON_SECRET.","Route cron créée mais jamais enregistrée dans l'orchestrateur de crons (l'app tourne en PM2/next start, pas Vercel; vercel.json n'est de toute façon pas honoré ici, et tick ne relaie pas le scheduler).",blocker,broken,broken
BUG-004,voix-off,"src/lib/ai-engine/orchestrator.ts (GenerationResult, buildResultFromState), src/lib/ai-engine/bridge/content-studio-bridge.ts, src/components/admin/content-studio-v2/ai-engine/GenerationResult.tsx","Le pipeline vidéo génère voiceover, music, subtitles, puis compose les muxe dans une vidéo finale (composeVideo) et transcode-export produit le MP4 final + thumbnail. L'opérateur devrait recevoir une vidéo avec voix-off, musique et sous-titres.","Confirme. Nuance sur le framing 'travail produit puis jete': en MOCK l'audio voiceover/music n'est PAS reellement produit (lavfi echoue, asset vide), donc rien a jeter pour ces deux-la. Le SRT EST produit sur disque et la composition tentee. Le defaut de DTO est reel et persisterait apres correction de lavfi; mais le blocage proximal aujourd'hui est voix-off-1/4.","Tout le travail audio/sous-titres/composition/export est produit côté serveur puis jeté avant d'atteindre l'API, le bridge et l'UI. Annoncé mais inatteignable pour l'opérateur.","Le DTO de sortie de l'orchestrateur n'a jamais été étendu pour inclure les médias composés/audio; seul 'videos' (assets pré-compose) est propagé, et de plus l'asset video du flux mock est vide (cf voix-off-1/4).",blocker,broken,untested
BUG-005,copywriting,src/lib/content-studio/generation.ts:66-102 (generateForIdea) + service.ts:99-176 (generateIdeaDrafts),"Le picker propose des modèles (gpt-4o-mini, etc.) et l'opérateur reçoit un brief + 3 drafts rédigés par un LLM, avec une copie adaptée à l'idée; provider=openai, coût ~2¢.","Tous les runs texte sont provider=fallback, model=deterministic-template, status=fallback, cost=0. Le texte est un template figé : hook constant, captions quasi-identiques préfixées du prompt brut. Le modèle choisi dans l'UI est enregistré mais ignoré.","Aucune génération LLM réelle ne se produit pour l'opérateur, dans AUCUN mode. Le mode 'mock' n'existe pas pour le texte : MOCK et LIVE donnent strictement le même fallback déterministe.","generation.ts:70 résout la clé via `env.CONTENT_STUDIO_OPENAI_API_KEY ?? env.CHAT_OPENAI_API_KEY` — les deux sont vides/absents (CONTENT_STUDIO_OPENAI_API_KEY len=0, CHAT_OPENAI_API_KEY non défini). Le `OPENAI_API_KEY` générique valide (len=164) n'est PAS dans la chaîne de fallback de ce module. `if (!apiKey) return fallbackGeneration(idea)` court-circuite avant tout appel API.",critical,works,broken
BUG-006,create-ui-flow,ModelPicker.tsx + /api/admin/content-studio/models/route.ts + image-generation.ts,Le ModelPicker liste des modeles disponibles; selectionner un modele et generer produit un media (mock) ou un media reel (live).,"GET /models?role=image renvoie 18 modeles tous source=live (gpt-image-1-mini suggested, flux_2, gpt_image_2...). En mode live, generer avec le modele auto-suggere gpt-image-1-mini => HTTP 409 invalid_state 'CONTENT_STUDIO_OPENAI_API_KEY manquant'. Generer avec n'importe quel hf-* => HTTP 409 invalid_state 'credential Higgsfield incomplet'. AUCUN modele live ne fonctionne aujourd'hui, mais tous sont proposes avec un badge vert 'Live'.",Le picker ne reflete pas la capacite reelle de generation: discovery utilise resolveApiKey() (trouve OPENAI_API_KEY generique) tandis que generateStudioImage lit env.CONTENT_STUDIO_OPENAI_API_KEY en direct (vide). Deux chemins de resolution de cle divergents.,image-generation.ts lignes 87/98/124 referencent env.CONTENT_STUDIO_OPENAI_API_KEY directement; models/route.ts ligne 127 utilise resolveApiKey('openai') qui chaine vers OPENAI_API_KEY (api-key-manager ENV_KEY_MAP ligne 42). Higgsfield: higgsfieldAuthHeader() renvoie null car AI_ENGINE_HIGGSFIELD_API_KEY n'a pas de ':' et AI_ENGINE_HIGGSFIELD_API_SECRET absent.,critical,works,broken
BUG-007,generation-image,src/app/api/admin/content-studio/models/route.ts + ModelPicker.tsx,Le badge 'Live' indique un modele decouvert via l'API live du provider et donc utilisable.,"role=image renvoie 14 modeles badges source:'live' dont AUCUN n'est generable: 6 OpenAI (gpt-image-1/1.5/2, chatgpt-image-latest...) — la cle OpenAI valide cote discovery n'est PAS lue par le flux create (CONTENT_STUDIO_OPENAI_API_KEY vide); 8 Higgsfield (flux_2, flux_kontext, veo3_1...) qui proviennent en realite du FALLBACK statique (discovery.higgsfield='fallback') mais sont marques 'live' a tort.","L'UI promet des modeles live qui throw a l'usage (desync UI/realite); l'operateur choisit un modele 'Live', clique Generer, recoit 409.","(a) Le picker via resolveApiKey('openai') trouve OPENAI_API_KEY (chaine ENV_KEY_MAP) et liste les modeles OpenAI 'live', alors que generateStudioImage lit une AUTRE variable (CONTENT_STUDIO_OPENAI_API_KEY) — sources de cle divergentes entre picker et generateur. (b) materialiseDiscoveredModel (route.ts:62-88) force toujours source:'live' meme quand discoverModels a renvoye source='fallback' (api.higgsfield.ai mort).",critical,n/a,broken
BUG-008,generation-video,"src/lib/content-studio/video-generation.ts:157,187",Le code parle à l'API officielle platform.higgsfield.ai pour soumettre puis poller une génération vidéo.,"Le code POST sur `${base}/v1/videos/generate` et poll `${base}/v1/videos/status/{jobId}` (chemins synchrones inventés). La vraie API Higgsfield est async: submit `/v1/image2video/<model>` (ou text2video) puis poll `/v1/requests/{id}/status`. Le host et l'en-tête (Key KEY_ID:KEY_SECRET) sont désormais corrects (higgsfield-auth.ts), MAIS les chemins/forme de réponse ne le sont pas. Le commentaire TODO l'admet (video-generation.ts:153-155).","Même avec un credential complet, chaque appel live échouerait (404 / forme de réponse inattendue: le code attend {job_id} et {status,video_url} qui ne correspondent pas à l'API réelle).","Migration host/auth faite, migration endpoints/modèle async non faite.",critical,n/a,broken
BUG-009,generation-video,GET /api/admin/content-studio/models?role=video ↔ src/lib/content-studio/video-generation.ts:100-124,Les modèles proposés dans le ModelPicker vidéo sont consommables par le backend de génération.,"Le picker renvoie 8 modèles higgsfield source:'live' (cinematic_studio_3_0, veo3_1, kling3_0, wan2_7, seedance_2_0, minimax_hailuo, marketing_studio_video, soul_cast) + 4 statiques hf-video-* + mock-video-1.0. Mais generateStudioVideo ne reconnaît que /^mock-/ (mock) et model.startsWith('hf-') (Higgsfield). Un modèle live-discovered (ex: veo3_1) en mode live ne matche ni mock ni hf- → tombe à video-generation.ts:119 → throw 'Mode live actif mais aucun modèle vidéo live disponible' (message faux: le modèle EST higgsfield-live). Le défaut suggéré reste mock-video-1.0 (sûr), donc l'opérateur par défaut n'est pas impacté, mais une sélection manuelle l'est.","L'UI annonce des modèles vidéo live cliquables qui throw à l'usage, avec un message d'erreur trompeur. Désynchronisation catalogue/exécution.","Le catalogue est alimenté par découverte live Higgsfield (IDs natifs), mais le routeur de génération attend des IDs internes hf-video-*. Pas de mapping ID-natif→hf-*.",critical,works,broken
BUG-010,test-mock-infrastructure,src/lib/content-studio/video-generation.test.ts + video-generation.ts (polling),vitest run rapporte 1695 passed / 0 failed / success:true ; la CI lit ce rapport et conclut que tout va bien.,"Le process vitest sort EXIT 1. Une 'Unhandled Rejection: Higgsfield video failed: content policy violation' échappe au test 'polling status=failed' (fake timers). Reproduit en isolation : 15 passed MAIS 'Errors 1 error'. La promesse de polling rejette une 2e fois après que le test a déjà capturé son rejet, hors du await du test.",Un rapport JSON success:true coexiste avec un code de sortie d'échec. N'importe quel orchestrateur qui se fie au JSON (ou au compteur passed) rate le signal ; seul le code retour le révèle. C'est l'archétype du test qui ment.,"La boucle while(Date.now()<deadline) de generateHiggsfieldStudioVideo utilise setTimeout(HIGGSFIELD_POLL_INTERVAL_MS) sous fake timers. Le test fait advanceTimersByTimeAsync(6_000) puis useRealTimers() après le rejet attendu, laissant une itération/poll planifiée se résoudre/rejeter en dehors du scope du test (promesse pendante non awaitée). Aucun afterEach n'appelle vi.clearAllTimers()/restoreAllMocks() globalement.",critical,n/a,n/a
BUG-011,test-mock-infrastructure,image-generation.ts / video-generation.ts (chemins live) + env staging,L'opérateur peut basculer en mode live (cookie cs_generation_mode=live) et générer images/vidéos via OpenAI/Higgsfield.,"Live = broken: CONTENT_STUDIO_OPENAI_API_KEY vide → image live throw HttpError invalid_state (image-generation.ts:88-90). Higgsfield: clé sans ':' et AI_ENGINE_HIGGSFIELD_API_SECRET non défini → higgsfieldAuthHeader()=null → video/image live throw 'credential Higgsfield incomplet'. De plus les endpoints HF du code sont synchrones faux (/v1/videos/generate) vs API async réelle. AUCUN test ne capture cet état réel : les tests live mockent une clé 'hf_test:secret_test' (video-generation.test.ts:125) et une réponse fetch parfaite, donc ils restent verts.","L'état 'live cassé' de staging n'est signalé par aucun test ; au contraire les tests live verts donnent l'illusion inverse. Un opérateur qui bascule en live obtient un throw, jamais anticipé par la CI.",Tests live exercés contre des doublures avec credentials/réponses idéaux ; aucun test n'assert le comportement avec les credentials réels de staging (vides/incomplets). Endpoints HF non réécrits (TODO assumé).,critical,works,broken
BUG-012,voix-off,"src/lib/ai-engine/nodes/generate-voiceover.ts, src/lib/ai-engine/nodes/generate-music.ts","Le node voiceover en mode mock génère un WAV silencieux via ffmpeg anullsrc/lavfi; le node music génère une piste silencieuse stéréo. Tests verts, logs 'Voiceover generated', 'Music generated'. Le job finit 'completed' avec quality 0.91.","[CORRECTION AUDITEUR PRINCIPAL 2026-05-29] La cause racine 'lavfi indisponible' est REFUTEE par contre-verification directe: le binaire ffmpeg-static de l'app supporte lavfi et la commande des noeuds produit un fichier valide (exit 0). Voir evidence/ffmpeg-binary-verification.md. Severite ramenee a minor; l'impact operateur reel est gouverne par BUG-004 (noeuds inatteignables depuis le flux create). Confirme. Precision cause racine: incompatibilite entre la regex de parsing de formats de fluent-ffmpeg@2.1.3 et la sortie '-formats' de ffmpeg-static recent (lavfi marque device 'D d'), faisant echouer tout .inputFormat('lavfi') dans le process Node alors que le binaire supporte lavfi.","Un succès tout-vert (status completed, quality 0.91, cost breakdown listant generate_voiceover/generate_music) masque l'absence totale d'audio. Illustration exacte du décalage test<->réalité.","[CORRECTION AUDITEUR PRINCIPAL 2026-05-29] La cause racine 'lavfi indisponible' est REFUTEE par contre-verification directe: le binaire ffmpeg-static de l'app supporte lavfi et la commande des noeuds produit un fichier valide (exit 0). Voir evidence/ffmpeg-binary-verification.md. Severite ramenee a minor; l'impact operateur reel est gouverne par BUG-004 (noeuds inatteignables depuis le flux create). // Cause avancee par l'agent: Les nodes utilisent ffmpeg().input('anullsrc=...').inputFormat('lavfi'). fluent-ffmpeg détecte les formats disponibles via le binaire ffmpeg du process; dans le runtime PM2/Next prod, ce binaire (ou sa détection de capacités) ne reconnaît pas 'lavfi' (erreur 'Input format lavfi is not available'). En invocation shell directe le binaire ffmpeg-static supporte pourtant lavfi — divergence runtime serveur vs CLI. Les blocs catch avalent l'erreur et retournent un asset vide sans propager d'échec.",minor,broken,untested
