key,context,locale_fr,locale_ar,locale_ar_ma,notes
greeting.default,Default greeting fallback,Bonjour ! Comment puis-je vous aider aujourd'hui ?,مرحبا! كيف يمكنني مساعدتكم اليوم ؟,Marhba bik ! Kifach n3awnek lyoma ?,Used if no pageSalutation match
greeting.home,Home page greeting,Bonjour ! Bienvenue chez FemiGlow. Que puis-je faire pour vous ?,مرحبا! أهلا بكم في فيميغلو. ماذا يمكنني أن أفعل لكم ؟,Marhba bik f FemiGlow ! Chno bghiti ndir lik ?,Page=/
greeting.kit,Kit page greeting,Vous êtes sur le Pack. Je vous explique tout en quelques mots.,أنتم على صفحة الباك. سأشرح لكم كل شيء بإيجاز.,Rakom 3la Pack ! Ghan'fhmek koulchi b chwiya.,Page=/kit
greeting.shop,Shop page greeting,Vous explorez nos rituels ? Je vous aide à choisir.,تتصفحون طقوسنا ؟ سأساعدكم على الاختيار.,Kat'chouf rituals dyalna ? Ghan'3awnek tkhtar.,Page=/shop
greeting.b2b,B2B page greeting,Bienvenue à nos partenaires professionnels.,مرحبا بشركائنا المحترفين.,Marhba bi-chouraka2 dyalna l-mihaniyin.,Page=/b2b audience=b2b
greeting.afterHours,Outside business hours,Bonjour ! Notre équipe revient demain. Laissez vos coordonnées si vous voulez être rappelée.,مرحبا! فريقنا سيعود غدا. اتركوا بياناتكم.,Marhba ! Fri9na ghadi yrjaa3 ghadda. Khelli coordonnées dyalek.,Trigger after-hours intent
composer.placeholder,Composer input placeholder,Tapez votre message...,اكتبوا رسالتكم...,Kteb risaltek...,
composer.hint.desktop,Hint below composer (desktop only),Entrée : envoyer · Maj+Entrée : nouvelle ligne,Enter للإرسال,Enter bach tsift,Hidden on mobile
composer.send.label,Send button aria-label,Envoyer le message,إرسال الرسالة,Send risala,
composer.disabled.tooltip,Send button disabled tooltip,L'assistant écrit en ce moment...,المساعد يكتب الآن...,L-assistant kayktab daba...,
header.title,Chat panel header title,FemiGlow Assistant,FemiGlow مساعد,FemiGlow Assistant,Brand name preserved
header.close.label,Close button aria-label,Fermer le chat,إغلاق المحادثة,Sed l-chat,
header.status.nominal,Status pill text serviceLevel 0/1,En ligne,متصل,Online,
header.status.degraded,Status pill text serviceLevel 2,En ligne,متصل,Online,No leak business reason
header.status.canned,Status pill text serviceLevel 3,Réponses pré-écrites,ردود محضرة,Réponses préparées,
header.status.static,Status pill text serviceLevel 4,Service réduit,خدمة محدودة,Khedma m7doda,
typingDots.aria,Typing dots aria-label,L'assistant écrit votre réponse...,المساعد يكتب لكم الإجابة...,L-assistant kayktab lik...,
streaming.aria.complete,SR announce on done,Réponse terminée.,انتهت الإجابة.,Tslat l-réponse.,
