Component,State,Trigger,Visual,Motion,A11y(announce/role),Notes
Dropdown trigger,idle,Page load,"Endonyme actif Inter 12px encre/80, souligné encre/40, chevron 12px opacité 60%",None,"role=button; aria-haspopup=menu; aria-expanded=false; aria-controls=panel; aria-label localisé",Neutre uniquement (CONTRACT §5)
Dropdown trigger,hover,Pointer enter,"Fond encre/[0.04]","transition 200ms ease",aria-expanded=false,Pas de pop chaud
Dropdown trigger,focus,Tab / focus-visible,"Ring encre 2px offset 2px",None,Focusable; annonce du label,Ring neutre jamais sauge
Dropdown trigger,open,Click/Enter/Space/Down,"Chevron rotation 180°; panneau visible","panel opacity 0→1 + translateY(-4px→0) 180ms ease-out; chevron 200ms ease-out",aria-expanded=true; focus déplacé sur item actif (roving tabindex),Reduced-motion ⇒ instantané
Dropdown trigger,disabled,1 seule locale active,"Composant rendu null (absent)",None,Aucun rôle (non rendu),Edge case 1 locale ⇒ null
Dropdown trigger,loading,Config en cours / API,"Trigger rendu avec valeurs par défaut (jamais skeleton bloquant)",None,role intact,INV-12 fallback défauts; pas d'écran cassé
Dropdown panel item,idle,Panel open,"Endonyme Cormorant italic 17px; inactif encre/80; actif encre + point sauge end",None,role=menuitemradio; aria-checked sur actif; tabindex roving,Chaque item porte son dir propre
Dropdown panel item,hover,Pointer enter,"Fond encre/[0.04]","transition 200ms",aria-checked inchangé,—
Dropdown panel item,focus,Arrow ↑↓/Home/End,"Ring encre + fond hover","None (focus move)",Item focus annoncé par SR (endonyme + état),Roving tabindex; Home=premier End=dernier
Dropdown panel item,active(selected),Click langue ≠ active,"Bascule: fondu document; nouvelle langue active marquée point sauge","Fondu VT 280ms cubic-bezier(0.22,1,0.36,1) OU veil 160/160ms; reduced ⇒ 0ms",aria-live polite annonce nouvelle langue (INV-10); focus retourne au trigger,Émet locale_switch {transition: vt|veil|reduced}
Dropdown panel item,active(no-op),Click langue active,"Panneau se ferme; aucun changement","Aucune transition",aria-expanded=false; pas d'annonce,INV-11 no-op; pas d'event
