component_slug,field_key,locale,value,status,notes
commerce-cart,hero__kicker,ar,السلّة,draft,
commerce-cart,hero__subtitle__empty,ar,لا منتجات حاليا.,draft,
commerce-cart,hero__subtitle__many,ar,"{count, plural, =0 {لا منتجات} =1 {منتج واحد} =2 {منتجان، مرتَّبان في أمان} few {# منتجات، مرتَّبة في أمان} many {# منتجا، مرتَّبة في أمان} other {# منتج، مرتَّب في أمان}}",draft,icu
commerce-cart,hero__subtitle__one,ar,منتج واحد، مرتَّب في أمان.,draft,
commerce-cart,hero__title,ar,سلّتك.,draft,
commerce-cart-contents,continue,ar,تابعي الاكتشاف,draft,
commerce-cart-contents,cta,ar,إتمام الطلب,draft,
commerce-cart-contents,empty__cta,ar,تصفّحي الكيت,draft,
commerce-cart-contents,empty__kicker,ar,السلّة,draft,
commerce-cart-contents,empty__subtitle,ar,تبدأ الطقوس بكيت. ثلاث حركات، خمس دقائق.,draft,
commerce-cart-contents,empty__title,ar,السلّة فارغة.,draft,
commerce-cart-contents,label_quantity,ar,الكمّية,draft,
commerce-cart-contents,label_remove,ar,إزالة,draft,
commerce-cart-contents,shipping_hint,ar,التوصيل مُقدَّر في الخطوة التالية.,draft,
commerce-cart-contents,subtotal,ar,المجموع الفرعي,draft,
commerce-cart-contents,unit,ar,للوحدة,draft,
commerce-cart-summary,cta,ar,اطلبي,draft,
commerce-cart-summary,footnote,ar,يمكنكِ تعديل طلبك حتى مرحلة الدفع.,draft,
commerce-cart-summary,heading,ar,طلبك.,draft,
commerce-cart-summary,shipping_estimate,ar,التوصيل المُقدَّر,draft,
commerce-cart-summary,shipping_hint,ar,تقدير، يُعدَّل في الخطوة التالية.,draft,
commerce-cart-summary,subtotal,ar,المجموع الفرعي,draft,
commerce-cart-summary,total,ar,المجموع,draft,
commerce-commander,metadata__description,ar,ثلاث مراحل مدروسة لتأكيد طلبك FemiGlow: البيانات، التوصيل، التأكيد. الدفع عند الاستلام متاح.,draft,
commerce-commander,metadata__title,ar,اطلبي,draft,
commerce-empty-cart,cta_primary,ar,اكتشفي الطقوس,draft,
commerce-empty-cart,cta_secondary,ar,تصفّحي الكيت,draft,
commerce-empty-cart,subtitle,ar,تبدأ الطقوس بحركة. ثلاث علب، خمس دقائق.,draft,
commerce-empty-cart,title,ar,السلّة فارغة.,draft,
commerce-journal-cross,description,ar,ثلاث رسائل في الموسم. دون استعجال.,draft,
commerce-journal-cross,kicker,ar,في الانتظار,draft,
commerce-journal-cross,title,ar,اقرئي مجلّة الدار.,draft,
commerce-merci,fallback__body,ar,تمّ تسجيل طلبك. التأكيد المفصّل يصل إلى صندوق بريدك.,draft,
commerce-merci,fallback__cta,ar,العودة إلى الدار,draft,
commerce-merci,fallback__title,ar,تأكيد مُرسَل بالبريد الإلكتروني.,draft,
commerce-merci,letter__body_1,ar,يُحضَّر كلّ كيت يدويا، في الرباط، في ورشة نأخذ فيها الوقت. Paste تُحضِّر، Powder تكشف، المُلمِّع يُلمِّع. الإشراقة ستعود بهدوء.,draft,
commerce-merci,letter__body_2,ar,في الانتظار، اختاري مساءً هادئا. ضعي العلب على منشفة كتّان. الطقوس لا تحبّ العجلة — وهذا هو وعدها.,draft,
commerce-merci,letter__body_3,ar,إن خطر سؤال على بالك، اكتبي إلينا. الدار تردّ.,draft,
commerce-merci,letter__kicker,ar,كلمة من مؤسِّستنا,draft,anonymisation: notre fondatrice — voir review-notes 1.4
commerce-merci,letter__opening_anonymous,ar,شكرا على ائتمان الدار بطقوسكِ.,draft,
commerce-merci,letter__opening_named,ar,{first_name}، شكرا على ائتمان الدار بطقوسكِ.,draft,icu
commerce-merci,letter__signature,ar,مؤسِّستنا,draft,anonymisation: notre fondatrice — voir review-notes 1.4
commerce-merci,letter__signature_role,ar,مؤسِّسة · FemiGlow,draft,
commerce-merci,letter__title,ar,تأخذ الدار الوقت اللازم.,draft,
commerce-merci,metadata__description,ar,طلبك FemiGlow مؤكَّد. ستستلمين رسالة من الدار بمراحل التحضير والتوصيل.,draft,
commerce-merci,metadata__title,ar,شكرا,draft,
commerce-merci,order_hero__body,ar,طلبك في أيادٍ أمينة. ستستلمين بريد تأكيد خلال دقيقة، ثمّ ثانيا عند الإرسال.,draft,
commerce-merci,order_hero__estimate,ar,تقدير التوصيل: بين {min} و{max}.,draft,icu
commerce-merci,order_hero__kicker,ar,الدار تشكرك,draft,
commerce-merci,order_hero__number_label,ar,رقم الطلب,draft,
commerce-merci,order_hero__title,ar,شكرا، {first_name}.,draft,icu
commerce-merci,preparation__body_1,ar,ضعي العلب على منشفة كتّان. أضيئي ضوءا خافتا. افتحي الطقوس كما تُفتَح رسالة — دون استعجال، دون نيّة إنتاجية.,draft,
commerce-merci,preparation__body_2,ar,لا تقترح الدار روتينا. تقترح لحظة معلّقة، تخصّ يديكِ.,draft,
commerce-merci,preparation__kicker,ar,التحضير للحركة,draft,
commerce-merci,preparation__title,ar,اختاري مساءً هادئا.,draft,
commerce-merci,timeline__expedition,ar,الإرسال,draft,
commerce-merci,timeline__expedition_hint,ar,يوم إلى يومين عمل بعد التحضير.,draft,
commerce-merci,timeline__kicker,ar,تتبّع كيتك,draft,
commerce-merci,timeline__livraison,ar,التوصيل,draft,
commerce-merci,timeline__livraison_hint,ar,الرباط 24 ساعة · المغرب 48 إلى 72 ساعة.,draft,
commerce-merci,timeline__preparation,ar,التحضير,draft,
commerce-merci,timeline__preparation_hint,ar,في غضون 24 ساعة، يدويا، في الرباط.,draft,
commerce-merci,timeline__title,ar,ثلاث مراحل، بإيقاعك.,draft,
commerce-minicart,close_aria,ar,إغلاق السلّة,draft,
commerce-minicart,continue,ar,متابعة الطقوس,draft,
commerce-minicart,cta_revoir,ar,مراجعة السلّة,draft,
commerce-minicart,empty,ar,طقوسكِ لم تُؤلَّف بعد.,draft,
commerce-minicart,heading,ar,طقوسكِ,draft,
commerce-minicart,quantity_label,ar,الكمّية {qty},draft,icu
commerce-minicart,toast,ar,أُضيف إلى طقوسكِ.,draft,
commerce-panier,metadata__description,ar,ملخّص طقوسكِ، قبل الطلب.,draft,
commerce-panier,metadata__title,ar,السلّة,draft,
commerce-sticky-cta,aria,ar,شراء سريع,draft,
commerce-trust-signals,kicker,ar,ضمانات,draft,
commerce-trust-signals,livraison__body,ar,الرباط: 24 ساعة. باقي المغرب: 48 إلى 72 ساعة. دون عتبة ولا تكلفة إضافية.,draft,
commerce-trust-signals,livraison__title,ar,توصيل مجّاني,draft,
commerce-trust-signals,paiement__body,ar,لا تدفعين إلّا عند الاستلام، بعد التحقّق من طلبك. دون مخاطرة.,draft,
commerce-trust-signals,paiement__title,ar,الدفع عند الاستلام,draft,
commerce-trust-signals,retour__body,ar,إن لم تناسبكِ الطقوس، نسترجعها — حتى المفتوحة. دون مبرّر.,draft,
commerce-trust-signals,retour__title,ar,إرجاع خلال 30 يوما,draft,
commerce-trust-signals,title,ar,ثلاثة التزامات بسيطة.,draft,
contact-crosslinks,kit,ar,تصفّحي الكيت,draft,
contact-crosslinks,maison,ar,الدار,draft,
contact-crosslinks,rituel,ar,اقرئي الطقوس,draft,
contact-direct,appointment_only,ar,بموعد.,draft,
contact-direct,kicker_atelier,ar,الورشة,draft,
contact-direct,kicker_write,ar,اكتبي,draft,
contact-direct,response_time,ar,الردّ في غضون 24 ساعة عمل، من الرباط.,draft,
contact-faq,duree__answer,ar,خمس دقائق في المساء، أيادٍ مستريحة. حركتان — Paste، Powder — ثمّ مُلمِّع Step 4 لمسة نهائية. تنصح الدار بمرور يومي لإرساء الإيقاع.,draft,
contact-faq,duree__question,ar,كم من الوقت تدوم الطقوس؟,draft,
contact-faq,echantillon__answer,ar,في حالة التردّد لسبب حساسية، نُرسل عيّنة من Paste قبل إرسال الكيت الكامل. اكتبي إلينا مع توضيح المكوّن الذي يُقلقكِ.,draft,
contact-faq,echantillon__question,ar,هل أستطيع استلام عيّنة قبل الشراء؟,draft,
contact-faq,formation__answer,ar,تُؤطِّر مؤسِّستنا تكوينات في المانيكور الياباني وصناعة مستحضرات التجميل في ورشة الرباط. اكتبي إلى info@femiglow-maroc.com مع توضيح ملفّك (مُجمِّلة، مُركِّبة، مدرسة). نردّ في غضون ثلاثة أيام.,draft,
contact-faq,formation__question,ar,كيف أتابع تكوينا مع فريقكنّ؟,draft,
contact-faq,fragiles__answer,ar,نعم. الموادّ مختارة للإصلاح دون عدوانية: شمع نحل، جوجوبا، طلق تجميلي، بودرة أرزّ، كاولين مُلمِّع. لا أسيتون، لا مُصلِّبات. تجنّبي فقط عند حساسية معروفة لأحد المكوّنات؛ القائمة الكاملة في صفحة الكيت.,draft,
contact-faq,fragiles__question,ar,أظافري هشّة، هل تناسبني؟,draft,
contact-faq,kicker,ar,الأسئلة المتداولة,draft,
contact-faq,livraison__answer,ar,الرباط: 24 ساعة. الدار البيضاء وسلا: 24 إلى 48 ساعة. باقي المغرب: 48 إلى 72 ساعة. توصيل مجّاني في المغرب، دون عتبة. خارج المغرب، اكتبي إلينا، ندرس كلّ إرسال يدويا.,draft,
contact-faq,livraison__question,ar,ما هي مدد التوصيل؟,draft,
contact-faq,title,ar,أجوبة سريعة.,draft,
contact-form,error__body,ar,لم يُرسَل. أعيدي المحاولة أو اكتبي إلينا على {email}.,draft,icu
contact-form,field__company,ar,اسم الشركة,draft,
contact-form,field__email,ar,بريدك الإلكتروني,draft,
contact-form,field__message,ar,رسالتك,draft,
contact-form,field__message_hint,ar,20 حرفا على الأقلّ، حتى نتمكّن من الردّ بدقّة.,draft,
contact-form,field__name,ar,اسمك الشخصي,draft,
contact-form,field__order_number,ar,رقم الطلب,draft,
contact-form,field__order_number_hint,ar,الرقم موجود في بريد التأكيد.,draft,
contact-form,field__phone,ar,الهاتف,draft,
contact-form,field__role,ar,وظيفتك,draft,
contact-form,honeypot_label,ar,موقع الويب (لا تملئيه),draft,
contact-form,newsletter_consent,ar,أرغب في استلام النشرة الموسمية. نشرة واحدة في الموسم. لا إرسال تجاري.,draft,
contact-form,section_title,ar,اكتبي إلى الدار.,draft,
contact-form,submit,ar,إرسال رسالتي,draft,
contact-form,success__body,ar,نقرأ كلّ رسالة بانتباه. الردّ في غضون 24 ساعة عمل.,draft,
contact-form,success__title,ar,وصلت. الدار تردّ.,draft,
contact-form,type__legend,ar,أيّ نوع من الرسائل؟,draft,
contact-form,type__order,ar,طلب,draft,
