id,interface,fonctionnalite,type,description,dossier_tests,refs_audit
SOC-F01,socle,ConfirmDialog,nouvelle,"Dialog de confirmation accessible (focus trap, Esc, variante danger, saisie de confirmation pour le massif) remplaçant les 9 window.confirm",F01-socle-feedback,TRV-01
SOC-F02,socle,ToastProvider/useToast,nouvelle,"Toasts succès auto-dismiss 4s / erreur persistante avec action Réessayer, empilables, aria-live",F01-socle-feedback,TRV-02
SOC-F03,socle,EmptyState,nouvelle,"État vide unifié (icône, titre, explication, CTA)",F01-socle-feedback,TRV-09
SOC-F04,socle,Freshness,nouvelle,"Âge relatif + timezone + auto-refresh optionnel suspendu onglet caché",F01-socle-feedback,TRV-05;DASH-08
SOC-F05,socle,Wizard partagé/useWizard,nouvelle,"Étapes cliquables <= validées, persistance étape courante, Ctrl+flèches, focus management, autosave hook",F01-socle-feedback,TRV-08;CAMP-05;CAMP-14;AUTO-15
SOC-F06,socle,Pill + STATUS_META unifié,amelioree,"Pastille sémantique unique, suppression du doublon KpiCards, libellés complets",F01-socle-feedback,TRV-07;DASH-07
SOC-F07,socle,use-dirty-guard,nouvelle,"Garde modifications non enregistrées (beforeunload + navigation in-app)",F01-socle-feedback,TRV-10
SOC-F08,socle,Tokens sémantiques,nouvelle,"success/danger/warning/info uniques (fin des doublons sage/red/blue) + test de verrouillage",F01-socle-feedback,info design
NAV-F01,navigation,Barre d'onglets persistante,nouvelle,"9 onglets dans layout.tsx avec état actif (aria-current)",F02-navigation,TRV-03
NAV-F02,navigation,Badges compteurs,nouvelle,"DLQ / runs en erreur / sync KO via /api/admin/emails/nav-counters (cache TTL 30s)",F02-navigation,TRV-03
NAV-F03,navigation,Breadcrumb harmonisé,amelioree,"Emails › Section › Objet partout, fin des libellés retour divergents",F02-navigation,TRV-03
NAV-F04,navigation,Entrée Suppression réintégrée,amelioree,"Onglet + palette + (transitoire) quick-link dashboard",F02-navigation,SUP-01
NAV-F05,navigation,Palette ⌘K enrichie,amelioree,"Routes complètes (dont suppression) + placeholder Cmd-K/Ctrl-K",F02-navigation,DASH-10
NAV-F06,navigation,Route /campaigns/new,nouvelle,"Redirect vers le flux de création (cohérence avec les autres sections)",F02-navigation,CAMP-08
DSH-F01,dashboard,Cartes KPI cliquables,existante,"6 cartes (envoyés/livrés/échecs/dlq/attente/total) avec drill-down cockpit pré-filtré",F03-dashboard,nominal
DSH-F02,dashboard,Sélecteur de fenêtre,nouvelle,"24h/7j/30j via ?window= partagé avec le summary cockpit",F03-dashboard,DASH-01
DSH-F03,dashboard,KPI livraison tri-état,amelioree,"valeur / webhook muet depuis X / non suivi — fin des signaux contradictoires",F03-dashboard,DASH-02;TRV-04
DSH-F04,dashboard,Sparklines + tendances,nouvelle,"séries et % vs période précédente sur les cartes (réutilise summary)",F03-dashboard,DASH-06
DSH-F05,dashboard,Auto-refresh 60s,nouvelle,"refresh périodique + âge visible + suspension onglet caché",F03-dashboard,DASH-03
DSH-F06,dashboard,Alerte livraison silencieuse,existante,"bandeau rose conditionnel (sent>=1 && delivered=0) avec lien diagnostic",F03-dashboard,nominal
DSH-F07,dashboard,HealthBadge 15+ checks,amelioree,"checks existants + Listmonk/sync (F10) + deep-links contextualisés (?from=health)",F03-dashboard,DASH-12;LMK-01
DSH-F08,dashboard,Table derniers envois,amelioree,"8 lignes + EmptyState unifié",F03-dashboard,DASH-05
DSH-F09,dashboard,Loading/error boundaries,amelioree,"skeleton role=status, message d'erreur neutre + digest",F03-dashboard,DASH-09
