id_action,critere_verifiable,methode_verif,statut_mock,statut_live,scenario_parite_lie
ACT-ARC-004,"pnpm vitest run exit code = nb_failed (0 failed -> exit 0); onUnhandledRequest:'error' fait echouer tout reseau sans handler MSW; coverage AI-Engine >0% sur 16 noeuds","cmd: pnpm vitest run; echo $?; reintroduire promesse pendante video-generation.test -> attendu exit 1",a_faire,a_faire,"Statut de la suite de tests video;Polling Higgsfield status=failed"
ACT-ARC-005,"Contract-test compare schema zod reponses mock vs live (OpenAI/Higgsfield/Postiz); divergence de forme -> CI rouge","cmd: pnpm vitest run src/lib/**/contract; inspecter rapport divergence",a_faire,a_faire,"Genere une video (parite catalogue);Generation video Higgsfield (hf-video-*) en mode live"
ACT-ARC-013,"resolveProviderCredential() resout via 1 source unique; CONTENT_STUDIO_OPENAI_API_KEY='' retombe sur OPENAI_API_KEY (picker=generateur=graphe)","test unitaire resolution; grep -rn resolveProviderCredential src/",a_faire,a_faire,"Operateur clique Generer un visuel IA;Discovery de modeles pour le picker role=chat"
ACT-ARC-008,"Badge Live <=> generabilite reelle: source propagee (r.source) identique entre picker et generateur; aucun fallback statique etiquete live","probe UI /create model picker; comparer source picker vs resolveProviderCredential",a_faire,a_faire,"Picker affiche les modeles image disponibles;Decouverte de modeles quand aucune cle"
ACT-ARC-001,"GenerationResult propage script/caption/variants/images/video/voiceover/music/subtitles/composition/exports/thumbnails; quality-gate ne certifie pas completed si media absent","test unitaire buildResultFromState; assert state.errors non vide sur media manquant",a_faire,a_faire,"Generer un reel avec un ton valide (voix-off);Recuperer le fichier .srt"
ACT-ARC-002,"Pont A->B persiste composition/exports/thumbnails en bibliotheque; draft cree a un asset approuvable (assetId resolu)","probe: generer via AI-Engine puis GET bibliotheque -> asset present 200",a_faire,a_faire,"Visibilite du media monte dans la bibliotheque"
ACT-ARC-009,"getStorage() + MEDIA_DIR absolu: asset servi HTTP 200 octets valides en mock et live; meme chemin de stockage","cmd: curl -I /_media/...; file <asset>",a_faire,a_faire,
ACT-ARC-006,"File de jobs async unique (worker resumable): polling+scheduler partagent la meme file; job reprend apres redemarrage","probe: tuer worker mi-job -> relance -> job completed",a_faire,a_faire,"Programmer un post pour T+1h"
ACT-ARC-007,"Higgsfield async submit+poll: POST /v1/{text2image|image2video}/<model> -> GET /v1/requests/{id}/status; routage par identite native; auth KEY_ID:KEY_SECRET","contract-test handler MSW fidele; verif live a fourniture credential",a_faire,bloque_credential,"Operateur selectionne un modele Higgsfield hf-flux-pro;Choix d'un modele video dans le ModelPicker"
ACT-ARC-003,"invokeEngine(brief)->GenerationResult: frontiere B->A unique; create-flow appelle A","grep -rn invokeEngine src/; assert MediaStudio passe par la facade",a_faire,a_faire,
ACT-ARC-010,"Bascule par flag incrementale; retrait dette double-moteur tracee","revue diff; grep flag de bascule",a_faire,a_faire,
ACT-ARC-012,"Gate CI smoke operateur (mock+live) bloquant: parcours create echoue -> CI rouge","cmd: pnpm smoke:operator --mode=mock && --mode=live",a_faire,a_faire,
