id,risk,area,likelihood,impact,mitigation,owner_task
RISK-01,"ffmpeg compose is CPU/time heavy and can exceed the route maxDuration (generate-visual uses maxDuration=120), causing timeouts on large videos",perf,medium,high,"Set maxDuration on the compose route; use -c:v copy (no re-encode) as compose.ts already does (L115); cap input duration; enqueue async with a status poll if it grows; mock path is byte-copy (instant)",MP-CO
RISK-02,"Large media files (audio + video) inflate storage and memory (readFile of whole video buffer in compose.ts L57)",perf,medium,medium,"Stream rather than buffer where possible; enforce a max file size in zod schema; rely on existing media worker/storage; document size caps in runbook",MP-CO
RISK-03,"Mode leak: a live provider call (TTS/ffmpeg-with-key) fires in mock mode, incurring cost or hitting network",security,low,high,"MSW onUnhandledRequest:'error' in tests proves zero network in mock; service resolves apiKey only in live; live-no-key throws HttpError invalid_state 409 before any call; node mock path returns silent artifact",MP-AR-001;MP-VO;MP-TB
RISK-04,"Regression of generateVisualForDraft when upsertPrimaryAsset becomes a shim or role values change",non-regression,medium,high,"Keep upsertPrimaryAsset signature + default role primary_image; backfill legacy primary rows; widen listPrimaryAssetsForDrafts filter in same PR; run existing CS v2 vitest + create-golden-path Playwright unchanged",MP-AR-003;MP-TB
RISK-05,"DTO breakage: adding required fields to GenerationResult breaks existing callers / tsc",dto,low,high,"All new GenerationResult fields are optional (?:); failResult literals omit them; CI gates on tsc --noEmit (vitest does not typecheck)",MP-AR-001;MP-TB
RISK-06,"Accessibility regressions in the new tracks panel (keyboard nav, ARIA labels, focus, reduced-motion on player)",a11y,medium,medium,"Per-track buttons keyboard-reachable with aria-labels; live-region for generation status; honor prefers-reduced-motion; axe scan 0 criticals gate in acceptance PA-10",MP-VO;MP-CO;MP-SU;MP-TB
RISK-07,"i18n: new UI strings shipped in English or untranslated, breaking FR consistency",i18n,medium,low,"All new strings FR (Voix-off, Musique, Sous-titres, Composer); reuse existing FR copy patterns; review in ui-ux files; checklist item per feature",MP-VO;MP-CO;MP-SU
RISK-08,"Cost overrun if live TTS/music providers are wired and budget pre-check uses a different cost source than the recorded cost",cost,low,medium,"Mock cost=0; reuse checkDailyBudget with the same pricing source as the recorded run (mirror ACT-BE-035 pattern in generateVisualForDraft L313); live providers out of scope this phase",MP-VO;MP-AR
RISK-09,"Enum ALTER TYPE media_kind ADD VALUE fails inside a transaction or on re-run",data,medium,medium,"Guard with DO $$ IF NOT EXISTS; run the ADD VALUE standalone (outside the txn); never DROP VALUE on rollback (left in place, harmless)",MP-AR-005
RISK-10,"Backfill collides with UNIQUE(draft_id, role) if a draft somehow had multiple primary rows",data,low,medium,"upsertPrimaryAsset only ever wrote one primary row per draft (delete-all-then-insert); backfill maps 1:1 to primary_image/primary_video; verification query asserts count(role='primary')=0",MP-AR-005;MP-TB
RISK-11,"Subtitles SRT text in binding.meta diverges from the .srt asset bytes",data,low,low,"generateSubtitlesForDraft writes both atomically from the same SRT string; invariant asserted in data-model; test compares meta.srt to asset bytes",MP-SU;MP-TB
RISK-12,"Composed video published live by mistake",security,low,high,"SOCIAL_PUBLISHING_MODE stays dry_run; no code path enables live; runbook + Playwright assert dry_run delivery only",MP-RB;MP-TB
RISK-13,"Node-core extraction (D5) changes graph node behavior and breaks pipeline A tests",non-regression,medium,medium,"Make the graph node a thin wrapper over the extracted core; keep node *.test.ts green; the core is the same logic moved, not rewritten",MP-CO;MP-VO;MP-SU;MP-TB
RISK-14,"Feature flag left half-wired: route guarded but UI not (or vice versa), exposing a broken partial surface",non-regression,medium,medium,"requireMediaStudioEnabled() in every new route AND a flag gate around the tracks panel; flag-off Playwright asserts the panel is absent and routes 404/forbidden",MP-AR-006;MP-TB
