component_slug,field_key,locale,value,status,notes
commerce-cart,hero__kicker,fr,Le panier,draft,
commerce-cart,hero__subtitle__empty,fr,Aucun article pour le moment.,draft,
commerce-cart,hero__subtitle__many,fr,"{count} articles, rangés à l’abri.",draft,icu
commerce-cart,hero__subtitle__one,fr,"Un article, rangé à l’abri.",draft,
commerce-cart,hero__title,fr,Votre panier.,draft,
commerce-cart-contents,continue,fr,Continuer à découvrir,draft,
commerce-cart-contents,cta,fr,Passer commande,draft,
commerce-cart-contents,empty__cta,fr,Voir le kit,draft,
commerce-cart-contents,empty__kicker,fr,Panier,draft,
commerce-cart-contents,empty__subtitle,fr,"Le rituel commence par un kit. Trois gestes, cinq minutes.",draft,
commerce-cart-contents,empty__title,fr,Le panier est vide.,draft,
commerce-cart-contents,label_quantity,fr,Quantité,draft,
commerce-cart-contents,label_remove,fr,Retirer,draft,
commerce-cart-contents,shipping_hint,fr,Livraison estimée à l’étape suivante.,draft,
commerce-cart-contents,subtotal,fr,Sous-total,draft,
commerce-cart-contents,unit,fr,l’unité,draft,
commerce-cart-summary,cta,fr,Commander,draft,
commerce-cart-summary,footnote,fr,Vous pourrez modifier votre commande jusqu’à l’étape paiement.,draft,
commerce-cart-summary,heading,fr,Votre commande.,draft,
commerce-cart-summary,shipping_estimate,fr,Livraison estimée,draft,
commerce-cart-summary,shipping_hint,fr,"Estimation, ajustée à l’étape suivante.",draft,
commerce-cart-summary,subtotal,fr,Sous-total,draft,
commerce-cart-summary,total,fr,Total,draft,
commerce-commander,metadata__description,fr,"Trois étapes mesurées pour confirmer votre commande FemiGlow : coordonnées, livraison, validation. Paiement à la livraison disponible.",draft,
commerce-commander,metadata__title,fr,Commander,draft,
commerce-empty-cart,cta_primary,fr,Découvrir le rituel,draft,
commerce-empty-cart,cta_secondary,fr,Voir le kit,draft,
commerce-empty-cart,subtitle,fr,"Le rituel commence par un geste. Trois pots, cinq minutes.",draft,
commerce-empty-cart,title,fr,Le panier est vide.,draft,
commerce-journal-cross,description,fr,Trois lettres par saison. Aucune urgence.,draft,
commerce-journal-cross,kicker,fr,En attendant,draft,
commerce-journal-cross,title,fr,Lire le journal de la maison.,draft,
commerce-merci,fallback__body,fr,Votre commande a bien été enregistrée. La confirmation détaillée arrive dans votre boîte mail.,draft,
commerce-merci,fallback__cta,fr,Revenir à la maison,draft,
commerce-merci,fallback__title,fr,Confirmation envoyée par email.,draft,
commerce-merci,letter__body_1,fr,"Chaque pack est préparé à la main, à Rabat, dans un atelier où l’on prend le temps. La paste prépare, la powder révèle, le polissoir lustre. L’éclat reviendra doucement.",draft,
commerce-merci,letter__body_2,fr,"En l’attente, choisissez un soir calme. Posez les pots sur une serviette de lin. Le rituel n’aime pas la précipitation — c’est là sa promesse.",draft,
commerce-merci,letter__body_3,fr,"Si une question vous traverse, écrivez-nous. La maison répond.",draft,
commerce-merci,letter__kicker,fr,Un mot de notre fondatrice,draft,anonymisation: notre fondatrice — voir review-notes 1.4
commerce-merci,letter__opening_anonymous,fr,Merci d’avoir confié votre rituel à la maison.,draft,
commerce-merci,letter__opening_named,fr,"{first_name}, merci d’avoir confié votre rituel à la maison.",draft,icu
commerce-merci,letter__signature,fr,notre fondatrice,draft,anonymisation: notre fondatrice — voir review-notes 1.4
commerce-merci,letter__signature_role,fr,Fondatrice · FemiGlow,draft,
commerce-merci,letter__title,fr,La maison prend le temps qu’il faut.,draft,
commerce-merci,metadata__description,fr,Votre commande FemiGlow est confirmée. Vous recevrez un message de la maison avec les étapes de préparation et de livraison.,draft,
commerce-merci,metadata__title,fr,Merci,draft,
commerce-merci,order_hero__body,fr,"Votre commande est en bonnes mains. Vous recevrez un email de confirmation dans la minute, puis un second au moment de l’envoi.",draft,
commerce-merci,order_hero__estimate,fr,Estimation de livraison : entre le {min} et le {max}.,draft,icu
commerce-merci,order_hero__kicker,fr,La maison vous remercie,draft,
commerce-merci,order_hero__number_label,fr,Numéro de commande,draft,
commerce-merci,order_hero__title,fr,"Merci, {first_name}.",draft,icu
commerce-merci,preparation__body_1,fr,"Posez les pots sur une serviette de lin. Allumez peu de lumière. Ouvrez le rituel comme on ouvre une lettre — sans hâte, sans intention de productivité.",draft,
