ticket_id,sprint,wave,type,title,assignee,points,depends_on,acceptance_criteria_summary
CHAT-001,S1,V5,feature,Migrations 0017-0020 (intent + canned tables),dev_lead,5,—,4 migrations applied staging + rollback tested
CHAT-002,S1,V5,feature,Migrations 0021-0024 (RAG + tools tables),dev_lead,5,CHAT-001,4 migrations + indexes HNSW
CHAT-003,S1,V5,feature,Migrations 0025-0027 (events + leads tables),dev_lead,3,CHAT-002,3 migrations + RGPD retention fields
CHAT-004,S1,V5,feature,Seed scripts intents+pairs+faq,dev_intermediate,3,CHAT-003,Import seeds OK in dev + staging
CHAT-005,S1,V5,feature,Intent detection cascade — regex layer,dev_intermediate,5,CHAT-003,Match 80%+ on regex examples
CHAT-006,S1,V5,feature,Intent detection — embedding layer,dev_intermediate,5,CHAT-005,Centroïdes + cosine similarity
CHAT-007,S1,V5,feature,Intent detection — LLM mini fallback,dev_intermediate,3,CHAT-006,Cost < 0.0001/call
CHAT-008,S1,V5,feature,detectIntent() unified entry + tests,dev_intermediate,5,CHAT-007,Accuracy 85%+
CHAT-009,S1,V5,feature,Retrieval router decide() function,dev_lead,5,CHAT-008,Routing matrix all intents
CHAT-010,S1,V5,feature,FAQ gateway tryFaqGateway(),dev_lead,3,CHAT-009,Cosine 0.85 threshold per entry
CHAT-011,S1,V5,feature,Tool get_product implementation,dev_intermediate,3,CHAT-009,Whitelist fields Zod validated
CHAT-012,S1,V5,feature,Tool get_delivery_info,dev_intermediate,3,CHAT-009,City aliases handled
CHAT-013,S1,V5,feature,Tool search_faq,dev_intermediate,3,CHAT-009,Returns ranked results
CHAT-014,S1,V5,feature,Canned engine resolveSalutations,dev_lead,5,CHAT-010,Page pattern matching + audience
CHAT-015,S1,V5,feature,Canned engine servePairByKey,dev_lead,5,CHAT-014,Persist 2 messages + events tx
CHAT-016,S1,V5,feature,Canned engine getEphemeralLLMNote,dev_lead,3,CHAT-015,Note injected if recent canned
CHAT-017,S1,V5,feature,Orchestrator streamReply() pipeline,dev_lead,8,CHAT-016,7 SSE events emitted
CHAT-018,S1,V5,feature,Error handling unified ChatError hierarchy,dev_intermediate,3,—,All error types localized FR/AR/AR-MA
CHAT-019,S1,V5,feature,Provider routing + breaker + failover,dev_lead,5,CHAT-017,3-fail cooldown logic
CHAT-020,S1,V5,test,Tests intent detection 150 examples,dev_intermediate,3,CHAT-008,Coverage matrix
CHAT-021,S2,V5,feature,API /api/chat/session POST,dev_intermediate,3,CHAT-017,Returns snapshot
CHAT-022,S2,V5,feature,API /api/chat/message SSE,dev_lead,5,CHAT-017,Streams 7 event types
CHAT-023,S2,V5,feature,API /api/chat/canned-pair/{key} POST,dev_intermediate,3,CHAT-015,Returns scriptedReply
CHAT-024,S2,V5,feature,API /api/chat/lead POST + webhook n8n,dev_intermediate,5,CHAT-017,HMAC + retries 3x
CHAT-025,S2,V5,feature,API /api/chat/feedback POST,dev_intermediate,2,CHAT-022,Idempotent vote
CHAT-026,S2,V5,feature,Frontend ChatLauncher + lazy panel,dev_intermediate,3,—,Pulse + badge unread
CHAT-027,S2,V5,feature,Frontend ChatPanel + state machine,dev_intermediate,5,CHAT-026,FSM 8 states implemented
CHAT-028,S2,V5,feature,Frontend Zustand store + persist v2 migration,dev_intermediate,5,CHAT-027,Shape complete + sanitization
CHAT-029,S2,V5,feature,Frontend useChatSSE hook (fetch + reader),dev_lead,5,CHAT-022,Parse 7 event types
CHAT-030,S2,V5,feature,Frontend useLocalStream hook canned,dev_intermediate,5,CHAT-028,wpm + jitter + reduced-motion
CHAT-031,S2,V5,feature,Frontend MessageBubble (user/assistant/canned),dev_intermediate,5,CHAT-027,LTR/RTL + sources popover + tool badge
CHAT-032,S2,V5,feature,Frontend SuggestionPills,dev_intermediate,2,CHAT-027,Pills clickable + accessibility
CHAT-033,S2,V5,feature,Frontend Composer + send,dev_intermediate,3,CHAT-027,Autosize + cmd+enter + a11y
CHAT-034,S2,V5,feature,Frontend LeadForm inline,dev_intermediate,5,CHAT-027,Zod validation + i18n
CHAT-035,S2,V5,feature,A11y audit + axe-core CI integration,designer+dev_intermediate,5,CHAT-031,WCAG AA pass
CHAT-036,S2,V5,feature,Admin dashboard layout + sidebar,dev_lead,3,—,12 nav links
CHAT-037,S2,V5,feature,Admin conversations list + detail,dev_lead,5,CHAT-022,Filters URL + drawer detail
CHAT-038,S2,V5,feature,Admin intents CRUD + examples,dev_lead,5,CHAT-008,Add example + recompute trigger
CHAT-039,S2,V5,feature,Admin suggestions CRUD + workflow,dev_lead,8,CHAT-015,Draft/review/published + preview
CHAT-040,S2,V5,feature,Admin FAQ CRUD,dev_intermediate,3,CHAT-010,Per-entry threshold edit
CHAT-041,S2,V5,feature,Admin tools sandbox + stats,dev_lead,5,CHAT-011,Try any tool with input JSON
CHAT-042,S2,V5,feature,Admin KB sources + sync trigger,dev_intermediate,3,CHAT-013,Manual sync button
CHAT-043,S2,V5,feature,Admin leads inbox + actions,dev_lead,5,CHAT-024,Status changes + bulk
CHAT-044,S2,V5,feature,Admin health dashboard real-time,dev_lead,5,CHAT-019,Service level + providers status
CHAT-045,S2,V5,feature,Cron kb-sync (daily),dev_intermediate,3,CHAT-042,Idempotent + dry-run
CHAT-046,S2,V5,feature,Cron intent-recompute (daily),dev_intermediate,2,CHAT-006,Background job
