id,vitest_unit,rtl_component,msw_integration,playwright_e2e,a11y,operator_scenario_focus
FN-LAY-02,N,N,N,O,O,"Naviguer entre onglets conserve les filtres dans l'URL"
FN-LAY-03,N,N,O,O,O,"Changer la période rafraîchit les données (anti AF-01)"
FN-LAY-04,N,N,O,O,O,"Défaut mobile rendu explicite; bascule device change les chiffres"
FN-LAY-05,N,N,O,O,O,"Filtrer par source change les chiffres"
FN-LAY-06,N,N,N,O,O,"Reset réapparait hors défaut et restaure le défaut"
FN-LAY-07,O,N,N,O,N,"Filtres persistés rechargés a la prochaine visite"
FN-LAY-08,O,N,N,N,N,"?period=foo&device=desktop garde device=desktop"
FN-LAY-09,O,N,N,N,N,"today/yesterday/7d/30d/90d/all/custom bornes + fuseau Maroc"
FN-LAY-10,O,N,N,N,N,"Montant MAD, %, durée, delta, bucket heure/jour/semaine"
FN-LAY-12,N,O,N,N,O,"KpiCard loading -> valeur -> delta direction"
FN-LAY-13,N,O,N,O,O,"Tri colonne, ligne vide, état loading"
FN-LAY-15,N,O,N,O,O,"EmptyState quand 0 donnée"
FN-LAY-16,N,O,N,O,O,"ErrorState + bouton retry sur 500"
FN-LAY-18,N,O,O,O,O,"Export CSV télécharge le bon contenu"
FN-FUN-02,N,N,O,O,O,"Changer filtre -> 3 blocs refetch et changent (AF-01)"
FN-FUN-03,N,O,N,O,O,"5 étapes, sessions decroissantes, progression"
FN-FUN-04,N,O,N,O,N,"Drop-off lisible et dans [0,1]"
FN-FUN-05,N,O,N,O,O,"Sankey top20 + Autres, truncated, session a étape max"
FN-FUN-06,N,O,N,O,O,"Table par page triée par views"
FN-FUN-07,O,N,N,N,N,"steps cumul strict, médianes, dropoff [0,1]"
FN-FUN-09,O,N,N,N,N,"sankey volumes = sessions view; top20"
FN-FUN-10,N,N,O,N,N,"view=table renvoie DataTable; auth 401"
FN-CTA-02,N,N,O,O,O,"Changer filtre -> KPI+table+top refetch (AF-01)"
FN-CTA-03,N,O,N,O,O,"Revenu en MAD correct (AF-02), pas ÷100"
FN-CTA-04,N,O,N,O,O,"Badge isDeleted; tri par achats"
FN-CTA-07,O,N,N,N,N,"totals = somme rows; conv/ctr null si denom 0"
FN-CTA-08,O,N,N,N,N,"last-click session puis fallback 7j; 1 crédit/achat"
FN-CTA-09,O,N,N,N,N,"value 199 MAD -> revenue 199 MAD (unité)"
FN-CTA-11,N,N,O,N,N,"GET /cta auth + shape"
FN-CHK-02,N,N,O,O,O,"Changer filtre -> 4 zones refetch (AF-01)"
FN-CHK-03,N,O,N,O,O,"KPI submissions=achats (libellé), serverFallback<=submissions"
FN-CHK-04,N,O,N,O,O,"Stepper 6 étapes; progression clampée/expliquée (AF-03)"
FN-CHK-05,N,O,N,O,O,"Histogramme 12 buckets + percentiles + sampleSize"
FN-CHK-06,N,O,N,O,O,"Top erreurs champ/code triées"
FN-CHK-08,O,N,N,N,N,"steps, abandons 60min, server fallback"
FN-CHK-10,O,N,N,N,N,"bot<1s exclu, outlier>30min cappé, P25/50/75/95"
FN-CHK-11,O,N,N,N,N,"abandon bord de fenêtre (F-CHK-03/04)"
FN-CHK-12,N,N,O,N,N,"GET /checkout auth + shape"
FN-INS-01,N,N,O,O,O,"Commuter vues internes overview/pages/components/sections/funnel"
FN-INS-02,N,N,O,O,O,"Changer window/env/locale refetch toutes les vues"
FN-INS-03,O,N,N,N,N,"URL <-> filters réactif"
FN-INS-04,O,N,N,N,N,"refetch sur changement d'URL"
FN-INS-06,N,N,O,O,O,"Drill-down page ouvre drawer avec data"
FN-INS-11,N,O,N,O,O,"Drawer focus-trap + Échap"
FN-INS-12,N,N,O,O,O,"Refresh: running->success; lock concurrent; firstRun"
FN-INS-13,N,N,O,O,N,"Settings interval valeurs autorisées + persistance"
FN-INS-14,N,N,O,O,N,"Export CSV par view colonnes + encodage"
FN-INS-15,N,N,N,O,N,"Export PNG non vide fr/ar/en"
FN-INS-18,O,N,N,N,N,"avgEvents=total/sessions; share[0,1]; bounce[0,1]"
