id,given,when,then,test_id
AC-SU-01,a Reel draft with a primary video and Media-Studio flag on,the operator opens step Visuel,the Sous-titres track is visible with a "Générer les sous-titres" action,MediaStudio.subtitles.test.tsx > flag on + reel => Sous-titres track present
AC-SU-02,the Sous-titres track in empty state and mode=mock,the operator clicks Générer les sous-titres,a role='subtitles' asset is created with provider='rule-based' costCents=0 and the CueEditor is populated with timed cues,generate-subtitles-for-draft.test.ts > mode=mock => rule-based SRT no provider call
AC-SU-03,mode=mock (or live refine=false),the subtitles are generated or saved,no HTTP request is made to any provider host,test-plan-msw.md default-path no-network proof (request:start spy = [])
AC-SU-04,the draft script has no hook and no scenes,the operator generates subtitles,a transient empty result is returned (id='' cueCount=0) nothing is persisted and a "Aucun texte à sous-titrer" hint is shown,generate-subtitles-for-draft.test.ts > empty script => transient nothing persisted
AC-SU-05,a generated subtitles asset,the operator edits a cue and clicks Enregistrer,the PUT persists re-indexed canonical SRT and meta.srt is byte-identical to the .srt asset,save-subtitles-for-draft.test.ts > persists meta.srt byte-identical to the .srt asset bytes
AC-SU-06,two cues where cue 2 starts before cue 1 ends,the operator attempts to save,the server returns 400 invalid_input with details.cueErrors listing the overlap and the save is blocked,save-subtitles.route.test.ts > 400 invalid_input with details.cueErrors on overlapping cues
AC-SU-07,a cue line longer than 42 characters,the operator attempts to save,the server returns 400 invalid_input with a line_length cueError including the char count,save-subtitles-for-draft.test.ts > rejects over-long line (>42)
AC-SU-08,refine=true in live mode with no IA key configured,the operator generates subtitles,the request fails with 409 invalid_state and no asset is written and no provider call is made,generate-subtitles.route.test.ts > 409 invalid_state when cookie=live refine=true no key (no provider call)
AC-SU-09,refine=true with a valid key and the LLM returns 5xx,the operator generates subtitles,the service returns 502 upstream_failed and does not write a fake asset,generate-subtitles-for-draft.test.ts > mode=live + refine + key + 5xx => upstream_failed
AC-SU-10,a draft whose format is not Reel/Story,a subtitles generation is attempted,the service returns 409 invalid_state Sous-titres réservés aux formats vidéo,generate-subtitles-for-draft.test.ts > non-video draft => HttpError invalid_state
AC-SU-11,an SRT round-trip,serializeSrt and parseSrt are applied,parseTimecode(formatTimecode(ms))===ms and serializeSrt(parseSrt(x))===x for canonical x,srt.test.ts > formatTimecode/parseTimecode round-trip;> round-trip idempotent
AC-SU-12,the operator chooses a burn-in style (position/size/box),the style changes,the SubtitleOverlayPreview reflects the style live and the style is persisted in meta.style,SubtitleOverlayPreview.test.tsx > renders the first cue text positioned per style
AC-SU-13,a saved subtitles asset on the draft,the operator opens the publish confirm dialog,the track summary shows a Sous-titres row and publishing runs in dry-run,PublishActionGroup.subtitles.test.tsx > shows sous-titres in track summary when present
AC-SU-14,the CueEditor with an invalid cue,the operator activates the error summary item,focus moves to the offending cue field for correction,CueEditor.test.tsx > error summary item moves focus to the offending cue field
AC-SU-15,the Media-Studio feature flag is off,the operator opens step Visuel on a Reel draft,no Sous-titres track renders and the legacy MediaStudio behaves exactly as before,MediaStudio.subtitles.test.tsx > flag off => no Sous-titres track (DOM unchanged non-regression)
AC-SU-16,the generateSubtitlesNode is refactored to use the SRT lib,the AI-Engine graph runs the subtitles node,the node returns the same graph channels and the existing node tests pass unchanged,generate-subtitles.test.ts (existing green unchanged)
AC-SU-17,no draft is selected (empty draftId),the operator clicks Générer les sous-titres,a toast Sélectionnez d'abord une variante is shown and no request is sent,"SubtitlesTrack.test.tsx > guards empty draftId with a toast, no fetch"
AC-SU-18,a saved subtitles asset,the Compose service runs for the draft,it reads meta.srt into state.subtitles and uses meta.style for the burn-in (compose burns the script onto the video),compose-subtitles-contract.test.ts > meta.srt equals serializeSrt(cues)
AC-SU-19,an existing edited subtitles set,the operator clicks Régénérer,a confirmation is required before the generated cues replace the edits,SubtitlesTrack.test.tsx > Régénérer asks for confirmation when cues are edited
AC-SU-20,cues:[] (all cues removed),the operator saves,the subtitles binding and .srt asset are cleared idempotently,save-subtitles-for-draft.test.ts > cues:[] clears the subtitles binding (idempotent)
