id_action,titre,description,dependances,effort,priorite,dod_mesurable,audit_lie,t_ref,statut
ACT-ARC-004,"Architecture de test honnête : MSW réseau global + exit-code = vérité","Monter un setupServer MSW global dans vitest.setup.ts avec onUnhandledRequest:'error' (tout réseau passe par un handler fidèle) ; remplacer les vi.spyOn(fetch)/vi.mock de modules provider par des handlers réseau ; arrêter de mocker globalement next/navigation au point de neutraliser les assertions de navigation ; documenter la politique 'tout test d'un parcours opérateur asserte un effet backend, pas seulement le rendu UI' ; faire échouer la CI sur le code de sortie du process (pas la ligne de résumé) ; étendre coverage.include à src/lib/ai-engine/**. Décision d'architecture, pas d'implémentation provider.",,M,P0,"MOCK : pnpm vitest run échoue si un test émet une requête réseau sans handler MSW (onUnhandledRequest:'error' prouvé par un test négatif) ; le rapport vert ne survit pas à une unhandled rejection (process exit code = 0 ⇔ 0 failed, vérifié en réintroduisant la promesse pendante de video-generation.test puis en constatant exit 1). LIVE : le même runner, lancé avec MODE=live et credentials de test, route le réseau via les mêmes handlers ou les vrais services sans fallback silencieux ; un parcours create asserte une row generation_run et un asset servi 200 (pas seulement un rendu). Coverage AI-Engine visible (>0% sur les 16 nœuds).","BUG-041;BUG-046;BUG-011;BUG-027;BUG-047;BUG-035;MISS-031",T-006;T-010;T-001;T-002,a_faire
ACT-ARC-005,"Contract-tests fournisseurs fidèles + détecteur de divergence mock/live","Concevoir des contract-tests calqués sur les specs RÉELLES : OpenAI (images/chat, succès LLM — pas seulement le rejet), Higgsfield platform.higgsfield.ai async (POST /v1/{text2image|image2video}/<model> -> GET /v1/requests/{id}/status, auth Key KEY_ID:KEY_SECRET), Postiz /api/public/v1/{integrations,posts,upload}. Ajouter un détecteur de divergence : schéma zod partagé comparant la forme des réponses mock vs live ; tout endpoint synchrone faux (HF /v1/images|videos/generate) fait ROUGE le contract-test. Ajouter une parité dry_run↔PostizAdapter sur le même contrat (permalien shape, statuts, codes d'erreur).",ACT-ARC-004,L,P0,"MOCK : un contract-test passe sur les handlers async HF fidèles ET échoue (rouge) si le code appelle un endpoint synchrone HF ou si un nœud LLM n'exerce que le fallback (cas succès LLM requis) ; le test de parité dry_run↔Postiz échoue si les permaliens/statuts divergent. LIVE (sous-DoD découplé si credential manquant) : le même schéma zod validé contre une vraie réponse OpenAI images et une vraie réponse Postiz /integrations (probe authentifié 200) ; divergence de forme mock vs live => CI rouge.","BUG-018;BUG-045;MISS-008;MISS-009;BUG-037;BUG-027",T-006,a_faire
ACT-ARC-013,"Résolution de credentials unifiée resolveProviderCredential (A, B, picker)","Concevoir une source unique resolveProviderCredential(provider) consommée par l'AI-Engine, le create-flow ET la découverte de modèles ; neutraliser correctement la chaîne vide (pas de ?? qui laisse passer une clé vide) ; mapper OPENAI_API_KEY déjà présent dans le process (débloque OpenAI image+texte live gratuitement) ; exiger un credential Higgsfield complet KEY_ID:KEY_SECRET avec gating clair sinon ; ajouter un healthcheck qui échoue explicitement quand un credential live est absent/incomplet (au lieu de mocker un succès).",ACT-ARC-004,M,P0,"MOCK : un contract-test échoue si le picker (discovery) et le générateur lisent des variables d'env différentes pour le même provider ; le healthcheck signale rouge un credential live manquant. LIVE : depuis le parcours create en mode live, générer une idée/visuel OpenAI produit un generation_run provider=openai status=succeeded en utilisant la MÊME clé que celle résolue par /models ; Higgsfield sans KEY_SECRET => erreur invalid_state explicite (jamais un faux succès).","BUG-011;MISS-007;BUG-043",T-005,a_faire
ACT-ARC-008,"Alignement picker↔générateur : badges Live honnêtes (même source que le moteur)","Concevoir l'alignement du picker de modèles sur la générabilité réelle : materialiseDiscoveredModel propage la vraie source (fallback/cache/live) au lieu de forcer 'live' ; un libellé distinct pour 'cache' vs 'live confirmé' ; ne badger 'Live' qu'un modèle dont la clé est effectivement lue par le chemin de génération (même résolution que ACT-ARC-013) ET dont le provider est joignable ; liste blanche de capacités par rôle (exclure whisper-1/STT, sora/video, davinci/babbage/instruct, omni-moderation, embedding de role=chat) ; valider l'id de modèle reçu contre le registre (désactiver allowCustom non validé) ; court-circuiter le fetch vers le host Higgsfield mort à chaque GET.",ACT-ARC-013,M,P0,"MOCK : GET /api/admin/content-studio/models?role=chat ne renvoie plus whisper-1/sora/davinci ; ?role=image|video ne renvoie source:'live' QUE si discovery=='live' (un fallback HF apparaît source:'fallback', pas 'live') — vérifié par contract-test. LIVE : tout modèle badgé 'Live' dans le picker, sélectionné depuis /create, est réellement généré (pas d'invalid_state) ; un modèle non générable n'est jamais badgé 'Live' (probe authentifié sur /models comparé à un essai de génération).","BUG-016;BUG-019;BUG-024;BUG-043;MISS-019;MISS-007",T-202,a_faire
ACT-ARC-001,"Contrat GenerationResult complet + contrat d'erreur honnête du graphe","Concevoir l'extension de l'interface GenerationResult et de buildResultFromState (orchestrator.ts) pour propager voiceover, music, subtitles, composition, exports, thumbnails (avec assetId réels), aujourd'hui produits dans le finalState puis jetés AVANT le bridge. Imposer le contrat d'erreur : tout nœud média pousse ses échecs/dégradations dans state.errors ; le quality-gate ne peut pas certifier 'completed' sur média absent ; un asset dégradé est marqué 'degraded' avec raison. Pré-requis structurel de toute convergence.",,M,P1,"MOCK : un run AI-Engine (format reel) expose dans GenerationResult les clés composition/exports/thumbnails non vides (assert sur le DTO) ; un nœud média en échec produit state.errors non vide et le job N'EST PAS 'completed' (test négatif : média absent => statut degraded/failed, jamais completed quality>0). LIVE (dépend des providers réparés) : le même run en mode live propage les mêmes clés ; vérifié via /api/admin/ai-engine/generate puis lecture du résultat.","BUG-004;MISS-005",T-104,a_faire
ACT-ARC-002,"Pont bidirectionnel idempotent : persistance des assets composés A→B","Concevoir l'extension du bridge content-studio-bridge.ts pour persister composition/exports[*]/thumbnails en table media (mapping assetId AI-Engine -> row media réelle) et ne JAMAIS créer de draft sans média approuvable ; rendre la matérialisation idempotente (clé déterministe par runId : un même résultat matérialisé deux fois => un seul ensemble de drafts/médias) ; définir la couture A→B persistée par le worker pour les capacités async (compose).",ACT-ARC-001,M,P1,"MOCK : après un run AI-Engine, le draft créé possède un asset média réel (row media, fichier servi 200) et la composition/exports apparaissent dans la bibliothèque ; matérialiser deux fois le même runId => un seul draft (assert count). LIVE : le même parcours produit un draft publiable avec média réel (pas de draft sans média) ; vérifié sur la bibliothèque create.","BUG-034",T-104,a_faire
ACT-ARC-009,"Stockage média unifié & déterministe : getStorage() + MEDIA_DIR absolu + isolation test","Concevoir l'unification : compose/transcode passent par l'abstraction getStorage().put() (clé 'ai-engine/...') au lieu d'écrire fs en dur via join(process.cwd(),'../../.media-storage/ai-engine') ; MEDIA_DIR résolu via racine absolue injectée (indépendant du cwd du worker/cron) ; isolation du stockage de test (tmpdir, jamais le .media-storage prod) ; tests d'intégration compose/transcode SANS mock total de sharp+ffmpeg+fs (assertion octets réels) ; purge des ~977 stubs jpg de 10-14 octets du stockage prod.",,M,P1,"MOCK : pnpm vitest run n'écrit AUCUN fichier dans .media-storage/ai-engine runtime (vérifié : aucun composed-*.jpg/export-*.jpg daté du run) ; un test d'intégration compose produit un MP4/JPEG dont ffprobe/file confirme codec et octets valides (pas de stub 10-14o). LIVE : un nœud média lancé depuis un cwd != apps/web écrit/serve au bon emplacement (test cwd modifié) ; find .media-storage/ai-engine -size -100c | wc -l = 0 après purge.","BUG-031;BUG-035;BUG-062",T-306;T-411;T-307,a_faire
ACT-ARC-006,"File de jobs async unique (worker resumable) : polling + scheduler sous garde-fou","Concevoir une seule infra de jobs mutualisée entre le polling provider (Higgsfield) et le scheduler de publication runScheduledPublishJobs : worker resumable (reprise depuis l'état persisté), idempotence + locking sur ticks chevauchants, backoff borné + timeout global, retry borné des jobs failed retryables, heartbeat social_publish_event ; déclencheur self-hosted /api/cron/tick (systemd, CRON_SECRET) — pas vercel.json. L'activation LIVE du scheduler est GARDÉE par l'idempotence (clé indépendante de scheduledAt) + la sync content_post<->social_publish_job (gate dur).",ACT-ARC-009,L,P1,"MOCK : avec scheduler actif, publish-now sur un post ayant déjà un job programmé => UN SEUL envoi ; reschedule deux fois => UN SEUL social_publish_job queued ; un tick chevauchant ne double-traite pas (lock prouvé) ; chaque tick émet un social_publish_event. LIVE/STAGING (dry_run d'abord) : un dry-run prouvé avant tout flip SOCIAL_PUBLISHING_MODE=live ; un post annulé n'est jamais publié (probe avec scheduler actif). Activation live interdite tant que idempotence+sync non satisfaites.","BUG-037",T-103b;T-204;T-301;T-302,a_faire
ACT-ARC-007,"Architecture Higgsfield async submit+poll + routage par identité + contrat Postiz live","Concevoir la réécriture des appels Higgsfield sur le modèle async réel (submit /v1/{text2image|image2video}/<model> + poll /v1/requests/{id}/status, statuts queued|processing|completed|failed) exécuté dans la file de jobs (ACT-ARC-006), jamais dans le handler HTTP ; router par provider==='higgsfield' (registre/capability) au lieu de startsWith('hf-') pour couvrir les ids live-découverts (veo3_1, kling3_0) ; aligner image-generation sur le même contrat async que la vidéo ; définir le contrat live Postiz (upload multipart + POST /posts + extraction releaseURL/permalink) pour exercice end-to-end.",ACT-ARC-006,L,P1,"MOCK : un contract-test (ACT-ARC-005) échoue si un endpoint synchrone HF est appelé ; un id vidéo live-découvert (veo3_1) sélectionné dans le picker est routé sans invalid_state 'aucun modèle vidéo live disponible' ; le flux async (submit+poll) passe via MSW fidèle. LIVE (sous-DoD découplé tant que KEY_SECRET absent) : une fois le credential complet fourni, générer 1 image + 1 vidéo HF de bout en bout ; chaîne Postiz live exercée une fois (média HTTPS public -> upload -> draft) avec releaseURL réel parsé.","MISS-009;MISS-022;BUG-037",T-103;T-006,a_faire
ACT-ARC-003,"Façade invokeEngine : frontière B→A unique (convergence amorcée)","Concevoir la façade invokeEngine(brief,{capabilities,mode,flags}) -> GenerationResult comme seul point d'entrée de génération appelé par le create-flow et les routes /api/admin/content-studio/* ; introduite inactive par défaut (B appelle encore son chemin jusqu'à bascule) ; accepte un sous-ensemble de capacités pour ne pas imposer le poids complet de A ; retourne un résultat partiel + jobId pour les capacités longues (matérialisation complétée par le worker). Premier pas concret de retrait de la duplication B (texte/image) vers A.",ACT-ARC-001;ACT-ARC-002,L,P2,"MOCK : invokeEngine appelé par le create-flow (flag de la capacité 'text' à on) produit le MÊME GenerationResult que le nœud A (script/caption/variants riches), pas le fallback figé de B ; le smoke opérateur passe avec la capacité routée vers A. LIVE : même parcours en mode live produit un generation_run via A (provider=openai), prouvant que B délègue à A et non plus au générateur dupliqué ; rollback trivial en remettant le flag à off (vérifié).","BUG-015;BUG-026",T-901,a_faire
