term_fr,term_ar,term_en,context,do_not_translate,notes
FemiGlow,FemiGlow,FemiGlow,Nom de marque (brand name),true,Toujours conservé tel quel — aucune translittération
Maison,Maison,Maison,"Signature marque (ex: ""Maison FemiGlow"")",true,Mot français signature gardé en AR et EN — évoque luxe sobre français
Maison FemiGlow,Maison FemiGlow,Maison FemiGlow,Nom long de la marque,true,Bloc nominal entier préservé
Le kit,الكيت,The kit,Produit principal (kit de soin ongles),false,En AR « الكيت » est l'emprunt accepté (préféré à « المجموعة »)
Le rituel,الطقوس,The ritual,"Concept-clé de la marque (cf. ""rituel ongles"")",false,"En AR « الطقوس » est plus éditorial que « الروتين » (à bannir)"
Le rituel ongles,طقوس الأظافر,The nail ritual,Slogan / concept descriptif,false,Forme nominale préservée structure FR→AR→EN
Les ongles,الأظافر,Nails,Anatomie cible du produit,false,Standard
Le vernis,طلاء الأظافر,Nail polish,Produit (vernis à ongles),false,"Forme longue en AR (« طلاء الأظافر ») préférée à « ورنيش » (transliteration)"
La base,القاعدة,Base coat,Première couche du rituel,false,Terme métier
Le top coat,الطبقة العلوية,Top coat,Couche de finition,false,"En AR forme native ; « توب كوت » à éviter sauf publicité"
La pose,اللمسة / الطلاء,Application,Action d'appliquer le vernis,false,"« اللمسة » (la touche) plus délicat pour copy marketing ; « الطلاء » plus technique"
Le soin,العناية,Care,Catégorie produit / philosophie marque,false,"En AR « العناية » couvre care/soin globalement"
La manucure,العناية بالأظافر,Manicure,Service complet,false,"En AR forme descriptive ; « مانيكور » emprunt accepté en contexte salon"
Le geste,اللمسة / الحركة,Gesture,Étape rituel (mot-clé éditorial),false,"« اللمسة » pour copy marketing (sensoriel) ; « الحركة » plus neutre"
La couleur,اللون,Color,Attribut produit,false,Standard
La teinte,اللون / الدرجة,Shade,Nuance précise,false,"En FR « teinte » est plus précis que « couleur » ; en AR distinction moins forte"
Ivoire,عاجي,Ivory,Nom de couleur FemiGlow,false,Traduction directe
Sable,رملي,Sand,Nom de couleur FemiGlow,false,Traduction directe
Café,بنّي قهوة,Café,Nom de couleur FemiGlow,false,"Café conservé en EN (mot français accepté) ; AR avec qualifiant"
Nude,بشري,Nude,Nom de couleur FemiGlow,false,"En FR mot anglais accepté ; en AR « بشري » (couleur peau)"
Nacre,لؤلؤي,Pearl,Nom de couleur FemiGlow,false,Traduction poétique
Champagne,شامبانيا,Champagne,Nom de couleur FemiGlow,false,"Mot international préservé ; en AR translittération « شامبانيا »"
Noisette,بندقي,Hazelnut,Nom de couleur FemiGlow,false,Traduction directe
La livraison,التوصيل,Shipping,Logistique commande,false,Standard
La livraison à domicile,التوصيل إلى المنزل,Home delivery,Service livraison,false,Forme descriptive complète
Le paiement à la livraison,الدفع عند الاستلام,Cash on delivery,Méthode paiement Maroc,false,"Très commun au Maroc — terme métier fixé"
CMI,CMI,CMI,Centre Monétique Interbancaire (Maroc),true,Acronyme institutionnel préservé
Le paiement sécurisé,الدفع الآمن,Secure payment,Argument confiance,false,Standard
La carte bancaire,البطاقة البنكية,Credit card,Méthode paiement,false,Standard
Le panier,السلّة,Cart,UI commerce,false,Standard
La commande,الطلب,Order,UI commerce,false,Standard
Le numéro de commande,رقم الطلب,Order number,UI commerce,false,Standard
Le total,المجموع,Total,UI commerce,false,Standard
Le sous-total,المجموع الفرعي,Subtotal,UI commerce,false,Standard
Les frais de port,تكاليف التوصيل,Shipping fees,UI commerce,false,Standard
Le code promo,رمز الخصم,Promo code,UI commerce,false,Standard
Madame,سيدتي,Madam,"Adresse polie (rare, légal/CRM)",false,"En EN « Ma'am » sonne strange — préférer aucune salutation genrée"
Bonjour,السلام عليكم,Hello,Greeting standard,false,"En AR « السلام عليكم » est universel ; « مرحبا » plus chaleureux pour newsletter"
Merci,شكرا,Thank you,Politesse de base,false,Standard
À bientôt,إلى اللقاء,See you soon,Au revoir éditorial,false,"En AR « بسلامة » darija plus chaud (newsletter uniquement)"
Continuer,متابعة,Continue,CTA / wizard,false,Standard
Retour,رجوع,Back,Navigation,false,Standard
Annuler,إلغاء,Cancel,Action,false,Standard
Découvrir,اكتشفي,Discover,"CTA marketing (verbe féminin AR)",false,"En AR forme féminine singulière obligatoire (FemiGlow s'adresse aux femmes)"
Composer,أنشئي,Compose,"CTA personnalisation (verbe féminin AR)",false,En AR forme féminine singulière obligatoire
Recevoir,استلمي,Receive,Verbe action,false,En AR forme féminine singulière
Choisir,اختاري,Choose,CTA configuration,false,En AR forme féminine singulière
En savoir plus,المزيد من المعلومات,Learn more,CTA secondaire,false,Standard
Disponible,متوفّر,Available,Stock UI,false,Standard
Indisponible,غير متوفّر,Unavailable,Stock UI,false,Standard
