id,title,layer,depends_on,files,test_ids,verifies,status
MP-SU-00,Confirm architecture prereqs (role=subtitles/kind enum value/meta_json/upsertBundleAssets/DTO subtitles),architecture,MP-AR-001;MP-AR-002;MP-AR-003;MP-AR-005,docs/plan-media-production-2026-05-30/00_global/*,MP-AR-* suite;0064 migration verification;tsc --noEmit,D1;D2 available to subtitles;media_kind subtitles;meta_json column,todo
MP-SU-01,Create SRT lib + refactor generateSubtitlesNode to thin wrapper,node,MP-SU-00,apps/web/src/lib/ai-engine/subtitles/srt.ts;apps/web/src/lib/ai-engine/nodes/generate-subtitles.ts,srt.test.ts > formatTimecode/parseTimecode round-trip;> serializeSrt canonical LF blocks;> parseSrt tolerates CRLF round-trips;> parseScriptToCues wraps <=42/<=2;> parseScriptToCues empty => [];> validateCues errors overlap/order/duration/line_length/lines/empty;> validateCues warnings cps/min_duration/min_gap/beyond_video,D5 reuse;SRT correctness;node behavior unchanged,todo
MP-SU-02,Add generateSubtitlesForDraftCore (pure default; optional refine),node,MP-SU-01,apps/web/src/lib/ai-engine/subtitles/generate-subtitles-core.ts,generate-subtitles-core.test.ts > refine=false rule-based cost 0 no fetch;> refine=true+key one LLM call text-only timecodes unchanged;> refine=true 5xx throw,D5;default path network-free,todo
MP-SU-06,Add subtitlesGenerationSchema + subtitlesSaveSchema (zod strict),schema,MP-SU-00,apps/web/src/lib/content-studio/schemas.ts,subtitles-schema.test.ts > generation rejects unknown keys;> defaults refine false;> save rejects >2 lines;> save rejects bad hex color;> save accepts empty cues;> save rejects >200 cues,input validation 400,todo
MP-SU-03,Implement generateSubtitlesForDraft + saveSubtitlesForDraft service (mode-aware),service,MP-SU-02;MP-SU-06,apps/web/src/lib/content-studio/service.ts,generate-subtitles-for-draft.test.ts > mode=mock rule-based no provider call;> empty script transient nothing persisted;> persists role=subtitles meta.srt==bytes;> live+refine+no key invalid_state 409;> non-video invalid_state;save-subtitles-for-draft.test.ts > rejects overlap cueErrors;> rejects >42 line;> valid re-indexed canonical persisted;> cues:[] clears binding;> replaces by role not primary video,D3 mode-awareness;E2;E5;E7;E9;server-authoritative validation,todo
MP-SU-04,Create POST generate-subtitles route handler,route,MP-SU-03,apps/web/src/app/api/admin/content-studio/drafts/[id]/generate-subtitles/route.ts,generate-subtitles.route.test.ts > 200 mock;> 400 malformed body;> 409 live refine no key no provider call;> reads cs_generation_mode cookie;> 401 not admin,route mirrors generate-visual;auth;cookie mode,todo
MP-SU-05,Create PUT subtitles (save) route handler,route,MP-SU-03,apps/web/src/app/api/admin/content-studio/drafts/[id]/subtitles/route.ts,save-subtitles.route.test.ts > 200 valid save;> 400 cueErrors on overlap;> 200 cleared when cues:[];> 401 not admin,save route;server validation;cueErrors envelope,todo
MP-SU-08,Build CueEditor + TimecodeInput (a11y timed-lines editor),frontend,MP-SU-00;MP-SU-01,apps/web/src/components/admin/content-studio-v2/create/tracks/CueEditor.tsx,CueEditor.test.tsx > row per cue;> TimecodeInput round-trip;> invalid timecode aria-invalid + V1;> over-42 counter + line_length;> add/delete/split/merge produce Cue[];> Alt+ArrowUp nudges -100ms;> error summary focuses cue field,a11y editor;edit-validation UX;reuse srt lib,todo
MP-SU-10,Build SubtitleStyleControls (burn-in style),frontend,MP-SU-00,apps/web/src/components/admin/content-studio-v2/create/tracks/SubtitleStyleControls.tsx,SubtitleStyleControls.test.tsx > emits BurnInStyle on change;> position radiogroup arrow-operable;> low contrast non-blocking warning,burn-in style contract;a11y,todo
MP-SU-11,Build SubtitleOverlayPreview (styled cue over video frame),frontend,MP-SU-10,apps/web/src/components/admin/content-studio-v2/create/tracks/SubtitleOverlayPreview.tsx,SubtitleOverlayPreview.test.tsx > renders first cue positioned per style;> role=img descriptive aria-label,preview overlay;a11y,todo
MP-SU-07,Build SubtitlesTrack (states + fetch generate/save),frontend,MP-SU-04;MP-SU-05;MP-SU-08;MP-SU-10;MP-SU-11,apps/web/src/components/admin/content-studio-v2/create/tracks/SubtitlesTrack.tsx,SubtitlesTrack.test.tsx > empty shows Générer;> POST generate populates CueEditor;> guards empty draftId no fetch;> Enregistrer disabled invalid enabled dirty+valid;> PUT save calls onSaved + toast;> server cueErrors mapped onto rows;> surfaces 409 refine-no-key inline,D4 UI;optimistic editing;E1;E5;E7,todo
MP-SU-12,Wire SubtitlesTrack into MediaStudio tracks panel (flagged),frontend,MP-SU-07,apps/web/src/components/admin/content-studio-v2/create/MediaStudio.tsx,MediaStudio.subtitles.test.tsx > flag off no track;> flag on reel track present;> image format no track,D4;D6 feature flag;non-regression,todo
MP-SU-09,Pin compose consumer contract + surface in publish summary,frontend,MP-SU-12,apps/web/src/components/admin/content-studio-v2/create/PublishActionGroup.tsx;docs/plan-media-production-2026-05-30/02_compose/*,PublishActionGroup.subtitles.test.tsx > shows sous-titres in track summary;compose-subtitles-contract.test.ts > meta.srt equals serializeSrt(cues),D4 flow into publish;consumer relationship with compose MP-CO-*,todo
