critere,categorie,poids,next-intl,next-i18next,paraglide-js,react-i18next,lingui,formatjs,maison,note_explication
Support RSC natif App Router,Architecture,5,5,2,5,3,4,4,5,"next-intl: built for. paraglide: codegen RSC OK. lingui: macros RSC partiel."
Type-safety messages TypeScript,Architecture,5,4,3,5,3,4,3,5,"paraglide+maison generate ou define TS natif. next-intl via module augmentation."
Routing locale-aware (Link helper),Architecture,4,5,3,4,1,2,1,0,"next-intl: middleware + Link helper natifs. next-i18next: getStaticProps locale. maison: 0."
Server Actions support,Architecture,3,5,3,4,2,3,2,5,"next-intl: t() server actions. paraglide: import natif. maison: TS direct."
cookies/headers access RSC,Architecture,3,5,4,5,4,4,4,5,"Tous OK ou contournable. next-intl par défaut."
Hot reload dev,Architecture,3,5,5,5,5,4,4,5,"Tous OK via Next HMR."
Codegen TypeScript,Architecture,4,4,2,5,2,3,2,5,"paraglide+maison codegen. next-intl: module aug. lingui: macros."
Markdown support inline,Architecture,2,3,3,3,3,3,3,2,"react-markdown ou rich text components."
ICU MessageFormat,Format,4,5,5,5,5,5,5,1,"Tous ICU sauf maison qui n'a que interpolation simple."
Interpolation simple {name},Format,5,5,5,5,5,5,5,5,"Universel."
Rich text JSX inline (<b>{name}</b>),Format,3,5,5,3,5,5,5,2,"next-intl/react-i18next/lingui/formatjs: Trans component."
Numbered placeholders {0},Format,2,3,5,5,5,4,5,2,"i18next family: indexed. ICU = oui."
Plain JSON éditable,Format,3,5,5,5,5,4,5,5,"Tous JSON (ou TS pour maison)."
Intl.PluralRules natif,Pluralization,4,5,5,5,5,5,5,1,"next-intl wrap Intl. maison: à coder."
Intl.DateTimeFormat,Pluralization,5,5,5,5,5,5,5,3,"next-intl: useFormatter. maison: appel direct."
Intl.NumberFormat (currency),Pluralization,5,5,5,5,5,5,5,3,"Idem date."
Intl.RelativeTimeFormat,Pluralization,3,5,5,4,5,4,5,2,"next-intl: useFormatter.relativeTime. moins de couverture maison."
hreflang alternate auto,SEO,5,5,4,3,1,2,1,0,"next-intl helper getPathname per locale. maison: tout à coder."
Sitemap multi-locale,SEO,3,5,4,3,1,2,1,0,"next-intl helpers ou manuel."
generateMetadata localisé,SEO,5,5,4,4,3,4,3,4,"next-intl: getTranslations server. tous possibles avec effort."
Canonical URL per locale,SEO,3,5,4,4,3,3,3,2,"Helpers next-intl."
Bundle size gzipped,Performance,4,4,2,5,3,4,2,5,"paraglide ~1kb. next-intl ~5kb. next-i18next ~13kb. maison 0."
Code splitting par locale,Performance,4,5,4,5,3,3,3,3,"next-intl: dynamic import OK. paraglide: tree shake."
Build time,Performance,2,4,3,3,4,3,3,5,"Codegen rapides. Lingui macros plus lents."
Edge runtime compatible,Performance,3,5,3,4,3,3,3,5,"next-intl middleware edge OK."
Lazy loading messages,Performance,3,5,4,5,4,3,3,4,"next-intl: load by locale."
GitHub stars (>1k),Écosystème,2,4,5,3,5,4,5,0,"next-intl 4.5k. next-i18next 8.5k. paraglide 2k."
Documentation qualité,Écosystème,4,5,5,3,5,4,4,0,"next-intl doc impeccable. paraglide en évolution."
Communauté Discord/Slack,Écosystème,2,4,5,3,5,3,4,0,"next-intl Discord actif."
Compatible Crowdin/Lokalise,Écosystème,3,4,5,4,5,5,4,0,"JSON standard = compatible tous TMS."
Backward compat versions,Écosystème,2,3,5,2,5,4,5,5,"next-intl v3 breaking changes en cours."
RTL support helpers,Special,3,4,4,3,3,3,3,2,"Helpers minimaux. Tailwind logical = complément."
Pseudo-localization,Special,2,3,4,3,4,3,4,1,"next-intl: build option. lingui: extract pseudo."
ESLint plugin disponible,Special,3,4,5,3,5,5,4,0,"@formatjs/eslint, eslint-plugin-i18next."
Migration tools (CLI),Special,2,3,4,3,4,4,3,0,"Lingui extract. next-intl pas natif mais JSON standard."
TOTAL_PONDERE,,,,88,65,75,60,70,68,55
