ID_Tache,Nom_Tache,Feature,Phase,Effort_Heures,Depend_De,Fichiers_Concernes,Priorite,Statut
T1.1.1,Ajouter updatedAt aux tables Knowledge,KE,Phase 1,0.25,,schema-ai-engine.ts,Critique,A_Faire
T1.1.2,Implementer updateCollection(),KE,Phase 1,0.75,T1.1.1,knowledge/collections.ts,Critique,A_Faire
T1.1.3,Implementer getCollectionById(),KE,Phase 1,0.25,T1.1.1,knowledge/collections.ts,Haute,A_Faire
T1.1.4,Creer et implementer updateDocument(),KE,Phase 1,0.75,T1.1.1,knowledge/documents.ts (nouveau),Critique,A_Faire
T1.1.5,Implementer getDocumentById(),KE,Phase 1,0.25,T1.1.1,knowledge/documents.ts,Haute,A_Faire
T1.1.6,Refactorer reindexDocument(),KE,Phase 1,0.75,T1.1.4,knowledge/ingestion.ts,Critique,A_Faire
T1.2.1,Ajouter encryptedApiKey et apiKeySetAt au schema,AKM,Phase 1,0.33,,schema-ai-engine.ts,Critique,A_Faire
T1.2.2,Creer service chiffrement AES-256-GCM,AKM,Phase 1,1.0,,security/encryption.ts (nouveau),Critique,A_Faire
T1.2.3,Implementer maskApiKey(),AKM,Phase 1,0.25,T1.2.2,security/encryption.ts,Haute,A_Faire
T1.2.4,Creer service CRUD api-key-service,AKM,Phase 1,1.0,"T1.2.1,T1.2.2",providers/api-key-service.ts (nouveau),Critique,A_Faire
T1.2.5,Implementer testApiKey() par provider,AKM,Phase 1,1.0,T1.2.4,providers/api-key-service.ts,Haute,A_Faire
T1.2.6,Modifier getEngineConfig() pour priorite DB,AKM,Phase 1,0.75,"T1.2.2,T1.2.4",config/engine-config.ts,Critique,A_Faire
T1.2.7,Creer service audit,AKM,Phase 1,0.25,,security/audit.ts (nouveau),Moyenne,A_Faire
T1.3.1,Generer et appliquer migration Drizzle,Commune,Phase 1,0.5,"T1.1.1,T1.2.1",drizzle/migrations/,Critique,A_Faire
T2.1.1,GET /knowledge/[slug],KE,Phase 2,0.5,"T1.1.2,T1.1.3",knowledge/[slug]/route.ts,Haute,A_Faire
T2.1.2,PUT /knowledge/[slug],KE,Phase 2,0.75,"T1.1.2,T1.1.3",knowledge/[slug]/route.ts,Critique,A_Faire
T2.1.3,GET /knowledge/[slug]/documents/[docId],KE,Phase 2,0.5,"T1.1.4,T1.1.5",knowledge/[slug]/documents/[docId]/route.ts,Haute,A_Faire
T2.1.4,PUT /knowledge/[slug]/documents/[docId],KE,Phase 2,0.75,"T1.1.4,T1.1.5,T1.1.6",knowledge/[slug]/documents/[docId]/route.ts,Critique,A_Faire
T2.1.5,Ajouter requireAdminApi et formatErrorResponse partout,KE,Phase 2,0.5,"T2.1.1,T2.1.2,T2.1.3,T2.1.4",Toutes les routes KE,Critique,A_Faire
T2.2.1,PUT /providers/[id]/api-key,AKM,Phase 2,0.75,"T1.2.4,T1.2.7",providers/[id]/api-key/route.ts (nouveau),Critique,A_Faire
T2.2.2,DELETE /providers/[id]/api-key,AKM,Phase 2,0.33,"T1.2.4,T1.2.7",providers/[id]/api-key/route.ts,Haute,A_Faire
T2.2.3,GET /providers/[id]/api-key,AKM,Phase 2,0.33,"T1.2.3,T1.2.4",providers/[id]/api-key/route.ts,Haute,A_Faire
T2.2.4,POST /providers/[id]/api-key/test,AKM,Phase 2,0.75,T1.2.5,providers/[id]/api-key/test/route.ts (nouveau),Haute,A_Faire
T2.2.5,Enrichir GET /config/providers avec hasApiKey,AKM,Phase 2,0.5,"T1.2.3,T1.2.4",config/providers/route.ts,Haute,A_Faire
T2.2.6,Ajouter audit logging sur routes API Keys,AKM,Phase 2,0.33,"T1.2.7,T2.2.1,T2.2.2",Toutes les routes AKM,Moyenne,A_Faire
T3.1.1,Bouton Editer sur collection,KE,Phase 3,0.33,"T2.1.1,T2.1.2",knowledge/page.tsx,Haute,A_Faire
T3.1.2,Formulaire inline edition collection,KE,Phase 3,1.0,T3.1.1,knowledge/page.tsx,Critique,A_Faire
T3.1.3,Bouton Editer sur document,KE,Phase 3,0.33,"T2.1.3,T2.1.4",knowledge/page.tsx,Haute,A_Faire
T3.1.4,Formulaire inline edition document,KE,Phase 3,1.0,T3.1.3,knowledge/page.tsx,Critique,A_Faire
T3.1.5,Handlers handleUpdateCollection et handleUpdateDocument,KE,Phase 3,0.67,"T3.1.2,T3.1.4",knowledge/page.tsx,Critique,A_Faire
T3.1.6,Gestion etats editingColId et editingDocId,KE,Phase 3,0.33,"T3.1.2,T3.1.4",knowledge/page.tsx,Haute,A_Faire
T3.2.1,Lien Gerer cle API dans ProviderCard,AKM,Phase 3,0.25,"T2.2.1,T2.2.3",config/page.tsx,Haute,A_Faire
T3.2.2,Composant ApiKeyManager,AKM,Phase 3,1.5,T3.2.1,ApiKeyManager.tsx (nouveau) ou config/page.tsx,Critique,A_Faire
T3.2.3,Integration PUT api-key dans ApiKeyManager,AKM,Phase 3,0.5,T3.2.2,ApiKeyManager.tsx,Critique,A_Faire
T3.2.4,Integration POST api-key/test dans ApiKeyManager,AKM,Phase 3,0.5,T3.2.2,ApiKeyManager.tsx,Haute,A_Faire
