id,risk,category,probability,impact,severity,mitigation,owner
R01,Drift de clés FR vs AR vs EN (clé existe en FR mais absente en AR ou EN),content,High,High,Critical,"Module augmentation TypeScript IntlMessages + ESLint rule no-missing-translation + test automatique de complétude qui fail CI si une clé manque dans une locale",Lead
R02,RTL casse le layout existant LTR (régression visuelle massive après refactor logical properties),tech,Medium,High,High,"Visual regression tests Playwright LTR avant/après + refactor par batch avec review code + ROLLBACK feature flag I18N_RTL_ENABLED=false dispo",QA
R03,Translator AR retourne du junk (Google Translate brut sans contexte) ou mauvaise tonalité,content,Medium,High,High,"Glossaire FR-AR détaillé + doc onboarding translateur + validation native speaker AR-MA obligatoire avant publish + review par fondatrice sur P0",Lead
R04,Bundle size i18n explose +30% à cause des messages JSON chargés client-side,perf,Medium,Medium,Medium,"Lazy load messages par route (next-intl supporte) + audit Lighthouse CI avec budget perf + tree-shaking namespaces + RSC pour messages SSR uniquement",Lead
R05,SEO penalty Google pour duplicate content (FR et EN servent même contenu sans hreflang),SEO,Medium,High,High,"hreflang alternate links générés automatiquement + canonical URL par locale + sitemap multilingue + balises og:locale par page + tests SEO automatiques snapshot metadata",Lead
R06,Founder bloque sur traduction AR (doute qualité Darija vs MSA),content,High,Medium,High,"Décision register tranchée en phase 0 ADR + glossaire validé fondatrice + 2 rounds review avant publish + possibilité de désactiver AR temporairement via I18N_LOCALES_ACTIVE",Founder
R07,Migration progressive crée des routes bilingues partielles (mix /fr/contact OK mais /maison legacy),tech,High,Medium,High,"Feature flag par route au pire + checklist explicite par route + tests E2E couvrent toutes les routes + ESLint warn sur strings hardcoded",Dev
R08,next-intl v4 breaking changes pendant projet (upgrade involontaire),tech,Low,Medium,Medium,"Pin version exacte dans package.json (pas de ^) + Renovate config pour grouper updates + lire CHANGELOG avant upgrade + tests régression sur upgrade",Lead
R09,Pluralization AR (6 formes) mal implémentée (utilisation directe count sans rules),content,Medium,Medium,Medium,"Documentation pluralization dans 04-frontend/pluralization.md + tests unit sur formats pluriels AR + utilisation Intl.PluralRules natif + glossaire pluriel",Dev
R10,Cookie locale persistant brouille tests E2E (test précédent influence suivant),tech,High,Low,Medium,"Hook beforeEach Playwright qui clearCookies sur tous les tests E2E + isolation par worker + naming convention tests",QA
R11,Wizard CHA-231 régresse pendant phase 2 (refactor accidentel WizardDictionary),tech,Low,Critical,High,"Interdiction explicite touche WizardDictionary phase 1-2-3 + code review obligatoire + tests régression wizard à chaque PR + ADR-0007 documenté",Lead
R12,Performance Lighthouse drop > 10pts à cause i18n (JSON load, hydration overhead),perf,Medium,Medium,Medium,"Budget Lighthouse CI dur 90+ + audit perf phase 8 avec WebPageTest + lazy load messages + monitoring real-user LCP/FID/CLS par locale",Lead
R13,Sentry events spike inattendu sur /ar/* (utilisateurs AR rencontrent bugs spécifiques),ops,Medium,High,High,"Sentry tag locale obligatoire phase 7 + alertes par locale + canary 10% surveillé 24h + rollback ready I18N_LOCALES_ACTIVE=fr,en",Dev
R14,Translator EN indisponible aux moments critiques (phase 2 et 8),content,Medium,Low,Low,"Identification translator EN backup + plan B DeepL brut acceptable temporairement pour EN + EN considéré moins critique que FR/AR (audience marché secondaire)",Lead
R15,Tests visual regression flaky (Playwright snapshots diffèrent selon machine CI),tech,High,Low,Medium,"Mask éléments dynamiques (date, prix, ID) + run sur OS Docker fixe en CI + diff threshold tunable + update strategy documentée",QA
R16,Vercel Edge Config indisponible (panne Vercel) bloque canary rollout,ops,Low,High,Medium,"Plan B promote deploy précédent via vercel promote + alerting Vercel status + communication transparente utilisateurs si downtime",Lead
R17,Neon DB snapshot corrupted (restore échoue),ops,Low,Critical,High,"Tester restore régulièrement sur DB temp (bi-mensuel) + retention 30j minimum + multiple snapshots avant chaque phase risquée + plan B backup pg_dump local",Lead
R18,Admin UI onglets locale confusing pour fondatrice ou équipe content,UX,Medium,Medium,Medium,"User testing avec fondatrice avant phase 3 deploy + UX simple onglets + tooltip explicatif + doc admin dans 09-runbook + indicateur visuel traduit/manquant",Dev
R19,Drapeaux dans LocaleSwitcher ambigus pour AR (drapeau Maroc vs autre arabophone),UX,High,Low,Medium,"ADR explicite : pas de drapeaux + nom natif langue uniquement (Français / العربية / English) + tooltip si nécessaire + cohérence avec 05-ui-ux-design/locale-switcher-ui.md",Founder
R20,Effort extraction sous-estimé (~700 strings en 2 semaines = irréaliste),ops,Medium,High,High,"Buffer 20% sur estimations + script AST automatique 80% des cas + planning route par route avec checkpoint hebdomadaire + escalade si retard détecté S2",Lead
R21,RTL composants tiers (Recharts, DayPicker) cassés en AR (pas de support natif),tech,Medium,Medium,Medium,"Audit librairies tiers phase 4 + wrapper avec dir=rtl localement si nécessaire + alternatives RTL-friendly évaluées + fallback LTR sur composant problématique",Dev
R22,Cache RSC stale après édition admin (utilisateur voit FR alors qu'AR vient d'être saisie),tech,Medium,Medium,Medium,"revalidatePath sur server actions admin + tag cache par locale + tests integration cache invalidation + clear cache manuel dans admin si besoin",Dev
R23,Sitemap multilingue mal généré (Google ne découvre pas /ar/*),SEO,Low,Medium,Medium,"Sitemap dynamique avec hreflang + test automatique sitemap.xml contient toutes locales + Google Search Console monitoring post-deploy",Lead
R24,Emails transactionnels restent FR alors utilisateur EN (régression UX hors scope V1),UX,High,Low,Medium,"Documentation explicite scope V1 = pages publiques uniquement + tickets backlog V2 pour emails + acceptation risque par fondatrice + email FR avec note 'English version coming soon'",Founder
R25,Caractères AR mojibake dans certains contextes (DB encoding, email, JSON sérialisé),tech,Low,High,Medium,"UTF-8 vérifié bout-en-bout (DB pg encoding utf8, headers Content-Type, JSON.stringify, Nodemailer) + tests integration avec strings AR + smoke test prod",Dev
R26,Bug critique en prod canary 10% pas détecté dans temps imparti 24h,ops,Low,High,Medium,"Monitoring real-time dashboard + alertes Sentry seuils tight + équipe on-call disponible canary period + extension surveillance si volume faible",Lead
R27,Coverage gates CI bloquent merges non-i18n (faux positifs),tech,Medium,Low,Low,"Gates uniquement sur fichiers i18n (path-based) + escape hatch documenté + revue régulière des seuils",Lead
R28,Conflicts merge entre branche feature i18n et autres sprints (legal, kit-hero),ops,High,Medium,High,"Rebase fréquent + communication équipe sur fichiers touchés + lock court terme sur fichiers critiques messages.json + PRs petites et fréquentes",Lead
R29,Locale detection fallback chain bugué (cookie expired + Accept-Language mauvais),tech,Low,Medium,Low,"Tests unit exhaustifs sur resolveLocale (12 cas) + integration test middleware + monitoring distribution locale réelle vs attendue",Dev
R30,Documentation runbook insuffisante pour onboarding nouveau dev,ops,Medium,Low,Low,"Relecture doc finale par dev externe phase 8 + checklist onboarding + exemples concrets dans runbook + FAQ i18n + screencast vidéo optionnel",Lead
R31,Bug iOS Safari avec cookies SameSite sur switch locale,tech,Medium,Medium,Medium,"Tests cross-browser obligatoires sur matrix Playwright (Chrome, Safari WebKit, Firefox) + cookie config SameSite=Lax + fallback querystring si cookie blocked",QA
R32,Touches RTL clavier Mac/Win différentes (input direction),tech,Low,Low,Low,"Tests E2E avec keyboard.press explicite + audit a11y avec NVDA et VoiceOver + utilisateur réel AR test session",QA
R33,Pages légales /legal/[slug] cassent en AR car body_md FR contenu hardcoded,content,High,Medium,High,"Phase 5 inclut traduction legal_pages.body_md + fallback FR si AR manque + migration data manuelle + ADR sur règles légales territorialisation Maroc",Lead
