id,severite,onglet,symptome,cause_racine,preuve,fichier_cause,fix_propose,test_avant_fix,statut
AN-01,P0,Vue d'ensemble,Taux de rebond toujours nul + Top pages vide,page_view jamais stocke (app emet view_item sur /kit pas page_view generique) ; bounce et topPages ne lisent QUE page_view,DB: page_view=0 / view_item=339,lib/analytics/queries/overview.ts (bounceRate L261 / topPages L352),Emettre page_view sur chaque navigation OU elargir bounce/topPages a reconnaitre view_item+page_route ; aligner sur la source reelle,bounce/topPages renvoient 0/vide avec dataset view_item-only,corrige
AN-02,P0,Funnel principal,Engage/CTA/Checkout/Purchase a 0 + drop-off 100%,Funnel cumulatif strict (engage=view&engage ...) ET etape engage alimentee par events absents (scroll_depth_50 mauvais nom / cta_impression=0 / video_user_play=0),DB: scroll_depth=0 cta_impression=0 ; begin_checkout=97 add_to_cart=26 purchase=13 existent mais jamais comptes,lib/analytics/queries/funnel.ts (isEngageEvent L~118 / classifyStage L138 / cumul L185),Corriger noms engage (scroll_depth+percent ou cta_impression reellement emis) ET assouplir le modele (etape atteinte par OR plutot que AND strict en cascade) OU compter chaque etape independamment,funnel collapse: avec view_item+begin_checkout+purchase sans engage, checkout/purchase=0 et dropoff=100%,corrige
AN-03,P0,CTA,Tout vide,cta_impression=0 et cta_click=0 ; vrais clics emis en pack_cta_click/video_cta_click/composition_post_cta_click REJETES a l'ingestion (hors schema),DB: cta_*=0 ; logs tracking.ingest.unknown_event,lib/tracking/schemas.ts (pas de schema pour pack_cta_click) ; lib/analytics/queries/cta.ts (attend cta_click/cta_impression),Ajouter schemas cta_click/cta_impression (component_id) + emettre depuis CommanderAnchorButton/CTA ; OU normaliser pack_cta_click->cta_click a l'ingestion,CTA dashboard vide avec events pack_cta_click rejetes,corrige
AN-04,P0,Checkout,Presque tout vide,view_cart jamais emis ; address_completed (event reel) non mappe (classifieur attend add_shipping_info) ; pas d'event submit,DB: view_cart=0 ; address_completed=15 ; add_shipping_info=4,lib/analytics/queries/checkout.ts (classifyEvent L~333),Mapper address_completed->add_shipping et lead_capture/checkout_intent->begin_checkout ; emettre view_cart ; definir submit,checkout funnel: address_completed non compte dans add_shipping,corrige
AN-05,P0,Insights,Tout vide,Vues materialisees non rafraichies en prod (events necessaires presents en base) ; firstRun/matview-vide confondu avec pas-de-trafic,DB: view_item/begin_checkout/add_payment_info/purchase/generate_lead presents,lib/analytics/insights/refresh.ts + services.ts ; cron insights,Declencher refresh matviews (cron/endpoint) ; distinguer matview-vide de aucun-trafic dans l'UI,insights overview vide alors que daily-events agreges non nuls,ops_runbook
AN-06,P1,Funnel principal,Conversion sous-comptee,Funnel purchase ne compte que purchase (13) et ignore generate_lead (17) ; tunnel COD = lead est la conversion,DB: purchase=13 generate_lead=17,lib/analytics/queries/funnel.ts (classifyStage purchase),Etape purchase = purchase OR generate_lead (config) ; documenter la semantique COD,funnel purchase compte 13 au lieu de ~conversion totale,corrige
AN-07,P1,Vue d'ensemble,KPI sur dataset incoherent,Overview ne filtre pas analytics_storage=granted alors que les autres onglets le font,Code: funnel/cta/checkout ont le filtre consent ; overview non,lib/analytics/queries/overview.ts (fetchEvents L~158),Ajouter le filtre consentement a overview pour coherence inter-onglets,overview compte des events non-consentis vs autres onglets,corrige
AN-08,P2,CTA,(Revenu 100x) NON reproduit dans le code actuel,readValueCents multiplie deja value MAD par 100 ; residu eventuel en couche affichage,cta.test.ts confirme 320 MAD->32000 cents,lib/analytics/queries/cta.ts (OK),Non-regression revenu MAD + audit couche format,(garde-fou),deja_corrige
AN-09,P2,Funnel/CTA/Checkout,(Filtres figes) DEJA CORRIGE,useAnalyticsFilters derive de useSearchParams (useMemo) + refetch useEffect([filters]),*.refetch.test.tsx existants,components/admin/analytics/* (OK),Non-regression refetch,(garde-fou),deja_corrige
AN-10,P2,Transverse,(Fuseau) DEJA CORRIGE,filters.ts ANALYTICS_TIMEZONE=Africa/Casablanca + startOfDay via Intl,filters.ts,lib/analytics/filters.ts (OK),Non-regression today/yesterday TZ Maroc,(garde-fou),deja_corrige
AN-11,P1,Transverse,Device defaut mobile masque tablet+desktop,DEFAULT_FILTERS.device=mobile + schema default(mobile),lib/analytics/filters.ts,lib/analytics/filters.ts,Defaut device=all (schema + DEFAULT_FILTERS),overview/funnel par defaut ne montrent que mobile,corrige
