component_slug,field_key,locale,value,status,notes
commerce-cart,hero__kicker,en,The cart,draft,
commerce-cart,hero__subtitle__empty,en,No item for now.,draft,
commerce-cart,hero__subtitle__many,en,"{count} items, safely set aside.",draft,icu
commerce-cart,hero__subtitle__one,en,"One item, safely set aside.",draft,
commerce-cart,hero__title,en,Your cart.,draft,
commerce-cart-contents,continue,en,Continue browsing,draft,
commerce-cart-contents,cta,en,Place order,draft,
commerce-cart-contents,empty__cta,en,See the kit,draft,
commerce-cart-contents,empty__kicker,en,Cart,draft,
commerce-cart-contents,empty__subtitle,en,"The ritual begins with a kit. Three gestures, five minutes.",draft,
commerce-cart-contents,empty__title,en,The cart is empty.,draft,
commerce-cart-contents,label_quantity,en,Quantity,draft,
commerce-cart-contents,label_remove,en,Remove,draft,
commerce-cart-contents,shipping_hint,en,Shipping estimated at the next step.,draft,
commerce-cart-contents,subtotal,en,Subtotal,draft,
commerce-cart-contents,unit,en,per unit,draft,
commerce-cart-summary,cta,en,Order,draft,
commerce-cart-summary,footnote,en,You can change your order until the payment step.,draft,
commerce-cart-summary,heading,en,Your order.,draft,
commerce-cart-summary,shipping_estimate,en,Estimated shipping,draft,
commerce-cart-summary,shipping_hint,en,"An estimate, refined at the next step.",draft,
commerce-cart-summary,subtotal,en,Subtotal,draft,
commerce-cart-summary,total,en,Total,draft,
commerce-commander,metadata__description,en,"Three measured steps to confirm your FemiGlow order: details, shipping, validation. Cash on delivery available.",draft,
commerce-commander,metadata__title,en,Order,draft,
commerce-empty-cart,cta_primary,en,Discover the ritual,draft,
commerce-empty-cart,cta_secondary,en,See the kit,draft,
commerce-empty-cart,subtitle,en,"The ritual begins with a gesture. Three jars, five minutes.",draft,
commerce-empty-cart,title,en,The cart is empty.,draft,
commerce-journal-cross,description,en,Three letters per season. No urgency.,draft,
commerce-journal-cross,kicker,en,In the meantime,draft,
commerce-journal-cross,title,en,Read the journal of the maison.,draft,
commerce-merci,fallback__body,en,Your order has been recorded. The detailed confirmation is on its way to your inbox.,draft,
commerce-merci,fallback__cta,en,Back to the maison,draft,
commerce-merci,fallback__title,en,Confirmation sent by email.,draft,
commerce-merci,letter__body_1,en,"Every pack is prepared by hand, in Rabat, in an atelier where we take our time. The paste prepares, the powder reveals, the buffer polishes. The glow will return, slowly.",draft,
commerce-merci,letter__body_2,en,"Until then, choose a quiet evening. Set the jars on a linen towel. The ritual does not like haste — that is its promise.",draft,
commerce-merci,letter__body_3,en,"If a question crosses your mind, write to us. The maison replies.",draft,
commerce-merci,letter__kicker,en,A word from our founder,draft,anonymisation: notre fondatrice — voir review-notes 1.4
commerce-merci,letter__opening_anonymous,en,Thank you for entrusting your ritual to the maison.,draft,
commerce-merci,letter__opening_named,en,"{first_name}, thank you for entrusting your ritual to the maison.",draft,icu
commerce-merci,letter__signature,en,Our founder,draft,anonymisation: notre fondatrice — voir review-notes 1.4
commerce-merci,letter__signature_role,en,Founder · FemiGlow,draft,
commerce-merci,letter__title,en,The maison takes the time it needs.,draft,
commerce-merci,metadata__description,en,Your FemiGlow order is confirmed. You will receive a message from the maison with the preparation and shipping steps.,draft,
commerce-merci,metadata__title,en,Thank you,draft,
commerce-merci,order_hero__body,en,"Your order is in good hands. You will receive a confirmation email within the minute, then a second one when it ships.",draft,
commerce-merci,order_hero__estimate,en,Estimated delivery: between {min} and {max}.,draft,icu
commerce-merci,order_hero__kicker,en,The maison thanks you,draft,
commerce-merci,order_hero__number_label,en,Order number,draft,
commerce-merci,order_hero__title,en,"Thank you, {first_name}.",draft,icu
commerce-merci,preparation__body_1,en,"Set the jars on a linen towel. Dim the light. Open the ritual the way one opens a letter — without rush, with no productive intent.",draft,
commerce-merci,preparation__body_2,en,"The maison does not offer a routine. It offers a suspended moment, which belongs to your hands.",draft,
commerce-merci,preparation__kicker,en,Preparing the gesture,draft,
commerce-merci,preparation__title,en,Choose a quiet evening.,draft,
commerce-merci,timeline__expedition,en,Shipping,draft,
commerce-merci,timeline__expedition_hint,en,1 to 2 working days after preparation.,draft,
commerce-merci,timeline__kicker,en,Tracking your pack,draft,
commerce-merci,timeline__livraison,en,Delivery,draft,
commerce-merci,timeline__livraison_hint,en,Rabat 24 h · Morocco 48 to 72 h.,draft,
commerce-merci,timeline__preparation,en,Preparation,draft,
commerce-merci,timeline__preparation_hint,en,"Within 24 h, by hand, in Rabat.",draft,
commerce-merci,timeline__title,en,"Three steps, at your pace.",draft,
commerce-minicart,close_aria,en,Close the cart,draft,
commerce-minicart,continue,en,Continue the ritual,draft,
commerce-minicart,cta_revoir,en,Review the cart,draft,
commerce-minicart,empty,en,Your ritual is still to be composed.,draft,
commerce-minicart,heading,en,Your ritual,draft,
commerce-minicart,quantity_label,en,Quantity {qty},draft,icu
commerce-minicart,toast,en,Added to your ritual.,draft,
commerce-panier,metadata__description,en,"The summary of your ritual, before the order.",draft,
commerce-panier,metadata__title,en,The cart,draft,
commerce-sticky-cta,aria,en,Quick purchase,draft,
commerce-trust-signals,kicker,en,Reassurance,draft,
commerce-trust-signals,livraison__body,en,"Rabat: 24 hours. Rest of Morocco: 48 to 72 hours. No threshold, no surcharge.",draft,
commerce-trust-signals,livraison__title,en,Free shipping,draft,
commerce-trust-signals,paiement__body,en,"You pay only on receipt, after inspecting your order. No risk.",draft,
commerce-trust-signals,paiement__title,en,Cash on delivery,draft,
commerce-trust-signals,retour__body,en,"If the ritual does not suit you, we will take it back — even opened. No justification needed.",draft,
commerce-trust-signals,retour__title,en,30-day return,draft,
commerce-trust-signals,title,en,Three simple commitments.,draft,
contact-crosslinks,kit,en,See the pack,draft,
contact-crosslinks,maison,en,The maison,draft,
contact-crosslinks,rituel,en,Read the ritual,draft,
contact-direct,appointment_only,en,By appointment only.,draft,
contact-direct,kicker_atelier,en,Atelier,draft,
contact-direct,kicker_write,en,Write,draft,
contact-direct,response_time,en,"Reply within 24 working hours, from Rabat.",draft,
contact-faq,duree__answer,en,"Five minutes each evening, hands at rest. Two gestures — paste, powder — then the Step 4 buffer to finish. The maison suggests one passage a day to settle the cadence.",draft,
contact-faq,duree__question,en,How long does the ritual take?,draft,
contact-faq,echantillon__answer,en,"In case of doubt due to an allergy, we send a sample of the paste before shipping the full pack. Write to us specifying the ingredient that concerns you.",draft,
contact-faq,echantillon__question,en,Can I receive a sample before purchase?,draft,
contact-faq,formation__answer,en,"Our founder runs workshops in Japanese manicure and cosmetic manufacturing at the Rabat atelier. Write to info@femiglow-maroc.com with your profile (beauty professional, formulator, school). We reply within three days.",draft,
contact-faq,formation__question,en,How can I attend a workshop with your team?,draft,
contact-faq,fragiles__answer,en,"Yes. The materials are chosen to repair without aggressing: beeswax, jojoba, cosmetic talc, rice powder, polishing kaolin. No acetone, no hardener. Avoid only in case of a known allergy to one of the ingredients; the full list appears on the Pack page.",draft,
contact-faq,fragiles__question,en,"My nails are fragile, is the ritual right for me?",draft,
contact-faq,kicker,en,Frequently asked questions,draft,
contact-faq,livraison__answer,en,"Rabat: 24 hours. Casablanca and Salé: 24 to 48 hours. Rest of Morocco: 48 to 72 hours. Free shipping in Morocco, no threshold. For international, write to us, we study each shipment by hand.",draft,
contact-faq,livraison__question,en,What are the shipping times?,draft,
contact-faq,title,en,Quick answers.,draft,
contact-form,error__body,en,The message did not go through. Try again or write to us at {email}.,draft,icu
contact-form,field__company,en,Company name,draft,
contact-form,field__email,en,Your email,draft,
contact-form,field__message,en,Your message,draft,
contact-form,field__message_hint,en,"At least 20 characters, so we can reply properly.",draft,
contact-form,field__name,en,Your first name,draft,
contact-form,field__order_number,en,Order number,draft,
contact-form,field__order_number_hint,en,The number appears in your confirmation email.,draft,
contact-form,field__phone,en,Phone,draft,
contact-form,field__role,en,Your role,draft,
contact-form,honeypot_label,en,Website (leave empty),draft,
contact-form,newsletter_consent,en,I wish to receive the seasonal letter. One letter per season. No commercial mailing.,draft,
contact-form,section_title,en,Write to the maison.,draft,
contact-form,submit,en,Send my message,draft,
contact-form,success__body,en,We read every message carefully. Reply within 24 working hours.,draft,
contact-form,success__title,en,Received. The maison will reply.,draft,
contact-form,type__legend,en,What type of message?,draft,
contact-form,type__order,en,An order,draft,
contact-form,type__professional,en,A professional exchange,draft,
contact-form,type__question,en,A question,draft,
contact-hero,kicker,en,Write to the maison,draft,
contact-hero,subtitle,en,"A question on the ritual, the kit, an order, a professional exchange?",draft,
contact-hero,title,en,Contact.,draft,
contact-metadata,description,en,"A question on the ritual, the pack, an order, a workshop? Write to Maison FemiGlow from Rabat (25 bis avenue Patrice Lumumba).",draft,
contact-metadata,og_description,en,The maison replies within 24 working hours.,draft,
