id_action,titre,description,dependances,effort,priorite,dod_mesurable,audit_lie,t_ref,statut
ACT-BE-001,Fermer la fuite fake-timer + drain global de timers,Drainer la promesse de poll Higgsfield avant useRealTimers dans video-generation.test.ts (l.198-224) ; ajouter un afterEach global (vi.clearAllTimers/useRealTimers/restoreAllMocks) dans vitest.setup.ts. La rejection 'Higgsfield video failed: content policy violation' échappe au scope du test sous fake timers et fait sortir le process en EXIT 1 malgré 1695 passed.,,S,P0,En mock: pnpm exec vitest run src/lib/content-studio/video-generation.test.ts ; echo \$? = 0 ET ligne 'Errors 0 error' ; la suite complète repasse EXIT 0 vérifié par re-run (pas par le seul JSON). En live: n/a (bug d'outillage de test) ; preuve = un défaut réintroduit volontairement fait redevenir EXIT 1 (le gate distingue vrai succès et faux succès).,BUG-010,T-001;T-002,a_faire
ACT-BE-002,MEDIA_DIR absolu + isolation stockage des tests + purge des stubs,"Résoudre MEDIA_DIR via une racine absolue injectée par env (pas join(process.cwd(),'../../')) dans les 6 nodes média (generate-voiceover/music/video, compose, transcode-export, generate-subtitles). Injecter un tmpdir isolé en test. Auditer la table media pour références <100 octets et purger les ~977 stubs jpg de 10-14o de .media-storage/ai-engine.",ACT-ARC-013,M,P4,En mock: pnpm vitest run n'écrit AUCUN fichier dans .media-storage/ai-engine runtime (diff before/after vide) ; find .media-storage/ai-engine -size -100c | wc -l = 0 après purge ; aucune row media SQL ne pointe vers un fichier <100o. En live: lancer un node média depuis un cwd != apps/web écrit/sert au bon emplacement absolu (test cwd modifié) — probe du fichier servi 200.,MISS-004;MISS-024;MISS-032,T-306;T-411,a_faire
ACT-BE-003,Rendre la config moteur et les caches de clés invalidables,"getEngineConfig() est un singleton module (engine-config.ts:51-52) figé pour la vie du process PM2 ; resetEngineConfig n'est appelé par aucun chemin runtime. resolvedKeyCache/modelCache ont un TTL 5min sans invalidation sur changement .env. Réduire le TTL et/ou exposer une invalidation runtime, OU documenter explicitement qu'un changement de provider TTS/clé exige un restart.",ACT-BE-030,M,P5,"En mock: après changement simulé de AI_ENGINE_DEFAULT_TTS_PROVIDER puis invalidation, getEngineConfig reflète le nouveau provider (test unitaire d'invalidation). En live: changer le provider TTS .env + déclencher l'invalidation documentée (ou restart) puis re-générer une voix-off → le node utilise le nouveau provider (probe de l'asset audio) dans la fenêtre TTL documentée ; aucun 'mock' servi après bascule.",MISS-033,T-410,a_faire
ACT-BE-004,Re-vérifier le pipeline voix-off/musique/vidéo mock sous le runtime PM2 (cause racine lavfi réfutée),"La cause racine 'lavfi indisponible' est REFUTEE (evidence/ffmpeg-binary-verification.md: ffmpeg-static supporte lavfi, exit 0). Action = re-vérifier generate-voiceover/music/generate-video(mock)/compose sous PM2 une fois A câblé et atteignable ; épingler explicitement le binaire ffmpeg-static (ffmpeg.setFfmpegPath(require('ffmpeg-static'))) et garantir son inclusion dans le bundle prod Next (outputFileTracing/standalone) ; ne PAS retourner completed si voiceover/music ont url='' (délégué à ACT-BE-015).",ACT-BE-030;ACT-ARC-002,M,P5,"En mock: un job AI-Engine format reel lancé sous PM2 (pas en test) produit des fichiers voiceover-*/music-*/video-* NON vides dans .media-storage/ai-engine (ls + file confirme type audio/vidéo réel, taille >1Ko) ; ffprobe valide la durée. En live: idem une fois A atteignable par l'opérateur via le pont ; un échec ffmpeg réel fait passer le job en degraded (pas completed). La preuve est l'exécution PM2, pas un test ffmpeg mocké.",BUG-012;BUG-013;BUG-004,T-902,a_faire
ACT-BE-010,Débloquer OpenAI image+texte live via la résolution de clé unifiée,"Faire que image-generation.ts et generation.ts consomment resolveProviderCredential('openai') (fourni par ACT-ARC, chaîne incluant OPENAI_API_KEY déjà valide len=164) au lieu de lire env.CONTENT_STUDIO_OPENAI_API_KEY brut. Remplacer le `??` de generation.ts:70 par une neutralisation de chaîne vide (if (val)) — `??` ne capture pas la chaîne vide. Correctif bon marché: la clé est déjà dans le process.",ACT-ARC-013;ACT-BE-001,M,P0,"En live: depuis /admin/content-studio-v2/create en mode Live, 'Générer un visuel IA' (gpt-image-1-mini) produit un asset réel servi HTTP 200 + generation_run provider=openai status=succeeded cost>0 (probe opérateur authentifiée). En mock: le même chemin produit toujours l'asset déterministe (SVG/PNG). Une CONTENT_STUDIO_OPENAI_API_KEY='' ne masque plus le fallback OPENAI_API_KEY (test unitaire de résolution).",BUG-001;BUG-005;MISS-013,T-005;T-101,a_faire
ACT-BE-011,Réécrire la génération image Higgsfield en async submit+poll conforme,"Réécrire generateHiggsfieldImage: submit POST /v1/text2image/<model> sur host platform.higgsfield.ai avec auth 'Key KEY_ID:KEY_SECRET', puis poll GET /v1/requests/{id}/status (queued|processing|completed|failed) avec backoff borné. Remplacer les endpoints synchrones inventés (/v1/images/generate, json.images[]). Fournir/valider le credential complet KEY_ID:KEY_SECRET (paire _KEY/_SECRET ou format à deux parties) ; gating clair + badge non-générable si mono-partie au boot (pas un throw 409 au 1er clic).",ACT-ARC-013;ACT-ARC-004,M,P1,"En mock (MSW fidèle au contrat async): un contract-test devient ROUGE si le code appelle /v1/images/generate synchrone au lieu de submit+poll ; un flux submit→poll→completed mocké produit un asset servé 200. En live: GET /api/admin/ai-engine/config/providers → Higgsfield configured:true ; un appel d'auth read-only renvoie 2xx ; au boot avec credential mono-partie → avertissement explicite, pas un throw au 1er clic.",BUG-001;BUG-025,T-102,a_faire
ACT-BE-012,Réécrire la génération vidéo Higgsfield en async submit+poll + sortir le polling du handler HTTP,"Réécrire generateHiggsfieldStudioVideo: submit POST /v1/image2video/<model> + poll GET /v1/requests/{id}/status (remplacer /v1/videos/generate + /v1/videos/status/{id}). Router par provider==='higgsfield' et non startsWith('hf-') ; mapper les IDs natifs du catalogue (veo3_1, kling3_0...). Sortir le polling 5min du handler HTTP vers un job resumable borné au timeout runtime réel (pas de blocage synchrone de la requête opérateur).",ACT-BE-011;ACT-ARC-004,L,P1,"En mock: un contract-test ÉCHOUE si un endpoint vidéo synchrone est appelé ; un modèle vidéo live-découvert (veo3_1) sélectionné dans le picker est routé sans 'aucun modèle vidéo live disponible' ; un test de timeout prouve que le handler ne bloque plus 5min. En live: avec credential complet, submit d'une génération vidéo retourne un requestId et le poll transite vers completed (probe staging non destructive) ; le pipeline AI-Engine vidéo (A) produit un MP4 réel (ffprobe valide durée/codec), pas zéro fichier.",BUG-002;BUG-008;BUG-025;BUG-030,T-102;T-103,a_faire
ACT-BE-013,Génération de texte opérateur réellement LLM + role inference + variation par contexte,generation.ts utilise resolveProviderCredential('openai') (suite ACT-BE-010) ; la route ideas/[id]/generate lit le cookie cs_generation_mode ; en live sans clé → throw invalid_state explicite plutôt que dégrader silencieusement en template figé. Restreindre inferRole (model-discovery.ts:166-172) pour ne pas classer whisper-1/davinci/babbage/instruct en role=chat. Varier hashtags/altText/hooks du fallback par platform/format/pillar (aujourd'hui constantes codées en dur).,ACT-BE-010;ACT-ARC-013,M,P2,"En live: générer une idée produit des variantes avec generation_run provider=openai model=<choisi> status=succeeded ; le toggle mock/live change réellement le comportement (comparaison des deux runs). En mock: fallback déterministe assumé MAIS varié par pillar/format (≥3 combinaisons donnent des textes distincts, pas le bloc 'post' pour un reel) ; GET /api/admin/content-studio/models?role=chat ne contient ni whisper-1 ni davinci-002 (probe). Le cookie cs_generation_mode a un effet sur le texte.",BUG-005;MISS-013;MISS-014;MISS-018,T-201;T-202;T-412,a_faire
ACT-BE-014,Variation de draft: régénérer réellement le texte + re-synchroniser le modèle,createDraftVariation (repository.ts:910) clone caption/hook/cta/altText/hashtags du parent à l'identique et ignore promptOverride. Brancher createVariation sur une vraie régénération (generateForIdea ciblé ou generate-variants) qui consomme promptOverride. Re-synchroniser le model d'état au kind/format courant lors d'une régénération (MediaStudio 'Régénérer' renvoie un model live hérité non re-synchronisé après bascule).,ACT-BE-013,S,P3,"En mock: POST /drafts/<id>/variation {promptOverride:'change le hook'} → caption/hook DIFFÉRENTS du parent (comparaison probe parent/variante) ; variation déterministe distincte. En live: idem avec régénération LLM réelle (generation_run distinct). Après bascule de format/kind puis 'Régénérer', le model envoyé correspond au kind/format courant (pas un id live hérité non-fonctionnel) — vérifié par probe du body de la requête.",BUG-017;MISS-017,T-305;T-413,a_faire
ACT-BE-015,Fallbacks audibles: pousser dans state.errors + flag degraded + garde asset vide,Aucun node média ne pousse jamais dans state.errors (catch de generate-voiceover/music/video/compose renvoient url='' provider 'fallback' sans dégrader). Marquer tout asset/job dégradé d'un flag degraded + raison ; les nodes média poussent dans state.errors ; routeAfterQuality dégrade le statut. CreateWorkspace.onCreated ajoute une branche else/catch non vide (le catch est vide avec commentaire 'not blocking'). Garde sur <video src=''> côté backend (ne jamais servir un asset url='' comme succès).,ACT-ARC-002,M,P3,"En mock: un échec de génération provoqué (clé absente/quota) → le node pousse dans state.errors ET le job passe failed/degraded avec raison (plus de 'completed quality 0.91' trompeur) ; un échec de génération de variantes affiche un toast d'erreur à l'opérateur (plus de catch vide) ; aucun asset url=''/404 servi comme succès (probe). En live: idem — un provider en erreur réelle dégrade le statut, jamais un faux succès silencieux.",BUG-022;MISS-011;MISS-020;MISS-021,T-304,a_faire
