id,title,layer,depends_on,files,test_ids,verifies,status
MP-VO-00,Confirm architecture prereqs (role/audio kind/upsertBundleAsset/DTO),architecture,MP-AR-001;MP-AR-002;MP-AR-003,docs/plan-media-production-2026-05-30/00_global/*,MP-AR-* suite;tsc --noEmit,D1;D2 available to voice-over,todo
MP-VO-01,Extract synthesizeVoiceover core from generateVoiceoverNode,node,MP-VO-00,apps/web/src/lib/ai-engine/nodes/generate-voiceover.ts,generate-voiceover.test.ts;synthesize-voiceover.test.ts > mock => silent wav no fetch,D5 reuse;no ffmpeg/TTS rewrite;node behavior unchanged,todo
MP-VO-04,Add voiceoverGenerationSchema (zod strict),schema,MP-VO-00,apps/web/src/lib/content-studio/schemas.ts,voiceover-schema.test.ts > rejects empty script;> rejects unknown keys;> defaults voice to mock,input validation 400,todo
MP-VO-02,Implement generateVoiceoverForDraft service (mode-aware),service,MP-VO-01;MP-VO-04,apps/web/src/lib/content-studio/service.ts,generate-voiceover-for-draft.test.ts > mode=mock → silent track no provider call;> mode=live no key → invalid_state 409;> persists role=voiceover asset;> regenerate replaces by role;> non-video → invalid_state;> live+5xx → upstream_failed,D3 mode-awareness;E2;E4;E5;E7,todo
MP-VO-03,Create POST generate-voiceover route handler,route,MP-VO-02,apps/web/src/app/api/admin/content-studio/drafts/[id]/generate-voiceover/route.ts,generate-voiceover.route.test.ts > 200 mock;> 400 empty script;> 409 live no key no provider call;> reads cs_generation_mode cookie;> 401 not admin,route mirrors generate-visual;auth;cookie mode,todo
MP-VO-06,Build AudioTrackPlayer (a11y audio player),frontend,MP-VO-00,apps/web/src/components/admin/content-studio-v2/media/AudioTrackPlayer.tsx,AudioTrackPlayer.test.tsx > play aria-pressed;> seek aria-valuetext;> mute aria-pressed,a11y;reuse formatDuration,todo
MP-VO-05,Build VoiceoverTrack component (states+fetch),frontend,MP-VO-03;MP-VO-06,apps/web/src/components/admin/content-studio-v2/create/tracks/VoiceoverTrack.tsx,VoiceoverTrack.test.tsx > pre-fills textarea;> POSTs and renders player;> stale badge;> guards empty draftId no fetch;> surfaces 409 no-key inline,D4 UI;optimistic generating;E1;E4,todo
MP-VO-07,Wire VoiceoverTrack into MediaStudio tracks panel (flagged),frontend,MP-VO-05,apps/web/src/components/admin/content-studio-v2/create/MediaStudio.tsx,MediaStudio.voiceover.test.tsx > flag off no track;> flag on reel track present;> image format no track,D4;D6 feature flag;non-regression,todo
MP-VO-08,Surface voiceover in publish summary + compose input,frontend,MP-VO-07,apps/web/src/components/admin/content-studio-v2/create/PublishActionGroup.tsx,PublishActionGroup.voiceover.test.tsx > shows voix-off in track summary,D4 flow into publish,todo
MP-VO-12,MSW handlers + no-network proofs for TTS providers,test,MP-VO-02,apps/web/src/test/msw/handlers/tts.ts;apps/web/src/lib/content-studio/__tests__/*,generate-voiceover-for-draft.test.ts (MSW);test-plan-msw.md,mock/no-key make no network call,todo
MP-VO-09,Playwright E2E golden path (mock mode),test,MP-VO-07,apps/web/e2e/content-studio-v2/voiceover.spec.ts,voiceover.spec.ts > operator generates and previews a voice-over (mock),E2E mock staging :8012,todo
MP-VO-10,Non-regression: generate-visual and 4-step flow untouched,test,MP-VO-07,apps/web/src/components/admin/content-studio-v2/create/MediaStudio.test.tsx,MediaStudio.test.tsx (existing green);MediaStudio.voiceover.test.tsx > flag off DOM unchanged,D6 non-regression,todo
MP-VO-13,Node regression: generate-voiceover graph behavior unchanged,test,MP-VO-01,apps/web/src/lib/ai-engine/nodes/generate-voiceover.test.ts,generate-voiceover.test.ts (existing green unchanged),node adapter preserves graph shape,todo
MP-VO-11,CI gate: tsc --noEmit + vitest + MSW onUnhandledRequest error,ci,MP-VO-02;MP-VO-03;MP-VO-05,apps/web/*,pnpm -C apps/web exec tsc --noEmit;vitest run,quality bar §6,todo
